ax,ay,az,gx,gy,gz
1.2335,-9.1627,-3.1926,-0.5076,-0.443,-0.3478
1.0056,-9.3667,-3.4816,-0.5161,-0.3976,-0.3673
1.3603,-9.9978,-3.5695,-0.4766,-0.3665,-0.3245
1.3029,-10.2712,-3.6843,-0.2766,-0.2792,-0.2717
1.0564,-10.5428,-3.8016,-0.1487,-0.2514,-0.224
0.4756,-10.264,-3.7418,-0.0195,-0.2399,-0.1841
0.3972,-9.5145,-3.5856,0.0897,-0.2818,-0.1858
0.9123,-8.7661,-3.3583,0.1191,-0.3142,-0.2043
1.2586,-8.6351,-3.2973,0.0799,-0.3076,-0.195
1.1079,-8.7206,-3.2548,0.0515,-0.273,-0.1743
0.9757,-8.6261,-3.3039,0.0197,-0.2536,-0.19
1.0223,-8.5753,-3.2764,-0.006,-0.244,-0.1885
0.7496,-8.4257,-3.3099,-0.0389,-0.2386,-0.178
0.7789,-5.9408,-2.7176,-0.1028,-0.2333,-0.3295
1.4034,-4.6427,-2.6267,-1.103,-0.2691,-0.3407
2.5519,-4.8497,-2.8935,-1.5818,-0.2137,-0.3512
2.0261,-6.3679,-3.8279,-1.91,-0.0715,-0.2472
1.4411,-8.9163,-4.5482,-2.1018,0.0125,-0.12
0.5701,-11.7906,-5.4748,-1.9967,0.0243,-0.0166
-0.7143,-12.7561,-5.7673,-1.587,-0.0271,-0.106
-0.1621,-13.2293,-5.9348,-1.1207,-0.1725,-0.1436
1.0181,-12.6473,-5.8134,-0.6022,-0.2405,-0.2241
2.1805,-11.2618,-5.4574,-0.1904,-0.2056,-0.2123
1.8108,-9.0981,-4.8586,0.0489,-0.116,-0.1865
0.9703,-6.4223,-4.1773,-0.2619,-0.0431,-0.1074
0.4319,-8.3713,-4.7462,-0.4598,-0.0835,-0.0674
1.2688,-8.9629,-4.9795,-0.4658,-0.1007,-0.0906
1.1569,-9.3643,-5.1948,-0.3953,-0.0707,-0.0431
0.6903,-9.6814,-5.3067,-0.3122,-0.0304,0.0118
-0.2369,-9.4804,-5.1374,-0.1431,-0.0622,-0.0473
-0.0359,-9.39,-5.1111,-0.0089,-0.1493,-0.098
0.6168,-9.1711,-5.0249,0.1019,-0.2077,-0.1082
0.8142,-8.8822,-4.9663,0.1863,-0.2107,-0.0749
0.7448,-8.4096,-4.8568,0.2558,-0.2072,-0.0686
0.6329,-8.8313,-4.9478,0.2776,-0.2095,-0.057
1.0211,-10.3663,-5.3103,0.5219,-0.1475,0.0158
