ax,ay,az,gx,gy,gz
3.7376,-10.2084,-4.4794,-0.572,-0.1746,-0.0373
3.5605,-10.2251,-4.5033,-0.4308,-0.0858,-0.0568
3.277,-9.4965,-4.4118,-0.2954,-0.0047,-0.1151
2.8822,-9.3308,-4.4453,-0.2343,0.0483,-0.1093
2.8391,-9.3021,-4.4327,-0.1682,0.0654,-0.1088
2.7218,-9.052,-4.2832,-0.0519,0.0177,-0.1073
2.8325,-7.8311,-3.8638,-0.0373,-0.0157,-0.1121
2.7482,-6.9703,-3.6395,-0.1311,-0.0044,-0.0552
1.8269,-7.8873,-3.8399,-0.2453,-0.0233,-0.0204
2.1996,-7.9382,-3.8967,-0.2679,-0.0845,-0.0598
2.464,-8.19,-4.0074,-0.2945,-0.1268,-0.0711
2.7422,-8.5256,-4.0427,-0.3136,-0.159,-0.0656
3.3667,-8.6806,-4.0863,-0.2995,-0.1656,-0.0658
3.3613,-9.0616,-4.1904,-0.2775,-0.1277,-0.0283
3.7783,-9.0323,-4.1976,-0.2282,-0.0612,-0.066
2.9402,-9.4385,-4.3167,-0.1671,0.017,-0.0544
2.7266,-8.5364,-4.2754,-0.0378,0.0173,-0.2161
2.3067,-8.5968,-4.3286,-0.0471,-0.0117,-0.1584
1.9478,-8.4006,-4.3406,-0.0332,-0.0843,-0.1534
2.6548,-7.7264,-4.1234,-0.0165,-0.1809,-0.1739
2.9743,-7.9077,-4.1204,-0.0822,-0.2214,-0.0695
3.1986,-8.1362,-4.0947,-0.1319,-0.2324,-0.0232
3.7831,-8.6082,-4.2173,-0.1329,-0.2086,-0.0264
3.8955,-8.9049,-4.3065,-0.114,-0.1327,-0.0122
3.7448,-8.9569,-4.3597,-0.0568,-0.0304,-0.0434
3.5067,-8.5358,-4.2861,-0.0053,0.0539,-0.0537
3.0634,-8.4909,-4.2933,0.0177,0.1104,-0.019
2.2499,-8.0148,-4.1767,0.0523,0.0785,-0.0437
1.7958,-7.6475,-4.1288,0.0143,0.0256,-0.0344
1.6098,-7.6391,-4.0839,-0.0448,-0.0627,-0.0371
1.9268,-7.6726,-4.0576,-0.0844,-0.1603,-0.0858
2.6471,-7.8568,-4.1133,-0.1369,-0.2298,-0.0891
3.1406,-8.1523,-4.194,-0.1679,-0.2508,-0.0856
3.5492,-8.5268,-4.3633,-0.188,-0.2345,-0.0715
3.9069,-8.7069,-4.4291,-0.171,-0.1683,-0.0673
3.6323,-8.9629,-4.5356,-0.1361,-0.1006,-0.0733
3.8608,-8.9533,-4.6313,-0.0976,-0.0491,-0.069
3.1316,-8.927,-4.8299,-0.0638,0.0335,-0.0203
2.7888,-9.2979,-5.1242,-0.0445,0.0224,-0.015
2.7224,-10.0337,-5.5238,0.0046,-0.0143,-0.0012
3.0347,-10.4465,-5.738,0.0962,-0.0728,-0.0301
3.6718,-11.1912,-6.082,0.2132,-0.1089,0.0161
3.9565,-12.1597,-6.5498,0.383,-0.0746,0.1016
3.8297,-13.9484,-7.3071,0.6521,-0.0021,0.1882
4.1426,-16.0528,-8.199,1.0552,0.0424,0.3538
4.3382,-18.4798,-9.5127,1.6455,0.0934,0.5664
5.1607,-19.5996,-11.4144,2.3279,0.1516,0.9349
4.7396,-19.5996,-12.8686,2.502,0.3804,1.0839
5.4299,-19.5996,-15.0096,2.502,0.4932,1.3144
1.7629,-19.5996,-14.8068,2.502,0.4987,1.2241
2.9306,-14.7033,-14.001,2.502,0.232,0.8962
9.6036,-15.3912,-14.7015,2.502,0.1446,1.169
9.6754,-13.188,-15.2949,2.502,0.4837,1.5298
6.1412,-9.2698,-15.2949,2.502,0.7396,1.7364
4.5332,-7.7994,-14.6022,2.502,0.767,2.0472
1.3962,-2.394,-12.5689,2.502,0.6765,1.8108
3.0508,2.2331,-8.8654,2.502,0.4397,1.5634
3.3601,4.0893,-5.4556,2.502,0.472,1.4784
-0.4624,8.3031,2.7966,2.502,0.8611,1.0778
-3.8871,6.3099,3.9763,2.502,0.9077,0.5722
-3.1711,5.0919,5.3462,2.502,0.7934,-0.0017
-1.2269,4.0756,5.8941,2.502,0.6868,-0.4107
-1.0911,1.057,6.0604,2.502,0.5944,-0.318
-0.0383,-1.136,5.866,2.502,0.5011,-0.1673
-2.9719,2.4281,7.0445,2.502,0.3551,-0.1891
-2.9886,7.0875,9.2267,2.502,0.0768,-0.3184
-1.55,8.1625,10.6427,2.502,-0.1261,-0.4055
-1.2024,7.1121,11.2253,2.1989,-0.2198,-0.352
0.0706,6.1986,11.5071,1.0854,-0.2339,-0.4491
2.793,-0.0969,10.2036,0.9749,-0.0472,-0.3294
0.9428,2.5543,10.4219,0.9592,0.0509,-0.2817
-0.4379,3.7831,10.4692,0.5356,-0.02,-0.1238
-0.9948,1.3908,9.8584,0.0513,-0.174,0.0129
-0.6323,-0.2333,9.4582,-0.2269,-0.3429,0.0344
2.461,-3.0508,8.7739,-0.2259,-0.4126,0.0915
1.7025,-3.95,8.6608,0.1053,-0.3171,-0.0264
0.28,-0.0855,9.6682,0.3164,-0.2466,-0.2228
0.8088,2.0171,10.3651,0.0494,-0.2593,-0.2663
0.4367,1.5027,10.4136,-0.3625,-0.2826,-0.2732
2.3025,-0.8016,9.7914,-1.0818,-0.3269,-0.2667
2.3115,-2.8504,9.2824,-1.2402,-0.2379,-0.1492
1.593,-3.0191,9.1669,-1.2291,-0.1583,-0.1087
1.2969,-2.4802,9.1173,-1.2856,-0.1394,-0.0961
1.5631,-2.9306,8.8786,-1.4423,-0.159,-0.0172
0.9284,-3.338,8.7625,-1.5727,-0.1542,0.0906
0.0311,-2.5161,8.9432,-1.68,-0.2033,0.0396
-0.1478,-0.5515,9.2895,-1.9148,-0.2802,-0.0816
-0.3254,1.4596,9.548,-2.3627,-0.3768,-0.2044
0.5186,1.3274,9.2297,-2.4987,-0.4683,-0.2217
1.0008,0.7801,8.7631,-2.502,-0.4829,-0.3422
0.6628,0.0389,7.3699,-2.502,-0.4786,-0.3092
1.4518,-2.1368,6.0981,-2.502,-0.525,-0.2042
3.5856,-8.522,4.0439,-2.502,-0.4708,0.2377
2.3665,-11.8893,3.5539,-2.502,-0.2726,0.439
-0.1531,-11.793,3.524,-2.502,-0.1933,0.2434
-0.8949,-9.3912,3.984,-2.502,-0.2867,0.0671
-0.3164,-7.5799,4.2251,-2.502,-0.4462,-0.037
0.2883,-6.6808,4.261,-2.502,-0.5298,-0.0438
0.652,-6.5258,4.0822,-2.502,-0.5227,-0.13
0.7711,-6.6903,3.7651,-2.502,-0.4925,-0.2233
