ax,ay,az,gx,gy,gz
2.4443,-8.8325,-4.739,-0.326,-0.15,-0.015
2.5884,-8.8128,-4.809,-0.2703,-0.1494,-0.0183
2.461,-8.747,-4.8467,-0.2344,-0.1386,-0.0069
2.4574,-8.8475,-4.8873,-0.1629,-0.1268,0.0002
2.5842,-8.8816,-4.8754,-0.1046,-0.1287,-0.0082
2.6267,-8.6189,-4.7767,-0.0521,-0.1244,-0.0007
2.6423,-8.0812,-4.6104,-0.0298,-0.1088,0.0028
2.5346,-7.8329,-4.5679,-0.0531,-0.093,0.0322
2.3186,-7.7163,-4.5476,-0.0865,-0.078,0.0404
2.2349,-7.9178,-4.5835,-0.1255,-0.0744,0.0263
2.3462,-8.0507,-4.6445,-0.1368,-0.0782,0.0181
2.4443,-8.1966,-4.66,-0.1303,-0.07,0.0189
2.3222,-8.2457,-4.6905,-0.1141,-0.0619,0.0195
2.2977,-8.071,-4.6708,-0.105,-0.0615,0.0176
2.6118,-7.6463,-4.5165,-0.1555,-0.0609,0.0707
2.4802,-7.6122,-4.587,-0.1894,-0.0525,0.0814
2.9916,-6.9823,-4.4016,-0.2569,-0.0822,0.103
3.1813,-6.1041,-4.0929,-0.3662,-0.0738,0.1974
3.0748,-6.1232,-4.2652,-0.5379,-0.0305,0.3192
2.8636,-6.3015,-4.4052,-0.7406,-0.0212,0.3412
2.2313,-6.9697,-4.7396,-0.8983,-0.0133,0.379
2.5472,-8.3091,-5.1147,-0.9394,-0.0042,0.3847
3.1789,-10.48,-5.5651,-0.8035,0.043,0.3233
1.8497,-8.8481,-5.2349,-0.4808,0.1097,0.1933
1.0062,-7.3974,-4.9286,-0.3927,0.0088,0.119
2.1476,-7.084,-5.0076,-0.4913,-0.0209,0.1557
1.6594,-7.6516,-5.1727,-0.5566,-0.0422,0.1993
2.0477,-8.9384,-5.4485,-0.504,-0.0821,0.1723
2.1476,-8.7709,-5.6447,-0.3306,-0.0537,0.1146
1.4052,-8.5502,-5.5974,-0.2319,-0.0359,0.0746
1.8658,-8.6536,-5.6483,-0.1765,-0.0453,0.0237
2.5436,-10.6002,-6.1364,-0.0683,-0.033,0.0628
1.4955,-11.2708,-6.6431,0.2596,0.0298,0.109
1.191,-7.9681,-5.5807,0.5406,-0.0091,-0.093
1.4321,-7.599,-5.6602,0.4977,-0.0828,-0.162
2.2618,-10.5159,-6.2351,0.5643,-0.158,-0.0125
1.8209,-11.7661,-6.4271,0.8762,-0.1348,0.1636
2.2804,-10.9119,-6.2465,1.3729,-0.1562,-0.0488
2.7374,-11.5603,-6.5671,1.6784,-0.1078,0.1025
1.7647,-10.5703,-6.1854,2.1092,-0.0836,0.0202
1.279,-10.672,-6.4146,2.3269,-0.1212,0.1717
2.2953,-8.074,-5.613,2.4659,-0.1261,-0.1172
3.3476,-8.6794,-5.2092,2.4209,-0.1355,0.0283
2.6644,-8.1039,-4.9238,2.4085,-0.072,0.0883
2.2307,-7.9406,-4.4632,2.2785,-0.0739,0.1426
2.0782,-7.267,-4.188,1.9462,-0.1073,0.2015
1.9065,-10.4758,-4.4836,1.8731,-0.1258,0.2887
1.2269,-10.3412,-4.1874,2.0336,-0.1691,0.1809
1.736,-8.1601,-3.947,2.1918,-0.2315,-0.1003
3.073,-8.1924,-3.6724,1.9211,-0.2173,0.0265
3.0084,-11.9462,-4.7384,1.7023,-0.1045,0.2618
1.2132,-16.9908,-6.2106,1.8734,-0.0626,0.3958
1.4812,-19.0014,-7.3047,2.3623,-0.1222,0.237
6.3571,-19.5996,-10.2425,2.502,-0.1151,0.5945
4.5703,-19.5996,-14.2014,2.502,0.1314,0.9996
1.6726,-19.5996,-18.658,2.502,0.2553,0.8951
0.8853,-19.5996,-19.5709,2.502,0.2064,-0.1357
4.7384,-19.5996,-19.5709,2.502,0.2411,-0.7452
7.1844,-7.8197,-19.5709,2.502,0.5273,-1.508
7.2377,2.458,-19.5709,2.502,0.9894,-0.7201
8.7482,2.0692,-19.5655,2.502,1.2939,0.0783
5.0483,6.4893,-12.5474,2.502,1.6722,0.4053
1.5535,16.9161,-3.9906,2.502,1.9915,0.2951
-1.7731,14.8576,0.6873,2.502,2.052,0.5396
-4.9723,11.7559,3.2243,2.502,2.0249,-0.0163
-4.5523,9.9075,4.3597,2.502,1.9867,-0.4359
-6.9852,12.3338,6.4002,2.502,1.2902,-1.5639
-1.3131,17.2672,10.3932,2.502,1.0781,-1.1538
-3.6209,17.3384,11.7769,2.502,0.8486,-0.6739
-3.3254,18.2728,11.9139,2.502,0.4643,-0.2793
-0.3667,11.0836,10.6744,1.6924,0.1298,0.0695
