ax,ay,az,gx,gy,gz
-0.9661,-5.6716,-3.1298,1.6023,-0.365,-0.3622
-1.7569,-6.3374,-2.9833,1.3067,-0.2676,-0.1213
-2.6124,-7.9352,-3.2758,1.175,-0.2087,-0.094
-2.534,-7.7946,-3.1759,1.1935,-0.1626,-0.1797
-2.5496,-8.8546,-3.4319,1.2064,-0.1287,-0.1555
-2.1691,-9.9057,-3.8626,1.2918,-0.113,-0.1933
-3.2429,-11.0243,-4.398,1.4963,-0.0981,-0.1401
-3.1448,-9.6203,-4.1198,1.802,-0.1251,-0.2133
-2.8672,-8.2373,-3.4415,1.9194,-0.1588,-0.2185
-2.7003,-7.669,-3.0425,1.8925,-0.1542,-0.2168
-2.1697,-6.807,-2.2666,1.7977,-0.1595,-0.2285
-2.3372,-7.5912,-1.9412,1.5211,-0.022,-0.0259
-3.0138,-8.3677,-2.1105,1.4625,-0.0078,0.0428
-2.8971,-9.6377,-2.461,1.5243,-0.0347,0.0898
-3.3494,-9.6867,-2.4897,1.672,-0.0667,0.0476
-3.6078,-9.4534,-2.744,1.7856,-0.1183,-0.0728
-3.7669,-7.9878,-2.2672,1.8896,-0.1872,-0.1691
-2.9288,-7.7486,-1.9029,1.8091,-0.2573,-0.0389
-2.9043,-6.8895,-1.0851,1.6963,-0.2977,-0.056
-2.6566,-7.0038,-0.6843,1.4986,-0.3304,-0.0179
-2.1129,-7.6205,-0.5994,1.3618,-0.3105,-0.0308
-2.3282,-8.1326,-0.7424,1.2236,-0.1491,0.035
-2.7852,-8.8983,-1.148,1.1381,-0.1312,0.1428
-2.3474,-10.8652,-1.8269,1.1293,-0.1371,0.2257
-3.3326,-10.6594,-1.6798,1.3078,-0.1413,0.2108
-3.1525,-9.9033,-1.2329,1.4364,-0.2014,0.1509
-2.4054,-8.8678,-0.7555,1.4564,-0.2149,0.1278
-2.6249,-9.0096,-0.4433,1.3789,-0.187,0.1918
-2.4102,-10.2126,-0.542,1.3455,-0.1527,0.18
-3.7328,-10.5571,-0.4738,1.5191,-0.1249,0.1543
-3.6963,-8.6231,0.1854,1.6849,-0.1564,0.0245
-2.2074,-7.9352,0.5832,1.6654,-0.1696,-0.0394
-2.3025,-8.3665,0.7238,1.2722,-0.0981,0.1009
-3.2016,-8.7434,0.6012,1.177,-0.0931,0.099
-3.8752,-8.3803,0.7836,1.0866,-0.1195,0.1332
-3.344,-9.2016,0.8638,1.0352,-0.1684,0.0731
-3.0664,-8.3515,1.2102,1.0564,-0.1862,0.0338
-2.7105,-8.3575,1.2808,0.9928,-0.1796,0.0623
-3.0951,-9.0784,1.0522,0.9194,-0.1629,0.1717
-3.8195,-9.0317,1.1426,0.9591,-0.1854,0.1252
-2.9091,-8.1625,1.5464,0.9581,-0.2143,0.0234
-2.2995,-7.809,1.9089,0.8528,-0.1862,0.0128
-1.9884,-7.0684,2.4604,0.4929,-0.0487,0.044
-3.1681,-9.2477,1.8592,0.3387,-0.0231,0.1606
-2.9904,-7.8144,2.1858,0.3952,-0.0226,0.0451
-2.7212,-7.6594,2.2648,0.3046,-0.0394,0.0531
-3.0102,-6.8148,2.6447,0.1713,-0.0313,0.0622
-2.7954,-6.5844,2.744,-0.0167,-0.0347,0.0175
-2.2576,-6.7896,2.7703,-0.2055,-0.0047,-0.0085
-1.718,-6.2046,3.0395,-0.3655,0.0646,-0.0512
-1.9202,-5.8786,3.064,-0.5811,0.1652,0.0025
-1.7797,-5.668,3.0814,-0.8028,0.2318,0.004
-0.6359,-5.9647,3.1155,-1.0188,0.3338,0.0325
0.2812,0.4247,5.4568,-1.5366,0.6963,-0.0485
1.1659,4.0875,6.4786,-2.2778,0.9258,-0.1403
2.0267,8.4269,6.2148,-2.4985,1.2,-0.1936
2.6124,9.2327,5.2134,-2.502,1.5173,-0.0582
0.7089,8.2044,2.3354,-2.502,1.7775,0.1781
-1.3501,9.4953,-0.3984,-2.502,1.9496,0.1281
-2.9677,6.3332,-4.7773,-2.502,1.9324,0.0965
-1.1282,-0.7501,-10.2742,-2.502,1.8447,0.3328
-5.324,-9.256,-13.8066,-2.502,1.831,0.5995
-8.8295,-8.2624,-13.794,-2.502,1.5405,0.1478
-7.4213,-6.2255,-13.6086,-2.502,0.736,-0.4066
-3.0114,-12.673,-14.4347,-2.502,0.4651,-0.725
1.8891,-10.2969,-13.2329,-2.502,0.5199,-1.064
2.1212,-7.6158,-12.0652,-2.502,0.8378,-1.1181
2.0004,-6.067,-11.6931,-2.502,1.159,-1.0629
1.0331,-4.8957,-11.5238,-2.502,1.4644,-1.0967
-0.1448,-3.3643,-11.3474,-2.502,1.6554,-1.2604
-0.8764,-2.9569,-11.8229,-2.502,1.6931,-1.262
-2.0441,-2.8241,-12.2213,-2.502,1.5864,-1.1911
-2.2564,-4.6606,-13.0792,-2.502,1.3457,-1.0002
-2.656,-7.2526,-14.0596,-2.502,1.0642,-0.7734
-2.6973,-6.9541,-14.1661,-2.502,0.4214,-0.6479
-2.2355,-7.6672,-14.4317,-2.502,0.182,-0.5779
-1.1701,-9.4851,-14.735,-2.502,0.0138,-0.421
-0.527,-10.8772,-14.8774,-2.3828,-0.058,-0.3205
-0.9482,-10.3992,-14.3856,-1.8137,-0.0919,-0.3451
-0.4923,-7.9777,-13.4949,-1.2449,-0.1323,-0.336
-0.4235,-6.6185,-12.9093,-0.9168,-0.1616,-0.1983
-0.7938,-5.9186,-12.5833,-0.6781,-0.1915,-0.0837
-0.7651,-5.3354,-12.2417,-0.4608,-0.2303,-0.0011
-0.6168,-4.4351,-11.9103,-0.2679,-0.2493,0.0499
-1.5063,-3.603,-11.534,-0.1345,-0.298,0.0805
-1.946,-4.4734,-11.4479,-0.0145,-0.4019,-0.0551
-0.8572,-3.9356,-11.1835,0.1114,-0.4492,-0.0702
-0.9876,-3.7771,-11.1045,0.189,-0.4474,0.0036
-1.5129,-4.2479,-11.2062,0.211,-0.4523,0.0591
-1.3777,-4.4949,-11.0548,0.3139,-0.4523,0.028
-1.4201,-4.1049,-10.6935,0.4417,-0.4616,-0.0073
-0.7735,-3.786,-10.4758,0.5746,-0.4781,-0.0592
0.2369,-1.9789,-9.6401,0.6041,-0.4068,-0.044
-0.7789,-2.0596,-9.5683,0.482,-0.317,0.0649
-1.3819,-3.0855,-9.6814,0.4168,-0.2889,0.1013
-1.7809,-2.3659,-9.3488,0.4163,-0.265,0.0231
-1.748,-2.6297,-9.2082,0.3838,-0.2927,-0.0319
-1.0774,-2.1182,-8.878,0.3709,-0.2879,-0.0741
-1.0792,-2.2355,-8.8158,0.3038,-0.2656,-0.0482
-1.2646,-2.4915,-8.8433,0.2705,-0.2519,-0.0438
