ax,ay,az,gx,gy,gz
-8.1535,-4.2042,2.2833,-0.7145,-0.4388,0.6156
-8.4568,-4.1922,2.2451,-0.7648,-0.4158,0.6413
-9.1077,-4.2173,2.0668,-0.8215,-0.4191,0.6082
-9.1053,-5.1565,1.6062,-0.854,-0.4238,0.5669
-9.2913,-5.683,1.3436,-0.8204,-0.4555,0.5397
-8.9695,-6.1358,1.2383,-0.7233,-0.4891,0.5373
-8.8241,-5.0554,1.7169,-0.6363,-0.5164,0.536
-9.0425,-4.4806,2.0028,-0.6395,-0.5243,0.5043
-9.0598,-4.3047,2.0806,-0.6834,-0.5103,0.3813
-8.2193,-4.6875,2.0034,-0.712,-0.462,0.3882
-8.0985,-5.1308,1.7827,-0.7006,-0.4278,0.3927
-8.1799,-5.208,1.6959,-0.6695,-0.4025,0.4208
-8.525,-5.0686,1.6618,-0.6287,-0.3906,0.4652
-8.8846,-4.6905,1.7581,-0.6025,-0.3968,0.467
-8.7835,-5.3372,1.526,-0.6034,-0.4153,0.4663
-8.8331,-5.5591,1.4363,-0.5304,-0.4366,0.471
-8.677,-5.0991,1.654,-0.4675,-0.4397,0.4746
-8.5968,-4.5751,2.0177,-0.4386,-0.4369,0.4396
-8.4861,-3.5342,2.4179,-0.4682,-0.4247,0.4211
-8.5693,-3.8991,2.2786,-0.658,-0.4228,0.4201
-8.7332,-4.1049,2.0644,-0.7133,-0.4384,0.4978
-9.1412,-3.2883,2.3384,-0.801,-0.4852,0.537
-8.8373,-3.0544,2.4227,-0.9074,-0.5325,0.5528
-8.2247,-4.017,2.0895,-1.0284,-0.5443,0.6119
-8.6501,-4.5775,1.7629,-1.0524,-0.5463,0.6965
-8.7206,-4.4052,1.7701,-1.0438,-0.5745,0.7657
-8.951,-3.7454,1.8939,-1.0719,-0.6131,0.8348
-8.8528,-3.8399,1.9268,-1.1635,-0.6632,0.9081
-8.9252,-4.0534,1.6989,-1.2052,-0.7085,1.0033
-8.9946,-4.8784,1.2138,-1.1793,-0.7789,1.2087
-10.8132,-5.0991,0.6568,-1.1343,-0.8815,1.1507
-10.194,-5.391,0.6227,-1.0303,-0.9507,1.0573
-9.8357,-4.5673,1.1234,-0.9087,-0.9653,0.907
-9.3374,-3.7029,1.535,-0.8441,-0.9352,0.7908
-8.4096,-3.9691,1.5398,-0.8367,-0.8986,0.7281
-9.7866,-4.5619,1.3944,-0.765,-0.8212,0.7139
-10.1755,-3.7478,1.6678,-0.666,-0.8248,0.5853
-8.7224,-3.481,1.9119,-0.6111,-0.8013,0.4671
-8.5418,-4.6361,1.8532,-0.5393,-0.7141,0.4459
-8.4772,-4.2012,2.0638,-0.37,-0.6413,0.4617
-9.4487,-3.9781,1.986,-0.2747,-0.5503,0.5328
-9.9685,-3.606,2.1942,-0.1992,-0.5537,0.5099
-9.5874,-3.0832,2.5131,-0.1312,-0.5467,0.4007
-8.8074,-2.9988,2.8056,-0.089,-0.4956,0.2411
-8.7326,-2.9127,2.9163,-0.0492,-0.4075,0.1131
-7.9508,-3.9093,2.5831,0.0018,-0.2937,0.0144
-8.6399,-3.7238,2.531,0.0984,-0.1577,-0.0487
-8.6375,-3.4325,2.5741,0.1694,-0.0729,-0.1724
-8.7039,-3.6598,2.4173,0.203,-0.0071,-0.233
-8.8887,-3.3356,2.4921,0.2212,0.0018,-0.2149
-7.94,-3.935,2.3198,0.2415,0.0672,-0.0734
-5.8534,-5.7924,1.7856,0.3021,0.1943,-0.0471
-1.8114,-9.7514,0.6024,0.4559,0.5011,-0.0102
0.5701,-13.8,-1.3555,0.8918,1.0376,0.1737
0.0951,-19.5033,-4.9065,1.7547,1.7283,0.5149
-2.0064,-19.5996,-9.8698,2.3762,2.3537,0.7692
-6.0227,-19.5996,-16.8682,2.502,2.502,0.8764
-13.9974,-19.5996,-19.5709,2.502,2.502,0.5244
-19.5996,-19.0265,-19.5709,2.502,2.502,-0.4007
-19.5996,-4.0313,-19.5709,2.502,2.502,-1.7116
-19.5996,7.7372,-18.1549,2.502,2.0867,-2.3914
-19.5996,17.403,-7.1958,2.502,0.5387,-2.502
-16.2963,19.5709,-0.8166,2.502,-0.2397,-2.502
-7.7767,19.5344,4.2,2.502,-0.5353,-2.502
-6.7597,16.462,7.1659,2.502,-0.4815,-1.9534
-7.3633,13.0708,8.2965,2.502,-0.4713,-1.1073
-6.6993,11.0327,8.7362,2.502,-0.501,-0.3354
