ax,ay,az,gx,gy,gz
-0.2273,-8.5502,-8.275,0.2014,-0.0605,-0.0816
-0.4379,-6.5348,-7.1324,0.3146,-0.039,-0.0829
-0.3218,-6.2106,-6.7992,0.2598,-0.048,-0.0211
-0.4038,-6.1699,-6.5426,0.2143,-0.0602,0.0505
-0.6395,-5.9725,-6.3326,0.1769,-0.0825,0.0639
-0.4427,-5.5418,-6.0682,0.1306,-0.0966,0.0512
-0.3254,-5.5998,-5.9809,0.0316,-0.0956,0.0754
-0.25,-5.8104,-5.9647,-0.0551,-0.0714,0.0858
-0.2524,-6.1621,-6.0694,-0.1209,-0.0516,0.0937
-0.3416,-6.3906,-6.2219,-0.1698,-0.0247,0.0993
-0.6616,-6.8046,-6.39,-0.2112,-0.0101,0.1195
-0.4899,-7.1252,-6.6754,-0.219,0.0069,0.0824
-1.2275,-6.9464,-6.7155,-0.2012,0.0218,0.0405
-0.9422,-6.7914,-6.7226,-0.2049,-0.0062,0.0227
-1.0181,-6.8836,-6.801,-0.2162,-0.0152,0.0296
-1.1928,-7.0947,-6.9069,-0.2142,-0.0259,0.01
-1.0325,-7.2353,-6.9458,-0.1752,-0.043,-0.0018
-1.0804,-7.1426,-6.9894,-0.1316,-0.0559,-0.0002
-1.0241,-6.8704,-6.9882,-0.0973,-0.0757,-0.0128
-0.9595,-6.728,-6.9009,-0.0819,-0.0897,-0.0131
-0.8279,-6.4026,-6.7908,-0.0805,-0.1019,-0.0225
-0.6443,-6.2213,-6.7681,-0.1049,-0.0995,-0.0299
-0.4941,-6.3248,-6.8166,-0.1656,-0.0906,-0.0255
-0.5964,-6.3978,-6.862,-0.1893,-0.0926,-0.0014
-0.6239,-6.2883,-6.8106,-0.2107,-0.0885,-0.004
-0.548,-6.2405,-6.8907,-0.2401,-0.0852,-0.0107
-0.5683,-6.009,-6.8034,-0.2944,-0.0874,-0.0044
-0.6502,-6.2937,-6.9296,-0.3757,-0.0903,0.043
-0.7896,-6.4074,-6.9817,-0.4051,-0.0966,0.0144
-0.8339,-6.7908,-6.929,-0.3864,-0.1155,-0.0011
