ax,ay,az,gx,gy,gz
2.9575,-7.4112,-5.0154,0.071,-0.3239,-0.0682
2.7619,-7.1366,-4.9531,0.0493,-0.3207,-0.0837
2.7607,-7.1444,-4.9214,0.0243,-0.3164,-0.1027
2.5472,-7.1803,-4.9448,-0.006,-0.3234,-0.1323
2.6824,-7.27,-4.9316,-0.0214,-0.3196,-0.1381
2.4395,-6.9362,-4.8036,-0.0402,-0.3201,-0.1738
2.0871,-4.6869,-4.1474,-0.1103,-0.3412,-0.2953
1.5009,-5.4784,-4.5715,-0.4148,-0.4129,-0.1906
2.0997,-7.2736,-5.2995,-0.5443,-0.4962,-0.3416
1.2586,-7.4471,-5.7864,-0.4515,-0.5357,-0.396
1.6086,-7.2915,-5.7302,-0.4142,-0.6173,-0.4414
1.7833,-7.1444,-5.8128,-0.4193,-0.6816,-0.4908
0.5821,-6.14,-5.8923,-0.4271,-0.793,-0.5033
1.8168,-7.2449,-6.0203,-0.5771,-0.917,-0.5039
1.7635,-8.5531,-6.3888,-0.537,-0.9893,-0.5427
1.2,-8.4838,-6.5121,-0.4065,-1.0731,-0.4705
1.7779,-6.8399,-6.0574,-0.3256,-1.169,-0.3752
2.144,-7.197,-5.872,-0.3096,-1.2049,-0.4676
1.4279,-6.8578,-5.9761,-0.3196,-1.2444,-0.4795
2.4837,-6.8082,-5.9773,-0.3167,-1.2967,-0.5564
2.7799,-7.1073,-6.0754,-0.29,-1.2753,-0.5508
3.2572,-7.0349,-6.2357,-0.2841,-1.2498,-0.4938
4.0199,-7.3747,-6.2758,-0.2355,-1.1987,-0.4498
4.3484,-6.725,-6.0796,-0.1615,-1.1206,-0.4226
2.9198,-6.1567,-6.055,-0.171,-1.0299,-0.3541
2.8828,-4.8676,-5.7673,-0.2218,-1.025,-0.4278
4.2622,-5.7595,-5.9515,-0.3613,-0.9936,-0.4309
3.6042,-6.1525,-6.1842,-0.482,-0.8957,-0.3664
3.8853,-6.4666,-6.2776,-0.4682,-0.8186,-0.4004
4.6199,-6.3751,-6.0562,-0.519,-0.658,-0.2585
3.0018,-6.067,-6.4732,-0.5634,-0.6056,-0.266
4.1043,-5.3653,-6.195,-0.6139,-0.5565,-0.3137
3.8417,-6.1974,-6.5294,-0.6526,-0.4496,-0.2365
3.6808,-6.9446,-6.8626,-0.6778,-0.3619,-0.163
3.2046,-6.4756,-6.9147,-0.6417,-0.2829,-0.1084
2.464,-4.9513,-6.5982,-0.6345,-0.2382,-0.1284
2.677,-4.7569,-6.4941,-0.7191,-0.2189,-0.1471
2.7212,-5.4215,-6.7711,-0.8406,-0.206,-0.1122
3.0975,-6.4122,-7.1587,-0.9201,-0.1722,-0.0255
3.1214,-7.2407,-7.3735,-0.8628,-0.1129,0.0147
1.5224,-14.2941,-10.8832,0.0887,-0.1994,-0.2378
1.6959,-5.4024,-7.1701,0.0625,-0.2402,0.52
1.7539,-6.1842,-8.0997,0.0157,-0.2514,0.2803
2.3318,-5.7224,-7.6068,0.0815,-0.2487,0.0938
3.8608,-6.1842,-7.4381,0.0696,-0.2072,0.0644
3.3284,-6.1884,-7.2778,0.0415,-0.0179,0.1808
2.9803,-5.9025,-7.0247,0.0562,0.058,0.0941
4.5817,-5.9097,-7.0223,0.0501,0.1349,0.1732
3.1741,-5.9791,-7.1468,0.0444,0.2385,0.2611
4.4429,-6.0568,-7.0768,0.0599,0.3473,0.169
4.3286,-6.5743,-6.9488,0.1419,0.6395,0.3203
7.9771,-7.2359,-6.786,0.2229,0.897,0.5142
9.3703,-7.5416,-6.5815,0.3348,1.2611,0.5893
11.1661,-8.2337,-6.7358,0.4459,1.5692,1.118
18.9404,-9.5629,-7.2,0.6761,2.2864,1.0664
17.8229,-8.4227,-7.9448,0.9805,2.502,1.4244
12.6425,-6.1232,-8.9444,1.1131,2.502,2.0395
15.344,-5.4838,-9.2865,1.1081,2.502,1.9612
11.1332,-4.5302,-9.8195,1.0234,2.502,2.3471
4.7647,-3.0736,-10.1683,1.0291,2.502,2.502
-1.7749,-7.5805,-11.6925,1.1991,2.502,2.502
-1.6002,-5.5071,-9.5067,2.0721,2.502,2.4688
-3.481,-2.7996,-8.5101,2.1976,2.502,2.158
-7.1743,-1.809,-7.5236,1.881,2.502,1.8674
-8.7882,-1.7324,-7.1515,1.3719,2.4948,1.3315
-8.1087,-2.9396,-7.1492,0.8108,1.7959,0.8367
-4.5039,-6.8656,-7.4118,0.3515,1.0131,0.5806
-2.4365,-10.0128,-7.3747,0.249,0.5419,0.5068
-2.2786,-10.2975,-6.9362,0.4204,0.2556,0.4328
-2.1595,-10.2485,-6.551,0.6182,0.0082,0.3102
-0.4582,-8.6345,-5.5286,0.7332,-0.1907,0.145
0.5617,-7.9795,-4.8179,0.672,-0.3827,0.0477
1.2957,-8.796,-4.0158,0.6384,-0.4663,0.0373
2.3151,-9.4313,-3.8154,0.6804,-0.5134,0.0278
2.0261,-8.6243,-3.3649,0.7923,-0.5221,-0.0066
2.12,-7.5954,-2.8439,0.8163,-0.5484,-0.0644
3.0562,-7.331,-2.482,0.7853,-0.5747,-0.14
3.204,-7.3196,-2.15,0.7236,-0.5774,-0.1474
2.8403,-7.0086,-1.9442,0.66,-0.5886,-0.1577
3.0927,-6.46,-1.718,0.5731,-0.6627,-0.2417
4.5805,-6.6126,-1.5428,0.4523,-0.6975,-0.2957
4.3591,-6.8991,-1.5194,0.3359,-0.6483,-0.2447
4.517,-7.2215,-2.0698,0.1399,-0.6389,-0.2787
4.8227,-7.8568,-2.3198,0.1017,-0.6253,-0.2744
