ax,ay,az,gx,gy,gz
-8.0022,-6.1244,-1.413,0.1014,-0.0342,0.0543
-8.1302,-5.9677,-1.3831,0.1226,-0.0523,0.0299
-7.7569,-6.2315,-1.4895,0.1279,-0.0522,0.0251
-7.788,-6.2261,-1.4321,0.1756,-0.0287,0.0137
-7.8514,-5.9013,-1.2778,0.1988,-0.016,-0.011
-8.193,-5.5029,-1.1157,0.2173,-0.0016,-0.066
-8.3061,-5.1153,-1.014,0.1744,-0.0118,-0.0741
-7.946,-5.5884,-1.1061,0.1115,-0.0342,-0.0561
-7.8168,-5.8002,-1.1091,0.0941,-0.0478,-0.0335
-8.2277,-5.5944,-1.0391,0.0931,-0.0577,-0.0205
-7.9843,-5.5549,-1.0618,0.0618,-0.0909,0.0128
-8.0955,-5.4479,-1.0056,0.0459,-0.1029,0.0091
-8.1069,-5.4006,-1.0534,0.0199,-0.1074,-0.0247
-7.6379,-5.4371,-1.13,-0.0082,-0.118,-0.0635
-7.5823,-6.2979,-1.3735,-0.0054,-0.0852,-0.0304
-7.547,-6.1513,-1.4016,0.0505,-0.0562,-0.0751
-8.0004,-6.1699,-1.3831,0.1532,0.0095,-0.0533
-8.0423,-5.5962,-1.2144,0.1768,0.0093,-0.0783
-8.077,-5.6375,-1.197,0.1426,-0.0085,-0.0499
-8.1972,-5.3186,-1.0648,0.1049,-0.0382,-0.053
-8.1446,-5.519,-1.06,0.0478,-0.0721,-0.0517
-7.3717,-6.1119,-1.3172,-0.0008,-0.0878,0.0
-7.6738,-6.5635,-1.4901,0.044,-0.0566,0.0356
-7.7641,-6.2303,-1.483,0.0889,-0.0476,0.0221
-7.4154,-6.5982,-1.587,0.1126,-0.0352,0.0112
-7.3286,-6.5174,-1.5511,0.172,0.0032,0.0128
-7.8562,-6.1777,-1.3795,0.2149,0.0251,0.0156
-7.8467,-6.1729,-1.4022,0.2269,0.0246,0.0587
-8.0255,-6.0598,-1.3448,0.2403,0.0027,0.0831
-7.8826,-6.0341,-1.331,0.2373,-0.026,0.082
-7.0056,-6.1328,-1.3065,0.2372,-0.02,0.0893
-7.1755,-6.1232,-1.2933,0.2573,0.0247,0.1122
-7.7073,-5.9318,-1.264,0.2741,0.0614,0.1183
-7.7151,-5.8684,-1.2688,0.2761,0.0749,0.1277
-7.8108,-5.9037,-1.2748,0.2707,0.0827,0.1284
-7.8568,-5.9605,-1.2437,0.2772,0.0813,0.1379
-7.608,-6.0778,-1.2676,0.3012,0.0792,0.1691
-7.879,-5.4556,-1.0516,0.3402,0.0964,0.1922
-7.5703,-5.5202,-1.0977,0.3202,0.0981,0.2177
-7.6014,-5.4843,-1.0816,0.307,0.1227,0.2212
-8.1476,-5.4078,-1.1121,0.3009,0.1347,0.2425
-8.3617,-5.0991,-1.0313,0.2923,0.1355,0.2252
-8.1793,-5.1446,-1.0522,0.2498,0.1044,0.22
-8.0435,-5.3515,-1.1432,0.2315,0.0983,0.2528
-8.3115,-5.4622,-1.1976,0.2363,0.0947,0.3142
-9.0078,-4.7145,-1.0164,0.255,0.0777,0.3018
-9.4211,-3.926,-0.7681,0.2034,0.0157,0.2682
-9.5563,-3.3308,-0.5192,-0.0744,-0.1418,0.2402
-10.2419,-2.464,-0.1472,-0.2365,-0.2577,0.2223
-10.5571,-2.2211,-0.0873,-0.454,-0.3833,0.2772
-12.2219,-1.748,0.055,-0.6782,-0.5406,0.3289
-15.3577,-0.8064,0.4678,-0.8522,-0.8033,0.347
-17.1577,1.2006,0.8279,-1.0544,-1.2065,0.1423
-19.2646,2.6746,1.0469,-1.3497,-1.6806,0.059
-19.5996,6.7454,1.471,-1.7081,-2.323,-0.2173
-19.5996,13.9783,1.8508,-2.3267,-2.5007,-0.9752
-18.8285,19.4883,0.5133,-2.502,-2.502,-1.5348
-13.8395,15.4229,-3.9368,-2.502,-2.502,-1.6503
-10.9848,10.73,-12.2405,-2.502,-2.502,-1.2871
-9.4516,7.6672,-15.475,-2.502,-2.502,-0.9788
-7.7085,1.9884,-17.9749,-2.502,-2.502,-0.7737
-3.5354,-5.4449,-18.999,-2.502,-2.502,-0.579
-1.2933,-13.6971,-18.9206,-2.502,-2.502,-0.4959
-4.0558,-19.5996,-16.054,-2.502,-2.502,-0.6542
-2.8618,-19.5996,-13.0253,-2.502,-2.502,-1.2585
-0.3655,-19.5996,-10.1139,-2.502,-2.3746,-1.7602
