ax,ay,az,gx,gy,gz
-0.5432,-6.6084,-6.8213,0.0403,-0.0949,-0.0025
-0.5492,-6.6425,-6.8644,0.0371,-0.0945,-0.0099
-0.4038,-6.6485,-6.813,0.0299,-0.0985,-0.0171
-0.4277,-6.6742,-6.8213,0.029,-0.0926,-0.0076
-0.451,-6.6993,-6.8351,0.0314,-0.1013,-0.0145
-0.4415,-6.7202,-6.8327,0.0329,-0.1044,0.0099
-0.3769,-6.7693,-6.8668,0.0316,-0.099,0.0003
-0.3374,-6.7759,-6.8536,0.0437,-0.0879,-0.0101
-0.3643,-6.6712,-6.816,0.0498,-0.0777,0.0067
-0.469,-6.6048,-6.8183,0.0445,-0.0731,0.0057
-0.5157,-6.5707,-6.8417,0.0365,-0.0763,-0.0076
-0.5007,-6.6054,-6.8465,0.0347,-0.0819,0.0037
-0.548,-6.5575,-6.8399,0.028,-0.0933,0.0046
-0.5168,-6.7041,-6.8734,0.0173,-0.1003,0.0016
-0.3978,-6.8345,-6.8614,0.02,-0.1001,0.0073
-0.5384,-6.9099,-6.9284,0.0492,-0.1033,-0.005
-0.4385,-6.813,-6.8728,0.0654,-0.1069,0.0042
-0.3918,-6.6915,-6.8106,0.07,-0.1101,-0.0029
-0.4857,-6.5527,-6.7675,0.0693,-0.1038,0.0074
-0.4325,-6.4828,-6.6843,0.0644,-0.095,0.0074
-0.3954,-6.3739,-6.6646,0.0477,-0.088,-0.0088
-0.4624,-6.4253,-6.7202,0.0284,-0.0783,-0.0105
-0.5492,-6.5055,-6.7418,0.0175,-0.0784,-0.0044
-0.6347,-6.5839,-6.8387,0.0118,-0.0817,-0.0089
-0.6144,-6.6915,-6.8542,0.0097,-0.089,-0.0168
-0.6311,-6.7466,-6.9027,0.0189,-0.1122,-0.0141
-0.4331,-6.7316,-6.8752,0.0282,-0.1245,-0.0195
-0.3996,-6.6742,-6.8327,0.0283,-0.1273,-0.0073
-0.4044,-6.6556,-6.8327,0.0315,-0.1258,-0.011
-0.3482,-6.6317,-6.8614,0.0273,-0.1151,-0.0165
-0.3182,-6.7077,-6.8674,0.0189,-0.103,-0.0085
-0.3188,-6.7322,-6.9105,0.0218,-0.0931,-0.0034
-0.4421,-6.6736,-6.9009,0.0249,-0.0899,-0.0058
-0.539,-6.6407,-6.9057,0.0237,-0.0895,-0.0027
-0.5037,-6.5779,-6.8644,0.0228,-0.0885,-0.0047
-0.5091,-6.3781,-6.8016,0.0118,-0.0917,-0.0137
-0.3984,-6.0425,-6.6682,-0.0635,-0.0925,-0.0157
-0.4337,-5.8756,-6.6203,-0.1148,-0.0916,-0.0167
-0.533,-4.6989,-6.417,-0.2166,-0.0909,-0.0466
-0.4199,-6.7412,-6.9428,-0.3858,-0.0724,-0.0372
-0.2847,-6.1944,-6.8776,-0.4124,-0.1013,-0.0066
-0.591,-6.1352,-6.9272,-0.459,-0.0951,0.0424
-0.8973,-6.4636,-6.9799,-0.4649,-0.104,0.015
-0.6413,-5.9743,-6.8124,-0.4626,-0.1384,-0.0283
-0.1274,-5.2798,-6.7298,-0.5163,-0.1439,-0.0192
-0.0987,-4.8568,-6.6634,-0.7151,-0.1148,0.0651
-0.6114,-5.2995,-6.7848,-0.8902,-0.0924,0.0935
-1.0475,-7.1175,-7.599,-0.7889,-0.1081,0.0556
-0.5426,-6.8225,-7.4812,-0.6442,-0.1403,0.0068
-0.2895,-6.2584,-7.3777,-0.5369,-0.1414,0.0155
-0.0108,-6.2339,-7.3735,-0.5023,-0.1329,0.0219
0.3446,-6.4307,-7.4883,-0.4727,-0.1201,0.0762
0.3075,-6.3356,-7.6187,-0.4262,-0.0848,0.1213
0.1226,-6.4965,-7.8706,-0.3851,-0.0347,0.0998
1.4961,-10.0271,-9.2471,-0.3203,0.0284,0.1876
2.7978,-18.3075,-12.1543,0.1969,0.162,0.5108
3.0999,-19.5996,-14.6776,1.412,0.4103,0.8257
4.7928,-19.5996,-18.7298,2.502,1.2541,0.8839
3.7549,-19.5996,-18.3769,2.502,1.6651,0.9501
2.2576,-18.3183,-17.8893,2.502,1.9139,1.1025
-0.0257,-11.5101,-15.9673,2.502,2.0188,0.8647
-0.39,-7.2269,-13.6319,2.502,1.9496,0.7029
0.4768,-4.7815,-12.3057,2.502,1.904,0.6435
-0.2752,-2.8911,-10.349,2.502,1.869,0.6243
1.7503,-9.4008,-11.5179,2.502,1.7719,0.8068
-0.682,-10.9143,-12.0114,2.502,1.7624,0.9776
-4.1581,-4.6062,-9.9003,2.502,1.5475,0.8403
-1.1964,-1.4895,-7.1354,2.502,1.0561,0.8766
-0.9894,1.3226,-2.6955,2.502,1.0485,1.2608
0.1836,-2.6572,-2.2331,2.502,0.9154,1.5352
-2.2379,-2.2786,-1.0528,2.502,0.7763,1.6344
-2.9324,1.1492,1.0337,2.502,0.54,1.4936
-2.7111,1.8491,2.3821,2.502,0.3381,1.3025
-1.852,0.3721,3.082,2.502,0.2001,1.2905
-1.8365,-2.2361,3.1214,2.4158,0.1894,1.2662
-4.5595,-1.1611,4.2538,2.221,0.1235,1.1315
-4.002,-1.733,4.8203,1.9768,0.0028,0.9049
-4.4112,0.5515,6.0843,1.6129,-0.1176,0.653
-4.6116,1.7904,7.0008,0.0719,-0.3971,-0.0794
-2.2068,-1.8766,5.9964,-0.6,-0.4984,-0.3487
-1.2072,-4.8078,5.0853,-0.8948,-0.4918,-0.3763
-0.2453,-6.4074,4.4375,-0.9829,-0.4485,-0.3403
1.1486,-9.1029,3.7071,-0.9264,-0.3606,-0.116
0.6323,-9.597,3.4881,-0.7324,-0.1922,0.1891
-1.008,-9.5581,3.3523,-0.5954,-0.0615,0.4001
-1.8652,-9.2441,3.3858,-0.5035,0.0002,0.5029
-3.2674,-8.3982,3.4481,-0.5081,0.0224,0.4782
-3.4427,-8.7512,3.1268,-0.5618,-0.0205,0.32
-3.8411,-9.0592,2.8786,-0.5528,-0.0502,0.1822
-3.1555,-8.5735,2.726,-0.5541,-0.1536,-0.1363
-2.6674,-8.3288,2.6919,-0.6102,-0.1891,-0.2227
-1.8646,-8.9091,2.464,-0.7031,-0.1987,-0.2721
