ax,ay,az,gx,gy,gz
2.4694,-7.3747,-5.33,-0.5976,-0.1166,0.0967
2.1876,-7.6355,-5.5029,-0.6274,-0.1237,0.1471
2.3055,-7.5254,-5.5627,-0.599,-0.1242,0.1075
1.9663,-8.3073,-5.7165,-0.5944,-0.1355,0.1332
2.4162,-8.3043,-5.7063,-0.5124,-0.1548,0.0637
2.6961,-8.0572,-5.6877,-0.4363,-0.1422,0.0331
2.7326,-8.2271,-5.787,-0.4033,-0.1295,0.0445
2.6758,-7.3478,-5.7051,-0.3759,-0.1045,0.0318
1.6445,-7.6869,-5.8062,-0.3531,-0.1394,-0.0274
2.613,-7.4261,-5.7751,-0.3244,-0.182,-0.0796
2.8534,-7.4357,-5.8696,-0.3214,-0.1688,-0.0875
2.4353,-7.3777,-5.9252,-0.3523,-0.1611,-0.0017
2.3767,-7.7354,-6.07,-0.3109,-0.1636,-0.0112
2.4114,-7.7593,-6.0849,-0.2702,-0.166,-0.002
1.9298,-7.2365,-5.994,-0.2166,-0.1746,-0.0502
2.7105,-7.0325,-5.9779,-0.2268,-0.2073,-0.0724
3.2022,-7.2682,-6.0078,-0.2542,-0.1817,-0.0295
2.7111,-7.4776,-5.9581,-0.2341,-0.1461,-0.0098
3.0849,-7.0588,-5.8792,-0.2085,-0.1112,0.0144
1.9549,-6.9009,-5.8642,-0.2169,-0.1288,-0.014
2.2774,-6.9147,-5.9001,-0.219,-0.1584,-0.0851
2.7613,-7.1892,-5.9701,-0.2352,-0.1684,-0.0661
2.9635,-7.3771,-5.9904,-0.2101,-0.1508,-0.0517
2.8594,-7.0355,-5.9402,-0.1814,-0.1235,-0.0254
2.9414,-6.9284,-5.9641,-0.1914,-0.0938,0.0131
2.6674,-7.0349,-6.0287,-0.2095,-0.0697,0.0297
1.7707,-7.5494,-6.1513,-0.2194,-0.0735,0.0311
2.4419,-7.2503,-6.1316,-0.1488,-0.1055,-0.0736
2.3868,-7.1013,-6.0718,-0.1138,-0.1078,-0.0834
2.659,-6.7173,-5.9809,-0.1103,-0.1235,-0.079
2.799,-6.9464,-6.0299,-0.1461,-0.1164,-0.0293
2.9683,-6.9691,-6.1125,-0.1398,-0.1076,-0.0083
3.0341,-6.9141,-6.1167,-0.1429,-0.0776,0.0505
2.5047,-6.9559,-6.1364,-0.1501,-0.0414,0.0682
2.138,-7.3813,-6.3817,-0.1633,-0.0499,0.0401
2.3773,-7.8802,-6.5336,-0.1248,-0.071,-0.004
2.391,-8.3204,-6.7352,-0.0272,-0.079,-0.0392
2.5992,-7.9543,-6.8518,0.0797,-0.0719,-0.0811
2.1458,-8.452,-7.1061,0.1285,-0.0489,-0.0399
2.2804,-9.5055,-7.462,0.4259,-0.0463,0.0026
3.0538,-12.8489,-8.665,0.8682,-0.0005,0.032
3.6185,-13.7779,-9.2363,1.3956,0.089,0.0421
4.9107,-17.8654,-10.7192,1.925,0.2193,0.2622
3.8728,-19.5996,-12.4995,2.3906,0.4711,0.3722
4.9591,-19.5996,-13.8855,2.502,0.5858,0.3413
6.0108,-19.5996,-14.927,2.502,0.839,0.1384
4.8778,-19.5996,-15.3284,2.502,1.0841,-0.075
5.2026,-16.736,-14.9845,2.502,1.275,-0.0327
6.0281,-17.9886,-16.5541,2.502,1.4748,0.319
4.0594,-16.7635,-16.3531,2.502,1.5223,0.4775
5.5131,-10.4237,-14.205,2.502,1.5344,0.0221
7.6612,-6.3966,-13.0229,2.502,1.7765,0.0974
4.724,-9.5719,-13.1085,2.502,2.0233,0.6268
-0.7238,-7.0606,-12.1938,2.502,1.9674,0.5495
0.3577,1.8921,-9.1831,2.502,1.7136,-0.3505
3.1813,6.2297,-5.5878,2.502,1.4519,0.1446
4.9484,3.8524,-2.8654,2.502,1.4243,1.0177
1.7916,-3.0084,-2.6919,2.502,1.4781,1.7882
-2.8391,0.4552,-0.7172,2.502,1.249,1.5395
-0.1896,0.399,0.4355,2.502,0.9135,1.3281
0.0066,-2.5256,0.7418,2.502,0.6436,0.8586
-2.385,2.927,3.4678,2.502,0.297,0.4173
-0.816,1.3107,4.0504,2.502,0.1419,0.0796
1.8837,-0.1932,4.6493,2.502,0.1343,-0.1022
2.2863,-0.2991,5.3593,2.502,0.2839,-0.1497
-1.2132,3.4839,6.9924,2.502,0.324,-0.3073
-1.5751,6.0688,8.6871,2.502,0.1217,-0.3351
0.2297,3.2106,8.9611,2.502,-0.1058,-0.1729
-0.1262,1.922,9.3464,2.502,-0.1697,-0.0484
0.4277,1.3735,9.588,2.502,-0.1963,0.0661
-0.1131,2.1565,9.999,2.502,-0.2634,0.0285
2.4096,2.464,10.4812,2.036,-0.2844,0.1294
0.7741,3.134,10.8335,1.7068,-0.2587,0.1234
0.9278,2.2947,10.9759,1.3675,-0.2873,0.1152
1.5362,2.4377,11.0536,1.1268,-0.2896,0.0489
0.5282,2.6447,11.1924,0.869,-0.2792,0.0489
2.077,2.2104,11.0112,0.5741,-0.3302,-0.0182
3.1268,1.2102,10.6947,0.3711,-0.2603,-0.0025
3.0407,-0.4792,10.1031,0.2156,-0.1215,0.1439
1.4064,-0.2261,10.0098,0.1839,-0.059,0.1831
0.682,0.2614,9.9494,0.1336,-0.1029,0.1285
0.7322,-0.0329,9.9033,-0.0809,-0.1934,0.1786
1.0164,0.4439,10.194,-0.3432,-0.2933,0.0405
1.014,-0.1041,10.078,-0.577,-0.3402,-0.0289
2.6207,-3.1083,9.3571,-0.7499,-0.3624,-0.0098
3.0503,-5.3342,8.9354,-0.6057,-0.2831,0.0018
2.1135,-4.8156,9.192,-0.307,-0.1923,-0.0221
2.3456,-2.2953,9.7412,-0.2067,-0.1726,-0.0585
2.2582,-3.1789,9.6473,-0.3141,-0.1446,0.0793
1.6702,-3.4457,9.6616,-0.3187,-0.1102,0.0858
1.6881,-3.2447,9.6909,-0.3115,-0.1209,0.0211
1.9992,-3.7268,9.6108,-0.3313,-0.0914,0.0654
1.5218,-1.593,10.0762,-0.3546,-0.1308,-0.0999
1.2724,-1.3412,10.0822,-0.5861,-0.1517,-0.0347
0.5025,-2.324,9.7274,-0.7724,-0.199,-0.0246
1.672,-3.6658,9.216,-0.8638,-0.2678,-0.0489
1.5111,-4.282,8.9545,-0.8005,-0.2654,-0.0764
2.1697,-4.3077,8.7942,-0.7266,-0.2611,-0.0745
1.9663,-4.3639,8.8911,-0.65,-0.2382,-0.0609
1.5159,-3.2847,9.2118,-0.5933,-0.2294,-0.0888
