ax,ay,az,gx,gy,gz
-7.5099,-6.9422,1.5404,-1.3782,-1.8709,1.1563
-7.1958,-7.3693,1.4626,-1.4935,-1.9842,1.0857
-6.7657,-7.9508,1.4387,-1.4915,-1.9713,1.0501
-6.9452,-7.2718,1.55,-1.4476,-1.9691,0.9472
-6.1537,-7.4423,1.6881,-1.4756,-1.9607,0.826
-5.5747,-7.9765,1.5876,-1.4674,-1.8906,0.755
-6.1214,-8.1823,1.5733,-1.4009,-1.816,0.6983
-5.6596,-8.6273,1.4865,-1.295,-1.75,0.6257
-5.4532,-8.211,1.5087,-1.1671,-1.6412,0.5407
-5.9827,-8.3492,1.3723,-1.0857,-1.5689,0.4753
-5.5406,-8.4389,1.386,-0.9946,-1.5118,0.3736
-5.881,-7.803,1.5374,-0.9092,-1.461,0.2356
-4.9149,-6.9033,1.8419,-0.917,-1.3478,0.1668
-5.269,-7.1515,1.7844,-0.9998,-1.2637,0.1754
-5.2313,-7.7743,1.6277,-1.0418,-1.2198,0.1627
-5.3731,-8.3001,1.4973,-1.0163,-1.1781,0.1458
-4.9418,-8.5023,1.3543,-0.962,-1.1389,0.1404
-5.1649,-9.2812,1.1797,-0.8736,-1.072,0.1865
-5.3689,-8.3151,1.3801,-0.7426,-1.0405,0.1104
-5.0668,-8.2564,1.398,-0.725,-1.0148,0.0972
-5.1637,-8.1422,1.4058,-0.7121,-0.9681,0.102
-5.1081,-7.9125,1.6068,-0.7073,-0.9219,0.0931
-5.1811,-7.5003,1.7031,-0.7806,-0.8247,0.0594
-5.074,-8.4311,1.3549,-0.8208,-0.7862,0.1208
-5.3103,-8.3079,1.2718,-0.7511,-0.7401,0.1216
-5.5238,-7.8909,1.3292,-0.7149,-0.7153,0.1348
-5.8863,-7.7378,1.3657,-0.7194,-0.7077,0.148
-5.7374,-7.7037,1.3466,-0.7552,-0.7207,0.1754
-6.2315,-8.2056,1.1749,-0.782,-0.7403,0.1929
-6.1579,-8.2941,1.1994,-0.7604,-0.7781,0.1562
-5.5107,-7.7605,1.3316,-0.7409,-0.7849,0.1048
-5.6973,-7.6941,1.3029,-0.7797,-0.7718,0.1306
-5.5675,-7.6158,1.2885,-0.8064,-0.7701,0.1121
-5.8074,-9.4528,0.6102,-0.7063,-0.6916,0.2168
-5.7446,-8.2223,0.7801,-0.6081,-0.6794,0.1931
-5.6758,-9.1394,0.542,-0.5971,-0.6637,0.2466
-5.6453,-9.1747,0.6048,-0.4892,-0.6461,0.1922
-5.2947,-8.3653,0.8495,-0.4034,-0.5967,0.1673
-5.5902,-8.1506,0.9924,-0.3881,-0.5302,0.1721
-5.6052,-8.0662,1.0122,-0.3793,-0.496,0.1058
-5.5364,-8.0219,0.9715,-0.379,-0.4561,0.086
-5.6836,-8.0734,0.9661,-0.3808,-0.4236,0.0766
-5.616,-7.9143,0.99,-0.3804,-0.4148,0.0406
-5.3539,-8.0112,0.9553,-0.3971,-0.3802,0.1138
-5.3928,-8.1087,0.8806,-0.365,-0.3914,0.0933
-5.3701,-8.2235,0.7615,-0.3777,-0.397,0.1834
-5.4239,-8.4933,0.6736,-0.3756,-0.3955,0.2392
-4.937,-8.8122,0.5013,-0.3574,-0.3952,0.316
-4.6193,-9.8889,0.1196,-0.2986,-0.3449,0.4062
-3.9996,-10.5111,-0.2459,-0.1681,-0.2487,0.431
-4.2203,-11.19,-0.5067,0.0184,-0.1051,0.4402
-3.5647,-11.4048,-0.6287,0.2764,0.0613,0.3272
-0.5862,-12.1065,-1.1234,0.4647,0.3093,0.3119
1.605,-17.9145,-3.1208,0.7179,0.7444,0.7605
5.5065,-19.5996,-10.8832,2.3797,2.044,1.5555
-1.9914,-19.5996,-13.2335,2.502,2.4348,1.4103
-6.3727,-19.5996,-14.68,2.502,2.502,0.7707
-1.7731,-17.9013,-16.017,2.502,2.502,0.2043
-6.2243,-10.1821,-15.0473,2.502,2.502,-0.2818
-7.7408,-4.4614,-13.2855,2.502,2.502,-0.9089
-13.3442,-0.5007,-11.0207,2.502,2.502,-1.3544
-19.5996,2.1846,-8.0363,2.502,2.502,-1.7684
-19.5996,2.0489,-5.5268,2.502,2.502,-2.2822
-19.5996,3.9697,-2.5549,2.502,2.502,-2.481
-19.5996,6.2321,0.7178,2.502,1.6984,-2.502
-12.5181,8.5872,6.3811,2.502,1.1488,-2.502
-9.8913,8.6112,8.1978,2.502,0.8906,-2.4726
-8.7637,7.7163,9.207,2.502,0.7488,-2.13
-8.8427,3.1795,8.7033,2.1536,0.5813,-1.7323
-8.2702,3.0395,8.9073,1.6012,0.3916,-1.6735
-5.0548,1.7785,8.4604,0.8112,0.1942,-1.2751
-2.3342,-3.4624,6.923,0.205,0.2141,-0.5044
-2.4622,-7.4483,5.3599,0.2015,0.3803,0.1598
-5.851,-4.0116,5.5101,0.5248,0.54,0.3973
-7.7498,-2.4275,5.6243,0.3577,0.4985,0.6152
-8.272,-4.3107,5.2158,0.2088,0.319,0.5014
-8.1188,-3.2477,5.3145,0.2376,0.2796,0.3012
-8.1679,-3.9571,5.0853,0.2143,0.2447,0.1297
-8.0381,-3.987,5.1882,0.2573,0.1898,-0.0603
-7.5332,-3.4169,5.4598,0.3006,0.1489,-0.1888
-7.2981,-2.5795,5.7948,0.2423,0.0951,-0.2016
-6.2172,-3.414,5.6722,0.1116,0.0677,-0.1045
-5.8104,-4.2772,5.531,0.0583,0.1029,0.0042
-6.5007,-4.7647,5.391,0.1036,0.1525,0.099
-6.8315,-4.1605,5.5196,0.1313,0.1615,0.1378
-7.0816,-3.9015,5.5639,0.0992,0.1261,0.1297
-7.7707,-3.3655,5.6686,-0.0611,0.097,0.0784
-8.0578,-3.8554,5.4802,-0.2078,0.0427,0.0709
-7.7354,-4.4477,5.2056,-0.2744,-0.024,0.0504
-7.7563,-4.7025,4.995,-0.3074,-0.0706,0.0695
-7.2706,-4.7085,4.9023,-0.324,-0.109,0.0365
-6.9876,-5.8403,4.5218,-0.3638,-0.1097,0.1073
-7.4339,-6.3858,4.3232,-0.2682,-0.0889,0.0983
-7.1695,-5.7547,4.4423,-0.182,-0.1016,0.002
-6.2303,-6.4337,4.3412,-0.1406,-0.073,0.0255
-7.2485,-6.0772,4.5422,-0.0764,-0.0357,0.0554
-7.127,-5.1978,5.0435,-0.0757,-0.0987,-0.0245
-7.2503,-5.2409,5.1733,-0.1245,-0.1118,-0.0122
-7.1539,-5.1099,5.1954,-0.1787,-0.1401,-0.0441
-7.1809,-5.4395,5.1721,-0.2285,-0.1574,-0.0524
