ax,ay,az,gx,gy,gz
-1.9813,-11.6255,-5.7476,0.5492,0.6321,-0.6544
-1.8652,-12.1926,-6.0048,0.7262,0.6183,-0.6786
-1.8006,-12.4104,-5.9719,0.9609,0.5928,-0.7025
-1.5559,-12.4283,-5.8277,1.2043,0.5478,-0.6897
-0.9248,-12.2028,-5.519,1.5324,0.5443,-0.6648
-1.3107,-10.8933,-4.9358,1.7976,0.5476,-0.589
-1.6654,-10.5685,-4.5864,1.936,0.5146,-0.4756
-1.2891,-10.7886,-4.3687,2.0659,0.4478,-0.3573
-1.005,-11.7607,-4.2975,2.2962,0.3803,-0.2207
-0.813,-10.6714,-3.6443,2.502,0.2644,-0.0171
-0.8171,-10.8634,-3.3846,2.502,0.2162,0.0996
-0.9505,-9.6144,-2.8816,2.502,0.1878,0.1054
-1.0158,-7.5308,-2.2247,2.502,0.1482,0.2071
-1.3579,-6.2776,-1.4512,2.502,0.1232,0.3229
-1.6487,-7.4656,-1.2628,2.502,0.0615,0.3613
-0.1938,-9.1155,-1.4177,2.502,0.0592,0.4252
-1.7557,-9.2429,-1.3926,2.502,0.1166,0.3183
-1.5326,-7.0421,-0.2925,2.502,0.1216,0.0322
-1.4554,-4.9878,0.6694,2.502,0.14,-0.1465
-1.1545,-4.8927,1.0594,2.502,0.1482,-0.1343
-0.6371,-7.2156,0.9613,2.502,0.1829,-0.0985
-0.6772,-7.4172,1.0187,2.502,0.1725,-0.0416
-1.6469,-6.3912,1.4985,2.502,0.1184,-0.0608
-0.9147,-5.3677,2.1601,2.502,-0.0133,-0.1133
0.786,-5.0435,2.6973,2.3002,-0.0822,0.0189
0.6461,-6.0389,2.8427,2.0074,-0.0739,0.337
-1.2209,-6.326,3.1035,1.9093,-0.1164,0.3717
0.2118,-5.7314,3.6688,1.776,-0.2059,0.3959
0.6987,-6.1334,3.8638,1.6458,-0.1791,0.4707
-0.393,-6.7059,4.0481,1.5656,-0.1516,0.4675
0.99,-7.0122,4.2622,1.578,-0.0206,0.3346
0.4708,-6.2979,4.5422,1.5899,0.0932,0.2939
-0.189,-5.2648,4.9029,1.5386,0.1616,0.2201
-0.6305,-4.59,5.077,1.2815,0.1558,0.2185
-0.2423,-6.4744,4.5242,1.0077,0.1319,0.3461
-0.7968,-7.3914,4.4201,0.9672,0.1276,0.3314
-0.6712,-6.4277,4.8837,0.9839,0.1009,0.292
-1.1533,-5.6183,5.1876,0.9,0.1014,0.3335
-1.6158,-5.5316,5.3318,0.7577,0.0431,0.3137
-1.2359,-5.5914,5.2851,0.6132,-0.0086,0.2877
-1.4853,-5.668,5.3527,0.5166,-0.0182,0.2478
0.0855,-5.8564,5.2642,0.4013,0.0681,0.207
-0.923,-4.3035,5.7452,0.296,0.1394,0.2006
-1.7067,-2.8038,6.0939,0.0256,0.1405,0.1271
-1.6648,-2.1775,6.2465,-0.4064,0.0809,0.0471
-0.5647,-3.0096,6.0778,-0.8153,0.0441,0.0092
-0.6239,-3.2542,6.0323,-1.0869,0.0719,-0.0329
-0.88,-2.5717,5.872,-1.3062,0.1253,-0.0866
-0.3057,-1.7025,5.8199,-1.6113,0.163,-0.0978
1.5278,-2.5693,5.2792,-1.9603,0.2491,-0.0052
1.5876,-3.5079,4.5296,-2.2032,0.419,0.194
0.2237,-1.0355,4.3172,-2.4665,0.6901,0.317
-2.0082,2.2122,4.675,-2.502,0.7331,0.3293
-3.8064,6.8339,4.9801,-2.502,0.6335,0.2041
-4.4877,11.123,4.474,-2.502,0.3829,-0.1186
-2.8582,11.9013,2.4066,-2.502,0.153,-0.3692
-2.6877,11.5065,-0.7376,-2.502,0.0324,-0.3841
-1.6612,7.5571,-5.3079,-2.502,-0.0693,-0.4636
-2.321,3.5749,-9.0748,-2.502,-0.0599,-0.6376
-4.0822,0.4654,-11.9402,-2.502,-0.1581,-0.9475
-0.3637,-6.274,-14.0375,-2.502,-0.2524,-1.1019
0.1561,-8.7434,-15.0311,-2.502,-0.14,-1.3381
-2.793,-4.7719,-13.7575,-2.502,-0.335,-1.9784
-0.8859,-6.131,-14.2445,-2.502,-0.5619,-1.9906
0.4582,-6.463,-14.2846,-2.502,-0.7427,-1.8608
