ax,ay,az,gx,gy,gz
-6.2477,-7.0935,3.8895,0.906,1.064,0.1805
-5.9043,-7.5643,3.8112,0.9435,1.0331,0.1345
-5.9234,-7.5583,3.7304,1.0163,1.0321,0.0867
-5.8774,-7.1779,3.8369,1.0648,1.025,0.0279
-5.0895,-7.2514,3.8566,1.1002,1.0386,-0.0107
-5.1338,-7.6349,3.7448,1.1197,1.0951,0.0666
-6.2261,-7.1815,3.7819,1.1853,1.1277,0.0628
-7.1127,-6.3452,3.9894,1.1994,1.0815,0.0223
-6.3446,-6.603,3.9242,1.1279,0.9686,0.0456
-6.1436,-6.9583,3.8716,1.1077,0.9129,0.1165
-6.2818,-6.7316,3.935,1.0863,0.8749,0.1568
-6.9535,-5.9456,4.2455,1.08,0.838,0.166
-6.0174,-5.6022,4.34,1.025,0.8163,0.0938
-5.5549,-5.9964,4.1982,0.9213,0.8564,0.1299
-6.259,-6.74,3.926,0.8748,0.8942,0.2055
-6.4355,-6.8357,3.8542,0.9096,0.9013,0.1942
-6.6574,-6.4564,3.9254,0.9255,0.8806,0.2024
-6.6987,-6.5396,3.862,0.9187,0.8566,0.2353
-7.4046,-6.3188,3.8901,0.9233,0.8254,0.2476
-7.6385,-6.1962,4.0164,0.9499,0.7701,0.2345
-7.6217,-5.0572,4.3113,0.948,0.7102,0.1483
-7.5697,-5.3689,4.2503,0.7299,0.6143,0.1397
-7.5691,-5.5442,4.2251,0.679,0.565,0.1222
-6.9218,-5.6285,4.1868,0.6467,0.5203,0.1109
-6.4953,-6.1125,4.0409,0.634,0.5189,0.2087
-6.9703,-5.8409,4.0929,0.6458,0.5318,0.2885
-7.1605,-5.7799,4.148,0.653,0.5362,0.2781
-7.6325,-4.9657,4.2915,0.6888,0.54,0.2718
-8.2403,-3.6664,4.5308,0.5813,0.4922,0.2539
-7.6499,-5.1565,4.142,0.4117,0.4312,0.2853
-8.004,-5.8152,4.0158,0.3972,0.4041,0.2553
-7.5954,-5.3121,4.2096,0.4475,0.3636,0.1594
-5.9593,-6.0897,3.9553,0.4727,0.4216,0.2609
-6.8836,-6.3595,3.8399,0.5709,0.5015,0.3868
-7.8144,-6.3781,3.8309,0.6887,0.5137,0.3854
-9.2219,-3.8746,4.3627,0.7301,0.4129,0.2853
-7.7827,-4.4662,4.349,0.5977,0.2922,0.2484
-6.6921,-4.797,4.2389,0.5217,0.2828,0.2796
-7.6253,-5.001,4.1725,0.5084,0.3339,0.3903
-8.884,-3.8776,4.5284,0.511,0.3057,0.3582
-8.6345,-2.9868,4.6762,0.396,0.2132,0.2666
