ax,ay,az,gx,gy,gz
-7.7055,-8.0818,0.4618,0.7934,-0.7282,0.0919
-7.6451,-8.1045,0.3272,0.8712,-0.803,0.2178
-7.7402,-6.1537,0.9984,0.8525,-0.9365,0.4084
-8.7027,-5.4634,1.3167,0.7176,-1.0697,0.6177
-9.6383,-6.0957,1.3609,0.5776,-1.2504,0.8357
-8.6979,-4.4267,2.0148,0.3827,-1.5469,0.8381
-7.9065,-5.056,2.1045,0.1039,-1.7225,0.9422
-8.5418,-4.7958,2.5196,-0.2009,-1.9236,0.9865
-7.4662,-4.2951,2.8445,-0.3661,-2.0086,0.8912
-6.527,-4.4824,2.9264,-0.5792,-1.9926,0.8645
-6.5533,-5.4963,2.741,-0.7514,-1.9095,0.8363
-7.2562,-6.0329,2.5974,-0.786,-1.8444,0.7401
-6.4798,-5.9163,2.5454,-0.8152,-1.8053,0.6448
-6.2052,-6.7842,2.3085,-0.8336,-1.7284,0.5747
-5.939,-7.005,2.2923,-0.7825,-1.6147,0.4578
-5.6219,-6.6485,2.3821,-0.7356,-1.4784,0.3314
-5.9617,-6.9715,2.3312,-0.7119,-1.3365,0.2089
-5.6088,-6.8518,2.3013,-0.6526,-1.071,-0.0681
-5.479,-6.283,2.4526,-0.6806,-0.9542,-0.1765
-5.7811,-6.7555,2.3312,-0.7502,-0.8426,-0.2144
-6.0508,-6.6987,2.3581,-0.7666,-0.7772,-0.3373
-5.738,-5.8762,2.4407,-0.8223,-0.7369,-0.3987
-5.8337,-6.2315,2.3749,-0.965,-0.7139,-0.379
-5.6459,-6.8333,2.2451,-1.0453,-0.7004,-0.3443
-5.6387,-6.926,2.0853,-1.0703,-0.6949,-0.3186
-5.0279,-7.9561,1.7844,-1.1098,-0.6646,-0.1712
-5.7805,-8.7727,1.3382,-1.037,-0.641,-0.0501
-5.5831,-8.5382,1.2837,-0.9281,-0.6804,0.006
-5.7799,-9.0335,1.2933,-0.8206,-0.6997,0.2337
-6.1172,-8.6213,1.5613,-0.7434,-0.693,0.2745
-5.6662,-7.6863,1.8347,-0.6868,-0.7051,0.1915
-5.214,-6.8501,2.0674,-0.7136,-0.6678,0.1579
-5.7021,-6.6395,2.1117,-0.8314,-0.6131,0.2023
-6.0371,-6.591,2.0225,-0.9043,-0.5887,0.1744
-5.5591,-6.4223,1.949,-1.0009,-0.5671,0.1427
