ax,ay,az,gx,gy,gz
1.389,-8.8092,-4.456,0.0204,-0.0939,-0.0014
1.4381,-8.7769,-4.3932,0.0428,-0.0921,-0.0028
1.3705,-8.6333,-4.3573,0.061,-0.0937,-0.0038
1.45,-8.3862,-4.2197,0.0568,-0.1111,-0.0108
1.6229,-8.3797,-4.2144,0.047,-0.1022,0.0008
1.6822,-8.4419,-4.2491,0.0402,-0.0833,0.0111
1.608,-8.4299,-4.2449,0.0399,-0.0622,0.013
1.2431,-8.4114,-4.2168,0.0397,-0.0495,0.0186
1.349,-8.3563,-4.2054,0.0323,-0.0596,-0.0053
1.544,-8.3521,-4.2108,0.0234,-0.0612,-0.002
1.2682,-8.3085,-4.1719,0.007,-0.0611,0.0217
1.2455,-8.5214,-4.2491,-0.0044,-0.0671,0.017
1.3065,-8.5023,-4.3023,0.0008,-0.0713,0.0148
1.4865,-8.461,-4.2873,-0.0018,-0.0783,0.0191
1.3274,-8.4838,-4.319,-0.0116,-0.0712,0.0024
1.5769,-8.5328,-4.3597,-0.013,-0.0608,0.0027
1.4363,-8.5705,-4.3394,-0.0161,-0.0455,0.0096
1.2401,-8.6243,-4.3639,-0.013,-0.0438,0.0131
1.0941,-8.5854,-4.3735,0.0037,-0.058,0.0206
1.1797,-8.4054,-4.2754,0.0018,-0.0681,0.0015
1.4022,-8.2845,-4.2485,-0.02,-0.0799,0.0099
1.3442,-8.3312,-4.2383,-0.0415,-0.0686,0.0179
1.1444,-8.2965,-4.1946,-0.0535,-0.0641,-0.0014
1.1683,-8.0423,-4.1043,-0.0638,-0.0686,-0.0352
1.4016,-7.9214,-4.0397,-0.1846,-0.0637,-0.0217
1.1282,-8.0572,-4.1085,-0.2414,-0.0677,0.0034
1.1486,-8.2971,-4.2508,-0.2834,-0.0826,0.0011
1.2275,-8.5549,-4.3358,-0.291,-0.0968,-0.0125
1.3759,-8.6686,-4.4213,-0.2631,-0.1087,-0.011
1.5924,-8.4616,-4.4979,-0.2395,-0.0916,-0.0233
1.4734,-8.2331,-4.5218,-0.2502,-0.0647,-0.021
1.1874,-8.0572,-4.6642,-0.2683,-0.0517,-0.0273
1.1779,-8.1858,-4.6947,-0.2965,-0.0577,-0.0292
1.459,-8.3192,-4.7976,-0.3045,-0.0702,-0.0444
1.4387,-8.3043,-4.8323,-0.3009,-0.0748,-0.0111
1.5906,-9.0197,-5.1332,-0.2675,-0.0622,0.0208
1.2963,-9.1304,-5.254,-0.2051,-0.0424,0.0234
1.1785,-9.3577,-5.3725,-0.147,-0.0416,0.0042
1.1312,-9.8237,-5.5202,-0.0606,-0.0505,-0.0204
1.1222,-9.7819,-5.4437,0.0822,-0.0868,-0.025
1.4441,-8.878,-5.1188,0.2014,-0.1016,-0.0421
1.2048,-7.9615,-4.8634,0.2363,-0.1054,-0.0521
1.3418,-7.7216,-4.7139,0.1763,-0.1248,-0.0378
1.7037,-8.0369,-4.7163,0.124,-0.1148,-0.0184
1.4931,-8.2869,-4.7641,0.1122,-0.0999,-0.0198
0.9715,-8.2074,-4.9783,0.1024,-0.0821,-0.0123
0.6335,-8.7787,-5.2941,0.0514,-0.077,-0.0349
0.4134,-9.6485,-5.7846,0.0137,-0.1058,-0.0229
0.5294,-11.1236,-6.384,0.0655,-0.1559,-0.0476
0.1286,-12.0377,-6.868,0.2241,-0.2161,-0.0528
-0.347,-12.0395,-7.258,0.4521,-0.2855,-0.1158
0.1011,-13.0576,-8.0291,0.6285,-0.3738,-0.1447
1.2323,-16.0008,-9.2183,0.8789,-0.4471,-0.0023
2.5938,-19.5996,-11.4377,1.3681,-0.4615,0.4589
2.2152,-19.5996,-14.9282,2.2533,-0.417,0.9743
2.1093,-19.5996,-19.5709,2.502,-0.4025,1.2884
-0.0347,-19.5996,-19.5709,2.502,-0.3684,0.4183
1.4495,-19.5996,-19.5709,2.502,-0.535,-0.1089
5.0219,-12.149,-19.5709,2.502,-0.5785,-0.5155
10.2491,-0.4211,-19.5709,2.502,-0.2436,-0.5271
7.7545,7.8628,-19.4836,2.502,0.1972,0.0647
