ax,ay,az,gx,gy,gz
3.1304,-7.2778,-4.4674,-0.026,-0.0772,0.0946
2.1488,-7.4662,-4.547,-0.0389,-0.0525,0.0695
2.7302,-7.328,-4.5864,-0.0619,-0.0806,0.0031
2.6393,-8.0698,-4.7725,-0.1186,-0.1114,0.0249
2.5675,-8.1661,-4.8437,-0.1004,-0.128,0.0315
2.3432,-7.8353,-4.7946,-0.0945,-0.1508,0.004
2.7912,-7.9352,-4.8879,-0.1079,-0.1736,-0.0303
3.1017,-8.0495,-4.8885,-0.124,-0.1706,0.0101
2.8038,-8.534,-5.0423,-0.0964,-0.1283,0.0725
2.811,-8.1488,-4.9011,0.0037,-0.131,-0.0085
3.3673,-7.5015,-4.7701,-0.0115,-0.1132,0.0087
3.1878,-8.1171,-4.8221,-0.051,-0.0756,0.0409
3.2279,-7.5476,-4.7462,-0.0231,-0.0378,0.0207
2.6596,-7.3029,-4.6899,-0.0686,-0.0188,0.0626
2.592,-7.9974,-4.7767,-0.1203,-0.0409,0.0801
2.3551,-8.1021,-4.8012,-0.0948,-0.0523,0.0574
2.6483,-7.6002,-4.7121,-0.0803,-0.0816,-0.0034
2.7727,-7.6923,-4.7635,-0.108,-0.0929,-0.0021
2.8116,-7.1599,-4.8185,-0.1494,-0.0999,-0.0064
2.5065,-7.5015,-4.9274,-0.2085,-0.0951,0.0371
2.3282,-7.6768,-4.9567,-0.2308,-0.1103,0.0502
2.2373,-8.4084,-5.1494,-0.23,-0.143,0.063
2.7141,-8.4975,-5.1541,-0.1473,-0.1787,0.0286
2.9838,-7.8467,-4.937,-0.0912,-0.1727,0.0177
3.32,-7.7019,-4.8042,-0.085,-0.1494,0.0008
3.3835,-7.1731,-4.678,-0.118,-0.099,0.0387
2.9737,-7.395,-4.7163,-0.1624,-0.0756,0.0498
3.1502,-7.5535,-4.8012,-0.2059,-0.0528,0.0646
2.653,-7.6702,-5.0243,-0.1953,-0.0242,0.0781
2.1924,-7.5972,-5.0219,-0.215,-0.0307,0.0742
2.3133,-7.7324,-5.1254,-0.2142,-0.0573,0.0409
2.3725,-7.9173,-5.1876,-0.231,-0.079,0.0412
2.8792,-8.4287,-5.3186,-0.2133,-0.0908,0.0459
2.4102,-8.7817,-5.4185,-0.141,-0.0843,0.0845
2.7087,-8.1015,-5.3456,-0.037,-0.087,-0.0158
2.9898,-7.8748,-5.3743,-0.0359,-0.0736,-0.0115
2.6177,-8.26,-5.6046,-0.0455,-0.0533,0.0389
2.6112,-9.7484,-6.1687,-0.0135,-0.0444,0.0744
1.4399,-11.0052,-6.8255,0.3926,-0.1179,0.11
2.336,-13.1557,-7.4548,0.9008,-0.1897,-0.1232
3.0652,-11.7392,-7.1994,1.2392,-0.1568,-0.1014
1.4357,-11.0853,-6.9105,1.4421,-0.1279,-0.0401
2.0997,-10.5817,-6.7149,1.6422,-0.1935,-0.1943
4.5553,-10.4973,-6.9015,1.7859,-0.1585,-0.2148
4.407,-13.1336,-7.5511,1.8768,0.0029,0.0162
4.3059,-16.1402,-8.342,2.2394,0.1419,0.0401
5.991,-19.5996,-9.7663,2.4648,0.3264,0.2191
4.3244,-19.5996,-10.998,2.502,0.5586,0.1771
4.0863,-19.5996,-11.7852,2.502,0.6844,0.0058
5.6231,-19.5996,-16.3884,2.502,0.9514,0.395
7.416,-19.5996,-18.3727,2.502,1.093,0.361
6.2357,-19.5996,-19.5583,2.502,1.2771,0.3866
6.2411,-9.3284,-18.1436,2.502,1.4187,0.3109
8.3695,-13.1569,-19.4435,2.502,1.5174,1.0752
4.9507,-6.7178,-19.1868,2.502,1.5378,1.3833
7.136,2.0154,-15.5216,2.502,1.4042,1.5222
5.6548,2.2313,-12.8842,2.502,1.4227,2.2674
-0.941,3.4696,-9.5725,2.502,1.3865,2.4086
-3.6078,12.4953,-3.3476,2.502,1.1554,1.6929
-0.8004,11.1625,0.5563,2.502,0.9632,0.606
-4.2437,4.8377,2.6812,2.502,0.8509,-0.0607
-5.5256,6.4152,4.2616,2.502,0.5996,-1.0372
-1.6702,10.1635,6.46,2.502,0.295,-1.4358
-0.399,10.8855,8.2265,2.502,0.1073,-1.341
1.9687,10.8383,9.8321,2.502,-0.0338,-0.727
1.5924,5.6991,9.7316,2.4612,-0.1691,-0.0447
3.2333,3.3852,9.7837,2.304,-0.2141,0.2349
3.1077,3.3464,10.197,1.923,-0.2135,0.5312
3.9655,-0.5946,9.6562,1.6067,-0.1521,0.8072
1.7928,-2.2493,9.5498,1.6649,-0.0053,0.8609
-0.3194,0.9679,10.6582,1.5912,-0.0075,0.3594
-0.6861,1.4506,10.9508,1.4041,-0.0626,0.0961
-0.7244,4.1049,11.8337,1.2921,-0.1646,-0.2404
0.1932,6.131,12.2578,0.7367,-0.2618,-0.285
2.3653,0.7501,10.7946,0.2269,-0.2821,-0.2213
4.1701,-1.7115,9.679,-0.0212,-0.1875,-0.0114
1.9729,-4.3454,8.595,0.0732,-0.0091,0.206
0.4558,-2.7356,8.7159,0.1749,-0.0018,0.2597
0.1214,-3.0574,8.5304,0.1806,-0.0499,0.3026
-0.4714,-4.0941,8.3055,0.1913,-0.1109,0.3235
0.1711,-5.1745,8.3438,0.5519,-0.1595,-0.0215
