ax,ay,az,gx,gy,gz
-2.1159,-8.0106,-4.6959,1.9797,-0.4823,-0.4942
-1.8401,-7.7599,-4.3364,1.9006,-0.4023,-0.4219
-1.9232,-7.669,-4.1856,1.8017,-0.3186,-0.3736
-2.6088,-8.674,-4.3872,1.7032,-0.2629,-0.2966
-3.0078,-8.9001,-4.4501,1.6905,-0.245,-0.3089
-3.0592,-8.9737,-4.3986,1.6955,-0.2614,-0.3352
-3.0748,-9.2136,-4.2503,1.6922,-0.297,-0.3248
-1.6768,-9.4816,-4.2263,1.6942,-0.327,-0.2994
-1.669,-9.5527,-4.1629,1.7094,-0.3153,-0.2345
-1.9878,-9.6293,-4.0606,1.7102,-0.3031,-0.1448
-1.7109,-10.6995,-4.3155,1.8117,-0.3242,-0.0117
-1.8479,-10.7133,-4.127,1.9357,-0.2948,-0.0389
-1.9208,-9.6221,-3.5605,2.0432,-0.27,-0.1042
-1.4901,-8.8487,-2.9719,2.0685,-0.2531,-0.1302
-1.9747,-8.4556,-2.6339,2.0223,-0.2064,-0.1174
-1.9801,-8.6124,-2.6124,1.9871,-0.1355,-0.1565
-2.1476,-9.4941,-2.7745,1.9568,-0.0898,-0.1825
-1.9896,-11.0513,-3.1603,2.0482,-0.0344,-0.1965
-2.4843,-11.3037,-3.274,2.2815,0.004,-0.2632
-3.0497,-9.734,-2.5956,2.4635,0.0024,-0.3358
-2.2223,-7.8897,-1.4016,2.4391,-0.1038,-0.3139
-2.4233,-7.8413,-1.0899,2.3443,-0.0961,-0.2485
-2.6004,-8.4084,-1.0367,2.2755,-0.1131,-0.1777
-3.3129,-8.6124,-0.8231,2.2717,-0.1678,-0.1465
-2.9731,-8.2385,-0.4445,2.2907,-0.2591,-0.2479
-1.5045,-8.1386,-0.1801,2.2445,-0.3218,-0.2568
-1.0146,-7.8802,0.216,2.1855,-0.3028,-0.2218
-0.5168,-8.3402,0.3523,2.0953,-0.2373,-0.1206
-1.3771,-9.0263,0.2865,2.0869,-0.1408,-0.0521
-1.7838,-8.805,0.5264,2.1602,-0.1288,-0.1199
-1.0056,-8.7835,0.7466,2.2137,-0.0903,-0.1145
-1.3729,-7.0792,1.6211,2.1818,-0.0202,-0.2523
-1.6899,-6.7555,1.8766,2.0961,0.0234,-0.202
-3.0604,-6.3464,2.2845,1.9675,0.0083,-0.1848
-2.6674,-6.5228,2.4939,1.8326,-0.0793,-0.2201
-1.6905,-6.9996,2.5765,1.712,-0.1313,-0.1828
-1.0935,-7.8544,2.5125,1.6451,-0.1339,-0.0828
-1.4471,-7.4207,2.9539,1.6783,-0.1093,-0.0534
-0.8722,-6.1262,3.6419,1.6542,-0.0991,-0.0942
-1.1121,-5.0136,4.3573,1.5101,-0.0641,-0.0432
-1.1677,-3.9446,4.9202,1.2633,-0.0195,0.0173
-1.5972,-4.3376,5.0782,0.6746,0.0,0.0338
-1.541,-4.2921,5.1882,0.4497,0.0136,0.0057
-1.5517,-4.1294,5.2283,0.2123,0.0294,-0.0153
-1.6839,-3.5988,5.1948,-0.0531,0.0299,-0.0218
-1.9232,-3.8279,4.9998,-0.3636,0.0102,0.0021
-1.7336,-4.5817,4.7737,-0.6521,0.0053,0.0433
-0.4929,-4.882,4.7037,-0.841,0.0128,-0.0218
0.5617,-4.6104,4.8347,-0.9959,0.1244,-0.0599
1.2431,-3.4666,5.2708,-1.1787,0.3056,-0.0465
0.7705,-0.3398,6.265,-1.5,0.5115,-0.0334
1.5846,1.9645,6.588,-2.0803,0.6855,-0.0226
-1.809,4.5619,5.3833,-2.502,1.0845,0.2587
-3.5743,5.9988,4.526,-2.502,0.9959,-0.025
-0.0933,9.0951,3.8267,-2.502,0.8501,-0.4007
3.3117,12.3829,2.0213,-2.502,0.8846,-0.5976
3.4606,13.7527,-1.4692,-2.502,1.1111,-0.42
1.5703,13.4088,-6.0742,-2.502,1.3221,-0.2463
0.7346,10.4273,-10.8933,-2.502,1.439,-0.3531
0.5462,6.8387,-15.2848,-2.502,1.5741,-0.608
0.2895,5.0542,-18.2758,-2.502,1.7315,-0.9475
-0.3721,-1.2939,-19.5709,-2.502,1.8553,-1.2059
-6.347,-6.3482,-19.5709,-2.502,1.8163,-2.2084
-3.8554,-6.6108,-19.5709,-2.502,1.3196,-2.4791
1.651,-6.9978,-19.5709,-2.502,0.819,-2.502
6.143,-9.95,-19.5709,-2.502,0.5183,-2.3379
4.9418,-16.0522,-19.5709,-2.502,0.3986,-1.1847
0.9769,-19.5996,-19.5709,-2.502,0.2434,0.3173
-4.3926,-19.5996,-19.5709,-2.502,-0.0182,1.3725
-6.0933,-19.5996,-19.5709,-2.502,-0.4007,1.1428
-4.517,-19.5996,-19.5709,0.0538,-0.7634,-0.1171
0.7753,-15.4158,-18.0586,2.1028,-0.9122,-0.9129
3.798,1.1581,-11.6046,2.502,-0.7637,-1.2204
2.7745,8.9868,-5.9964,1.2452,-0.3086,0.1829
-0.32,1.6977,-7.1372,0.1127,-0.1872,0.5278
-1.398,-1.675,-7.7886,-0.1965,-0.1732,0.3674
-1.0008,-0.9697,-7.6911,-0.2481,-0.2117,0.1063
-1.1324,-2.0279,-8.2152,-0.514,-0.2348,0.1268
-1.9023,-5.1882,-9.4199,-0.7272,-0.3039,0.2086
-1.6582,-7.4489,-10.3137,-0.6495,-0.3802,0.139
-1.1121,-7.9268,-10.6522,-0.378,-0.4313,0.0509
-0.5862,-6.7364,-10.3681,-0.0902,-0.4689,-0.0104
-0.277,-5.6136,-10.0032,0.0815,-0.4612,-0.0121
0.259,-4.4584,-9.5121,0.173,-0.3603,-0.0201
0.1424,-2.8277,-8.7811,0.083,-0.2725,0.041
-0.2183,-3.3386,-8.8666,-0.0053,-0.2143,0.0413
-0.3117,-3.2812,-8.8846,-0.0338,-0.1668,0.0105
-0.7496,-3.4576,-9.015,-0.0909,-0.1367,0.0138
-1.1336,-4.2293,-9.3356,-0.1224,-0.1325,0.0195
-1.3872,-4.6253,-9.5324,-0.0933,-0.15,-0.0133
-1.136,-4.7037,-9.5402,-0.0084,-0.1891,-0.069
-0.9733,-4.3627,-9.341,0.0769,-0.2192,-0.1124
-0.4175,-3.7286,-9.0945,0.1301,-0.2219,-0.1287
-0.1645,-3.1322,-8.9103,0.1045,-0.2027,-0.1007
-0.4199,-3.5509,-8.997,0.0173,-0.1901,-0.067
-0.2979,-3.4786,-9.0042,0.0124,-0.1927,-0.0691
-0.4193,-3.469,-9.0574,-0.0052,-0.1923,-0.0845
-0.408,-3.9643,-9.1926,-0.0232,-0.2027,-0.0606
-0.0831,-4.2311,-9.204,-0.006,-0.202,-0.0419
-0.2441,-4.1169,-9.0311,0.0409,-0.1759,-0.0454
