ax,ay,az,gx,gy,gz
1.8616,-6.9212,-5.0381,-0.1545,-0.0845,0.0352
1.9789,-7.4477,-5.1858,-0.2033,-0.1033,0.0288
2.1829,-8.0004,-5.3145,-0.1755,-0.1328,0.0562
2.3402,-7.9023,-5.3258,-0.138,-0.125,0.0134
2.3521,-7.5206,-5.254,-0.127,-0.1032,0.0058
2.3348,-7.7904,-5.342,-0.1523,-0.0946,0.0073
2.263,-8.1027,-5.4598,-0.1395,-0.0862,-0.0235
2.0602,-7.9059,-5.4742,-0.1121,-0.0834,-0.0164
1.9298,-7.7827,-5.4395,-0.1037,-0.1006,-0.0057
1.8927,-7.5045,-5.3414,-0.1029,-0.1139,-0.0489
2.2965,-7.5284,-5.3581,-0.116,-0.1307,-0.0279
2.318,-7.7964,-5.4407,-0.1126,-0.1312,-0.0092
2.333,-7.8969,-5.2624,-0.0444,-0.1049,-0.0318
1.9466,-7.3214,-5.3001,-0.1066,-0.0912,0.022
2.0704,-7.6271,-5.4173,-0.1205,-0.1003,-0.0311
2.254,-7.8509,-5.4796,-0.1225,-0.1087,-0.0044
2.3085,-8.2235,-5.6082,-0.0841,-0.1056,0.0269
2.184,-7.5715,-5.4724,-0.0223,-0.1007,0.0021
2.2385,-7.1593,-5.4347,-0.0389,-0.0935,-0.0036
1.9926,-7.7934,-5.68,-0.0714,-0.0957,0.0124
2.1374,-7.7982,-5.6662,-0.0492,-0.1122,-0.006
2.1488,-7.5476,-5.5878,-0.0295,-0.1164,-0.0289
2.2558,-7.483,-5.4479,-0.0327,-0.1213,-0.0037
1.9364,-7.1139,-5.257,-0.086,-0.1109,0.0005
2.2588,-6.944,-5.2247,-0.1259,-0.1283,-0.0233
2.2774,-7.0038,-5.2415,-0.1768,-0.1312,-0.0061
2.4652,-7.0158,-5.3115,-0.2228,-0.1213,0.0005
2.3456,-7.0409,-5.3701,-0.2573,-0.1087,-0.0043
2.2851,-7.1719,-5.4479,-0.3013,-0.0833,0.0014
1.8706,-7.3729,-5.5657,-0.3269,-0.0827,-0.0406
2.1434,-7.602,-5.7284,-0.3383,-0.0971,-0.0461
1.8694,-7.6708,-5.7553,-0.3228,-0.1038,-0.0372
1.7551,-7.3854,-5.7739,-0.2849,-0.1156,-0.0579
1.8072,-7.2514,-5.793,-0.3019,-0.162,-0.0342
1.9926,-7.4836,-5.9498,-0.3215,-0.1792,-0.0228
2.2463,-7.5141,-5.9414,-0.2995,-0.1808,-0.0358
2.3348,-7.6905,-6.052,-0.2962,-0.1634,-0.015
2.4371,-7.9513,-6.2668,-0.2647,-0.1311,-0.0255
