ax,ay,az,gx,gy,gz
-3.003,-8.321,-2.3737,-0.126,-0.3941,-0.4003
-2.5932,-7.8299,-2.2929,-0.2014,-0.4189,-0.4381
-2.5693,-7.7719,-2.3186,-0.3071,-0.4224,-0.4558
-2.5358,-8.7494,-2.5573,-0.4027,-0.4259,-0.4762
-2.1284,-8.3797,-2.3964,-0.398,-0.4345,-0.5358
-2.1356,-7.4064,-2.4197,-0.6015,-0.4568,-0.5304
-2.1817,-8.1087,-2.7452,-0.7598,-0.488,-0.4457
-2.5896,-8.8534,-3.1675,-0.8199,-0.5392,-0.4007
-2.6004,-9.1968,-3.2961,-0.8039,-0.6093,-0.416
-2.2164,-8.6501,-3.3129,-0.7698,-0.6832,-0.4297
-2.0931,-8.5519,-3.3242,-0.7789,-0.7326,-0.4348
-1.7312,-8.08,-3.402,-0.8445,-0.8064,-0.4283
-1.599,-8.3868,-3.6706,-0.9205,-0.8699,-0.36
-1.3496,-8.4,-3.8447,-0.9726,-0.9181,-0.3047
-1.2317,-8.6405,-3.9978,-1.0094,-0.9365,-0.2744
-1.0995,-8.5998,-4.0983,-1.0759,-0.9281,-0.281
-0.6724,-8.9946,-4.2526,-1.087,-0.8924,-0.2881
-1.0744,-9.4158,-4.2706,-1.0623,-0.8708,-0.2676
-0.4953,-8.7105,-4.1025,-1.0086,-0.8552,-0.2997
-0.2489,-8.385,-3.9506,-0.9965,-0.8154,-0.2863
-0.0634,-7.9478,-3.8752,-1.0212,-0.7456,-0.2768
-0.2082,-7.6259,-3.9135,-1.0748,-0.671,-0.2619
-0.2082,-7.6528,-3.999,-1.128,-0.5841,-0.2805
0.2058,-7.3932,-4.0887,-1.1657,-0.4776,-0.3067
0.1579,-6.9655,-4.2287,-1.2334,-0.3327,-0.3068
-0.4672,-7.2921,-4.6199,-1.31,-0.203,-0.3018
-0.7196,-7.3466,-5.1505,-1.3715,0.0076,-0.3696
-1.2371,-7.4339,-5.5322,-1.4354,0.0793,-0.3698
-1.8562,-8.2241,-6.1083,-1.4713,0.0995,-0.3971
-2.1302,-8.9396,-6.5462,-1.4418,0.0741,-0.4201
-1.5834,-9.0556,-6.7178,-1.3189,0.0102,-0.4871
-1.2299,-8.2409,-6.5031,-1.2064,-0.0291,-0.4396
-1.0008,-7.7904,-6.3332,-1.1852,-0.0496,-0.3461
-1.0044,-7.5894,-6.2489,-1.1584,-0.0478,-0.3074
-1.0534,-7.1103,-6.1651,-1.1461,-0.0337,-0.2705
-0.9374,-6.7675,-6.0843,-1.1567,-0.0141,-0.2501
-0.8572,-6.5324,-6.134,-1.225,0.0441,-0.2009
-1.2473,-6.5019,-6.4295,-1.2939,0.0605,-0.1955
-1.7749,-7.3196,-6.7519,-1.3379,0.0243,-0.1856
