ax,ay,az,gx,gy,gz
-7.2538,-6.411,1.6403,0.9975,-0.2495,0.6445
-7.1695,-5.8588,1.9771,1.002,-0.2464,0.6447
-7.6128,-4.6834,2.403,0.9684,-0.2122,0.5834
-7.8018,-4.8006,2.4162,0.8317,-0.1988,0.5421
-7.7282,-5.1392,2.3055,0.7436,-0.1967,0.4187
-7.7737,-5.5639,2.2211,0.6736,-0.2049,0.3552
-6.9769,-6.1783,2.0506,0.649,-0.2049,0.4124
-7.6361,-6.8429,2.0267,0.7436,-0.201,0.4372
-7.2072,-5.6118,2.4305,0.7944,-0.2033,0.3789
-7.145,-5.6495,2.5819,0.7553,-0.1611,0.4057
-7.5464,-5.5591,2.7541,0.7356,-0.1365,0.3294
-6.9356,-4.9573,2.9013,0.6983,-0.1161,0.2012
-7.3346,-5.6836,2.7236,0.6032,-0.0745,0.2458
-7.1677,-5.8654,2.6207,0.6005,-0.0469,0.1939
-7.7982,-5.2307,2.7428,0.6118,-0.0294,0.1461
-7.2359,-4.8024,2.8516,0.5185,-0.0356,0.1288
-7.1581,-6.0724,2.5167,0.4531,-0.0147,0.1859
-8.0865,-5.7374,2.4185,0.4324,0.0317,0.2317
-8.272,-5.4066,2.4544,0.4376,-0.0088,0.1365
-7.7856,-5.5765,2.4694,0.4049,-0.0231,0.147
-7.8233,-5.5699,2.5537,0.4078,-0.0074,0.1578
-7.8359,-5.5597,2.5693,0.4347,0.0173,0.1566
-8.0195,-5.3049,2.7063,0.4682,0.0371,0.1268
-7.937,-4.7952,2.8439,0.4449,0.0317,0.1019
-7.5182,-6.2752,2.4419,0.4331,0.0398,0.1952
-8.0172,-5.3121,2.6136,0.5244,0.0599,0.1665
-7.3346,-5.4102,2.6094,0.5451,0.067,0.2587
-7.6959,-4.9095,2.7769,0.5926,0.1474,0.3637
-8.065,-4.3627,2.8935,0.6066,0.1821,0.3884
-8.327,-4.1569,2.8834,0.6224,0.2105,0.3956
-8.2995,-3.9811,2.9055,0.624,0.2219,0.4085
-8.0895,-3.0724,3.0598,0.5958,0.2462,0.4701
-8.208,-3.6072,2.8092,0.5651,0.3015,0.6292
-9.186,-1.7575,3.0808,0.5595,0.3409,0.6959
-9.5551,-1.3274,3.0162,0.4127,0.3369,0.8186
-9.7591,-1.59,2.8594,0.2417,0.2867,0.9223
-9.0802,-2.4138,2.3539,0.1623,0.2614,1.1067
-8.8349,-3.2949,1.8443,0.2373,0.281,1.3686
-11.7476,-0.8142,1.9519,0.2493,0.2176,1.7255
-12.4666,0.3763,2.1727,0.1515,0.0549,1.6929
-12.3075,1.9478,2.4335,-0.0511,-0.1207,1.4549
-12.1041,1.5637,2.1308,-0.3935,-0.2017,1.3596
-10.7348,-1.5212,1.2311,-0.6058,-0.2687,1.2592
-12.1591,-1.794,1.1097,-0.4665,-0.2889,0.982
-12.4307,0.5222,1.6929,-0.3257,-0.3673,0.5941
-10.8239,0.8363,1.7043,-0.5127,-0.4607,0.4533
-12.2441,1.6499,2.0267,-0.7115,-0.5218,0.3581
-12.7328,2.5412,2.1458,-1.0137,-0.6878,0.1903
-11.5436,4.3579,2.5244,-1.9849,-1.0643,-0.1189
-14.0255,11.2409,3.1167,-2.4109,-1.3786,-0.3711
-12.2818,10.3119,1.7366,-2.502,-1.69,-0.3749
-15.0568,12.4415,0.4522,-2.502,-1.9192,-0.3518
-11.6435,10.4417,-2.5172,-2.502,-2.3229,-0.069
-16.0678,6.8877,-5.254,-2.502,-2.4865,0.3151
-18.3212,10.2221,-7.2162,-2.502,-2.502,0.2925
-19.1043,8.013,-10.5404,-2.502,-2.502,0.1927
-19.5996,8.5047,-13.6487,-2.502,-2.502,-0.0065
-9.2913,-4.4112,-18.1155,-2.502,-2.502,0.2637
-7.7767,-11.9007,-17.7709,-2.502,-2.502,0.5534
-9.2369,-6.5396,-14.9276,-2.502,-2.502,-0.2504
-1.6217,-12.14,-14.2875,-2.502,-2.502,-0.8254
3.2171,-16.9537,-12.5581,-2.502,-2.502,-1.2449
2.7924,-16.5434,-10.3585,-2.502,-2.502,-1.7774
0.8411,-15.9847,-8.5831,-2.502,-2.0727,-2.0812
-2.2816,-14.0536,-7.3119,-2.502,-1.6394,-2.4098
2.5783,-16.9466,-7.3155,-2.502,-1.3536,-2.4832
-0.0413,-19.599,-7.0002,-2.502,-0.8913,-2.1151
-4.1139,-16.1743,-5.5567,-2.4629,-0.7592,-1.8515
-2.2726,-15.1831,-4.7958,-2.213,-0.8477,-1.4164
-2.3414,-14.4251,-4.1976,-1.9156,-0.8848,-0.5674
-2.1248,-13.1504,-3.332,-1.5876,-0.8291,-0.2467
-3.6479,-12.5133,-3.0329,-1.3885,-0.7393,-0.1407
-2.9103,-11.7733,-2.7613,-1.2452,-0.6504,-0.2014
-2.8092,-13.2712,-2.933,-1.0352,-0.4783,-0.1903
-3.9775,-13.2622,-2.7027,-0.6703,-0.301,-0.231
-3.5121,-11.9527,-2.345,-0.275,-0.1627,-0.3591
-4.2347,-10.1085,-1.9172,-0.0336,-0.0296,-0.3109
-5.7978,-9.3356,-1.733,0.0478,0.0473,-0.1564
-7.1348,-8.3767,-1.5404,0.0979,0.0115,-0.0958
-7.1737,-7.6505,-1.1916,0.0967,-0.0929,-0.0176
-6.7346,-6.7968,-0.5468,-0.1081,-0.2295,0.1197
-6.5815,-7.1821,-0.5055,-0.1859,-0.2175,0.106
-6.8094,-7.6164,-0.6173,-0.1929,-0.1709,0.0263
-6.658,-7.7689,-0.6317,-0.1601,-0.1272,-0.0598
-6.1747,-9.3745,-0.9619,-0.0589,-0.0712,-0.0341
-6.9972,-8.8026,-0.8399,0.1979,0.0044,-0.0311
-7.2168,-7.0379,-0.5115,0.3164,0.004,-0.0384
-7.0528,-7.3765,-0.5198,0.2879,-0.0279,0.0401
-7.0642,-6.9476,-0.3529,0.2953,-0.0402,0.0671
-7.1426,-5.7793,-0.0688,0.2708,-0.0522,0.0399
-7.2353,-5.7308,0.0269,0.1419,-0.0631,0.0541
-7.666,-7.1623,-0.2518,0.0322,-0.0992,-0.0252
-7.1067,-7.0014,-0.1777,0.0644,-0.1314,-0.1245
-6.8004,-6.6437,-0.0981,0.0468,-0.1365,-0.1655
-6.6287,-6.9553,-0.1478,0.0148,-0.1302,-0.1509
-6.1525,-7.6606,-0.3571,0.0058,-0.1032,-0.0744
-6.3793,-7.8227,-0.4744,0.0747,-0.0613,-0.0221
