ax,ay,az,gx,gy,gz
-0.6449,-7.0457,-5.997,1.169,-2.4257,1.4584
0.0054,-6.8363,-5.7721,1.0763,-2.5007,1.6596
-0.0706,-6.8142,-5.6447,1.0399,-2.502,1.7955
-0.0514,-6.4738,-5.3288,1.0258,-2.502,1.8551
-0.4648,-5.1679,-5.1745,1.0297,-2.502,1.8134
-1.0211,-4.2455,-5.2325,0.8173,-2.502,1.8427
-2.3575,-5.0692,-5.6746,0.5292,-2.502,1.8455
-2.3833,-6.947,-6.2853,0.3658,-2.502,1.7334
-1.008,-7.5793,-6.5749,0.4032,-2.502,1.5676
0.5635,-6.8273,-6.5306,0.4762,-2.502,1.5301
-0.9254,-6.7597,-6.7298,0.3804,-2.2187,1.7145
-1.2975,-6.8375,-6.7854,0.3452,-2.0147,1.6342
-0.5007,-7.6756,-7.0439,0.3489,-1.798,1.5334
-0.8166,-7.8514,-7.1504,0.4026,-1.529,1.4951
-1.9376,-8.333,-7.4865,0.4815,-1.294,1.4474
-2.537,-9.3063,-7.9286,0.5871,-1.1273,1.3949
-2.6046,-10.121,-8.3839,0.8249,-1.0192,1.3198
-2.0931,-9.6945,-8.4646,1.1594,-0.9197,1.202
-1.4608,-8.2217,-8.1655,1.4157,-0.8021,1.2194
-2.1063,-7.4405,-7.8317,1.544,-0.6676,1.3908
-3.2046,-6.7125,-7.5494,1.7368,-0.5199,1.5581
-4.7001,-4.3119,-6.8106,1.7129,-0.5159,1.6011
-4.9735,-3.6293,-6.539,1.6404,-0.5334,1.6724
-5.5143,-3.0897,-6.1729,1.5288,-0.5573,1.7655
-6.5486,-2.2457,-5.5268,1.4218,-0.6218,1.7817
-6.9691,-2.1218,-5.0082,1.2395,-0.7258,1.8147
-6.7005,-2.2146,-4.6373,1.1281,-0.8083,1.73
-6.7675,-1.2401,-4.145,1.0434,-0.8616,1.6034
-7.8838,-0.6383,-3.7711,0.7899,-0.9136,1.5559
-8.3324,-1.4231,-3.5587,0.5488,-1.0148,1.4267
-8.5543,-1.9125,-3.1699,0.3416,-1.1674,1.2589
-6.3553,-2.4718,-2.2403,0.0774,-1.4561,0.8412
-5.1745,-2.7302,-1.9693,-0.0229,-1.485,0.6607
-4.5081,-1.2975,-1.4028,-0.1792,-1.4356,0.5101
-3.8243,-3.5396,-1.8963,-0.5052,-1.3584,0.5809
-4.5272,-4.5194,-2.2762,-0.5931,-1.2469,0.5731
-4.5876,-4.9717,-2.6022,-0.6617,-1.1592,0.5641
-4.7605,-5.3103,-2.8158,-0.709,-1.0888,0.5469
-4.8185,-5.2403,-2.924,-0.7807,-1.0011,0.598
-5.348,-5.269,-3.1376,-0.8701,-0.9079,0.6428
-6.0317,-5.6315,-3.4678,-0.9889,-0.823,0.7343
-7.0582,-6.2255,-3.679,-1.0431,-0.7112,0.6678
-7.5631,-6.1472,-3.7418,-1.0369,-0.6731,0.6439
-8.0058,-5.8606,-3.7256,-1.0534,-0.6338,0.6216
-8.4562,-5.6943,-3.7328,-1.0853,-0.6169,0.5594
-8.6381,-5.3874,-3.7226,-1.1424,-0.6154,0.4973
-8.3252,-6.7603,-4.2096,-1.2226,-0.6166,0.6099
-8.7075,-8.0907,-4.7509,-1.1074,-0.607,0.6606
-9.1334,-7.8832,-4.9567,-0.903,-0.6115,0.6527
-8.6734,-8.0758,-5.1517,-0.7514,-0.6366,0.6875
-8.4251,-9.0772,-5.5813,-0.591,-0.6312,0.7577
-8.278,-9.8925,-5.8672,-0.3415,-0.6074,0.7954
-1.0241,-13.0678,-6.3739,0.3827,-0.3606,0.9116
2.0088,-15.5797,-7.8963,1.1153,0.1965,1.2146
5.787,-19.5996,-11.4305,2.0223,0.8981,1.761
8.7595,-19.5996,-15.6826,2.44,1.9284,1.6453
1.0941,-19.5996,-17.9569,2.502,2.4294,2.2652
-1.4399,-19.5996,-19.5709,2.502,2.502,2.4732
-3.6024,-15.7657,-19.5709,2.502,2.502,2.4871
-4.7755,-13.0505,-19.5709,2.502,2.502,2.4848
-8.7583,-5.4419,-19.5709,2.502,2.502,2.1159
-10.4261,2.2881,-19.5709,2.502,2.502,1.7489
-10.4602,4.4088,-16.7414,2.502,2.502,1.7972
-19.5996,9.8788,-9.4768,2.502,2.3137,1.0254
