ax,ay,az,gx,gy,gz
-1.0397,-9.4893,1.5864,0.6487,-0.5412,-0.1775
-0.8465,-10.1186,1.3436,0.6322,-0.5339,-0.1807
-1.1342,-10.5565,1.1282,0.6751,-0.5262,-0.1736
-1.3968,-10.6301,0.9727,0.7335,-0.5502,-0.1622
-1.5266,-10.5948,0.8465,0.8273,-0.5947,-0.1878
-1.5661,-10.4788,0.88,0.9133,-0.6388,-0.2051
-1.4405,-10.2467,1.063,0.9957,-0.6851,-0.2304
-1.1719,-9.8644,1.4219,1.0577,-0.7174,-0.2482
-0.6431,-9.7549,1.8957,1.1146,-0.7197,-0.2978
-0.524,-9.6132,2.1607,1.1345,-0.6927,-0.316
-0.2847,-10.1587,2.2624,1.1732,-0.6684,-0.369
-0.0724,-9.3655,2.4401,1.2322,-0.6438,-0.3956
-0.3428,-10.1569,2.2235,1.2509,-0.6304,-0.3001
-0.0885,-9.5515,2.5513,1.3681,-0.6478,-0.3117
-0.0251,-9.5252,2.9486,1.3828,-0.6662,-0.265
-0.0018,-8.9258,3.6544,1.4239,-0.6618,-0.2812
0.3691,-8.8702,4.0152,1.4208,-0.6507,-0.2633
0.341,-7.9334,4.5428,1.3604,-0.6113,-0.2417
0.3386,-7.9717,4.7695,1.3027,-0.5789,-0.2577
0.5611,-7.4495,5.0333,1.1277,-0.5082,-0.2667
0.5336,-8.272,4.858,1.0173,-0.4924,-0.2032
0.6126,-7.4979,5.147,1.0014,-0.4751,-0.252
0.6724,-8.4191,5.0692,0.8889,-0.4846,-0.131
0.7059,-7.5332,5.4832,0.8706,-0.4672,-0.1665
1.1097,-7.6977,5.4209,0.79,-0.43,-0.1735
1.2179,-7.5936,5.2923,0.701,-0.3851,-0.1615
1.6259,-8.2947,4.7432,0.6541,-0.3165,-0.1493
1.078,-7.9346,5.141,0.62,-0.2659,-0.1441
0.5515,-8.2307,4.8712,0.58,-0.2477,-0.1261
0.5701,-8.6483,4.736,0.6145,-0.291,-0.128
0.7783,-8.2887,4.9268,0.641,-0.3031,-0.1213
1.0989,-8.7242,5.0237,0.6389,-0.2828,-0.079
0.7448,-8.4293,5.3677,0.6958,-0.2526,-0.0926
0.7119,-7.6062,5.7272,0.7011,-0.2198,-0.0991
0.3811,-7.5972,5.8152,0.633,-0.1928,-0.0634
0.213,-8.0423,5.6082,0.5844,-0.1894,-0.0515
0.0814,-7.922,5.3809,0.5919,-0.1948,-0.0845
0.1406,-8.3827,5.1691,0.5718,-0.2266,-0.0582
0.6568,-8.6883,5.4012,0.614,-0.2566,-0.0574
1.0923,-7.6869,6.2195,0.6651,-0.2482,-0.0922
1.203,-6.9254,7.1815,0.5113,-0.1464,-0.0157
1.1689,-6.2004,7.6594,0.3846,-0.0775,-0.0244
1.404,-5.948,8.1236,0.2242,-0.0118,-0.0673
2.0369,-5.2331,8.6417,0.0398,0.0771,-0.1263
2.458,-4.7444,9.0245,-0.2072,0.1899,-0.1555
3.1591,-4.5858,8.936,-0.5184,0.3102,-0.0837
4.1157,-5.0979,8.8887,-0.8552,0.4611,0.0541
5.9486,-5.0369,9.8339,-1.1123,0.6485,0.1321
8.5508,-2.8367,11.8786,-1.4474,0.9494,0.4045
9.1986,0.1155,13.8,-2.0419,1.3315,0.8473
6.4044,6.0544,12.6754,-2.502,2.1767,1.8288
4.0044,6.6281,9.7771,-2.502,2.4463,2.0074
2.3725,5.8421,6.0156,-2.502,2.502,2.0931
0.2189,2.5813,1.2556,-2.502,2.502,2.3185
-1.0134,3.4445,-1.5631,-2.502,2.502,1.5607
-0.149,0.6748,-4.5571,-2.502,2.502,1.1354
1.0624,-2.9246,-7.5476,-2.502,2.502,1.2047
-1.1761,-4.5284,-10.3825,-2.502,2.502,1.1336
-5.8881,-6.5318,-14.7781,-2.502,2.502,1.1702
-11.3575,-16.4955,-19.5709,-2.502,2.4278,1.3886
-12.9823,-19.5996,-19.5709,-2.502,1.7736,1.1542
-6.0275,-19.5996,-19.547,-1.2584,0.2172,0.1346
-3.4343,-16.8084,-14.9228,-0.0829,-0.0338,0.1585
-2.5831,-12.8985,-11.0871,0.5358,0.0435,0.2217
-3.3284,-9.9733,-8.0399,0.8396,0.2204,0.1568
-4.1025,-8.0453,-5.9127,0.837,0.3446,0.0667
-5.5077,-7.7175,-4.8736,0.641,0.3055,0.0777
-6.1328,-8.2893,-4.3717,0.4175,0.093,0.0871
-5.7697,-8.6441,-3.987,0.2641,-0.2072,0.0643
-4.2251,-9.536,-3.7113,0.1298,-0.4887,0.0679
-2.6967,-10.4351,-3.5127,0.1148,-0.6083,0.0025
-0.9643,-11.0166,-3.1878,0.3575,-0.4406,-0.2162
0.457,-10.4112,-2.0411,0.4317,-0.2211,-0.1859
-0.0036,-9.5121,-1.5087,0.5495,-0.0578,-0.2442
-0.4469,-7.9011,-0.8901,0.5271,0.0221,-0.1902
-1.3549,-7.8975,-0.737,0.3832,0.0289,-0.0454
-1.9896,-7.8126,-0.8584,0.2507,-0.0224,0.0141
-2.4317,-7.9663,-1.2371,0.119,-0.0828,0.0862
-2.8253,-9.0838,-1.7647,0.0445,-0.1646,0.0927
-2.531,-9.3057,-1.9765,0.0859,-0.219,0.0095
-2.1272,-9.2429,-2.0112,0.1378,-0.2291,-0.0374
-1.7031,-9.3135,-2.065,0.1784,-0.209,-0.0536
-1.8335,-9.4181,-2.1553,0.2278,-0.1314,-0.0048
-2.0578,-8.9821,-2.2487,0.2378,-0.1104,-0.0075
-2.5908,-9.2052,-2.4443,0.2094,-0.1218,0.0105
-2.7787,-9.8046,-2.7266,0.2163,-0.1691,0.0107
-2.4359,-9.1059,-2.6088,0.2566,-0.2104,-0.0309
-2.6423,-9.3236,-2.9384,0.209,-0.2301,0.0117
-3.5396,-10.6624,-3.7316,0.2134,-0.2531,0.0047
-3.7687,-11.0058,-4.2532,0.3496,-0.3052,-0.0782
-3.6532,-11.519,-4.6313,0.526,-0.3739,-0.1919
-3.5366,-11.5268,-4.6935,0.7143,-0.4572,-0.2641
-3.3918,-11.2421,-4.4859,1.092,-0.607,-0.4348
-2.8241,-9.8477,-3.347,1.1765,-0.6655,-0.4548
-2.4377,-9.4403,-2.921,1.2272,-0.7173,-0.4687
-1.6134,-8.7841,-2.61,1.1826,-0.7347,-0.3865
-2.2923,-9.871,-2.7661,1.1128,-0.754,-0.268
-2.5944,-10.5332,-2.9749,1.1903,-0.7889,-0.2764
-2.6788,-11.0931,-3.2243,1.3013,-0.8387,-0.1861
-3.1131,-12.1238,-3.4385,1.4956,-0.9121,-0.2355
