ax,ay,az,gx,gy,gz
1.5607,-7.4255,-4.7264,-0.1423,-0.1038,-0.0059
1.9364,-7.3149,-4.7192,-0.1901,-0.1129,-0.0377
2.2989,-7.334,-4.7719,-0.243,-0.0992,-0.0188
2.0806,-7.5721,-4.8299,-0.2918,-0.0735,0.025
1.794,-7.4034,-4.8694,-0.3127,-0.0645,0.0172
1.6187,-7.5171,-4.9914,-0.3564,-0.0693,0.014
1.6558,-7.8544,-5.1003,-0.3758,-0.0864,0.0234
2.1799,-7.6708,-5.1601,-0.358,-0.088,0.0147
1.9322,-7.5284,-5.1404,-0.368,-0.0793,0.0376
2.0315,-7.3765,-5.1805,-0.41,-0.0764,0.0394
2.0249,-7.4889,-5.2325,-0.4636,-0.0702,0.0555
2.0345,-7.6528,-5.3228,-0.5055,-0.0618,0.0672
1.9244,-7.6983,-5.4401,-0.5251,-0.0582,0.0651
2.0961,-7.9376,-5.5525,-0.5299,-0.0544,0.0726
1.7815,-7.5039,-5.5167,-0.5064,-0.0399,0.0558
1.8688,-7.5541,-5.589,-0.5425,-0.0403,0.0642
1.6893,-7.6469,-5.6518,-0.5552,-0.0428,0.0271
1.8347,-7.4895,-5.747,-0.6424,-0.0797,0.0194
1.7192,-7.4776,-5.8475,-0.675,-0.0889,0.0451
1.5697,-7.7438,-5.9414,-0.6816,-0.1143,0.0472
0.807,-8.013,-6.2166,-0.677,-0.0638,-0.0395
1.6666,-8.4491,-6.3087,-0.5825,-0.097,0.0287
1.6409,-8.6776,-6.3787,-0.4602,-0.1216,0.0451
1.943,-8.6076,-6.3165,-0.328,-0.1214,0.0052
2.1386,-8.0991,-6.2931,-0.1952,-0.0996,-0.0092
1.8754,-8.0459,-6.2381,-0.1422,-0.0777,0.0405
1.6911,-7.9615,-6.2704,-0.078,-0.073,0.0275
1.6744,-7.5799,-6.3673,-0.033,-0.0718,-0.0014
0.8626,-8.2487,-6.6957,-0.0767,-0.0807,-0.037
0.6006,-8.5896,-6.8363,-0.0388,-0.1262,0.004
1.6636,-9.2507,-7.0738,0.1246,-0.1631,-0.068
1.6289,-9.0652,-7.2251,0.2721,-0.1455,-0.0931
0.7968,-8.6267,-7.2371,0.3784,-0.1254,-0.1115
0.7155,-9.5527,-7.4865,0.4519,-0.1742,-0.1568
1.6714,-10.2592,-7.7192,0.6165,-0.2166,-0.1779
2.1386,-11.1805,-8.0997,0.8328,-0.2122,-0.0921
2.7583,-13.6074,-8.8822,1.1598,-0.1778,0.1093
3.1663,-16.8718,-9.9625,1.7593,-0.0788,0.3845
5.8863,-19.5996,-14.2433,2.502,0.4345,0.687
7.0259,-19.5996,-17.9593,2.502,0.8575,0.9759
-0.1442,-19.5996,-18.7424,2.502,1.1528,0.1879
0.2638,-16.352,-17.5137,2.502,1.0295,-0.4417
4.3657,-13.5356,-16.4758,2.502,1.0118,-0.4993
1.331,-5.8893,-13.8808,2.502,1.1222,-0.6532
2.0812,-3.1268,-10.9657,2.502,1.0205,-0.5967
4.8233,-2.6596,-9.338,2.502,1.058,-0.8159
7.3364,-5.4048,-8.6207,2.502,1.4006,-0.2742
2.4126,-9.7627,-8.0596,2.502,1.7444,-0.036
0.9081,-6.2554,-7.8215,2.502,1.8186,-0.2666
0.5414,-4.0786,-6.0209,2.502,1.6912,-0.4297
-1.5637,-2.7099,-4.5553,2.502,1.5937,-0.5479
-0.2016,0.9781,-2.4179,2.502,1.356,-0.5528
-4.0385,2.0871,-0.405,2.502,1.0655,-0.2902
-1.6181,3.9356,1.5272,2.502,0.6024,-0.3654
-0.0921,1.9143,2.8588,2.502,0.4045,-0.0569
-2.4359,4.4704,4.8467,2.502,0.2202,-0.1567
-2.2708,6.4475,6.6503,2.502,-0.0053,-0.3033
0.8973,6.4612,7.8969,2.502,-0.2004,-0.2536
2.4814,3.1442,8.2283,2.502,-0.1697,-0.1092
2.1218,4.1629,9.7854,2.502,-0.0924,-0.1898
3.1998,2.4311,9.734,2.2464,-0.0682,-0.0818
2.86,1.6762,9.7041,2.0063,0.0405,0.0649
0.883,2.0835,9.9607,1.8033,0.0939,0.1526
-0.1795,4.0732,10.5637,1.5285,0.0031,0.048
-0.6927,4.5547,10.9328,1.0892,-0.1597,-0.0049
0.6772,5.2373,11.2391,0.6267,-0.3014,-0.1291
1.8951,4.2796,11.1135,0.1384,-0.3619,-0.1396
2.6758,3.8578,10.8616,-0.2689,-0.3417,-0.1876
2.2463,2.6088,10.4764,-0.6519,-0.2786,-0.0712
2.8935,1.4291,9.9338,-0.9274,-0.207,-0.0173
1.9932,-2.6728,8.7769,-1.0008,0.1428,0.2637
0.8279,-1.5966,9.0867,-0.9217,0.1588,0.2267
-0.7184,0.6538,9.7101,-1.0505,0.0403,0.153
-0.7262,1.7922,9.9715,-1.3843,-0.1818,0.0752
-1.6325,3.9344,10.4776,-1.8691,-0.4029,0.0007
-2.3964,6.6227,10.8048,-2.3762,-0.7172,-0.207
-1.8993,9.5402,10.8287,-2.502,-1.0737,-0.3561
-0.0126,9.9553,9.5958,-2.502,-1.3825,-0.3127
2.6183,6.5186,7.0576,-2.502,-1.544,-0.0308
5.5825,-4.9693,3.3422,-2.502,-1.3746,0.7999
2.2923,-16.4973,2.0207,-2.502,-0.6679,0.6618
1.666,-14.4479,3.0688,-2.502,-0.5353,0.1337
0.7693,-9.1298,4.4853,-2.502,-0.519,-0.227
0.5785,-4.6008,5.2923,-2.502,-0.6548,-0.4699
1.3167,-1.5619,5.6022,-2.502,-0.7947,-0.3955
1.0295,-0.4253,5.2738,-2.502,-0.9213,-0.2098
2.1075,-0.2447,3.6993,-2.502,-1.0422,-0.0469
1.6798,-1.7043,3.1998,-2.502,-1.1561,0.1759
2.6674,-4.0594,1.8945,-2.502,-1.17,0.296
3.4068,-6.0604,0.8357,-2.502,-1.0941,0.2997
3.9559,-8.732,-0.4146,-2.502,-0.7535,0.241
3.6981,-14.6704,-2.2044,-2.502,-0.5842,0.1894
2.6124,-16.6361,-2.4682,-2.502,-0.43,-0.0997
2.3402,-14.9288,-1.9507,-2.502,-0.3755,-0.4481
2.9007,-11.9055,-1.1713,-2.502,-0.4078,-0.6332
3.8883,-9.3535,-0.6526,-2.502,-0.4372,-0.5738
4.1904,-9.0114,-0.7866,-2.502,-0.4314,-0.3489
3.5121,-9.5169,-1.0851,-2.502,-0.4149,-0.0964
3.0574,-10.0409,-1.4136,-2.502,-0.4301,-0.0079
3.122,-10.2532,-1.6816,-2.502,-0.451,-0.0023
