ax,ay,az,gx,gy,gz
0.7167,-9.0042,0.7519,1.8446,0.6156,-0.5056
0.6048,-9.8189,0.7119,1.8898,0.602,-0.4908
0.5976,-8.9563,1.0839,2.0093,0.5756,-0.5838
0.9739,-8.7404,1.2802,2.0464,0.5361,-0.5518
1.0762,-8.2558,1.6002,2.0809,0.5105,-0.5459
1.0995,-7.5948,2.1027,2.0787,0.4659,-0.5101
1.6869,-7.1432,2.4766,2.0272,0.4266,-0.4367
1.6409,-6.7394,2.9037,1.9388,0.4265,-0.3374
1.3418,-6.2429,3.2405,1.8126,0.4145,-0.2523
0.993,-6.4056,3.3799,1.6775,0.3784,-0.1568
1.127,-6.7508,3.5515,1.4097,0.3031,-0.1394
1.6325,-7.7372,3.3081,1.3505,0.3036,-0.1599
1.6708,-8.5992,3.0251,1.3961,0.3422,-0.1628
1.3633,-8.3635,3.2207,1.5193,0.3674,-0.2311
1.4877,-7.7468,3.4397,1.6116,0.369,-0.2853
1.7079,-6.8172,3.8201,1.625,0.3651,-0.3178
1.9083,-6.6891,3.9434,1.5725,0.3864,-0.267
0.5198,-5.5884,4.4201,1.503,0.3966,-0.2565
2.1823,-5.388,4.7719,1.3016,0.3347,-0.2444
2.6393,-6.5569,4.4722,1.1345,0.3691,-0.0862
1.1946,-8.4945,3.81,1.199,0.4708,0.0663
1.1288,-8.0644,4.0744,1.3321,0.4702,0.0218
1.133,-7.413,4.2832,1.4051,0.4641,-0.0226
1.416,-6.8351,4.5434,1.4018,0.4612,-0.0085
1.0158,-6.4325,4.7677,1.3211,0.4621,0.0722
0.015,-6.0891,5.1087,1.2139,0.4186,0.0962
0.8124,-6.2303,5.3234,1.0876,0.3048,0.0763
1.7372,-6.5037,5.4072,0.9687,0.2498,0.1381
1.873,-6.4283,5.4897,0.8869,0.2429,0.2515
1.5021,-6.4792,5.6219,0.8362,0.2606,0.3428
1.4812,-6.8949,5.531,0.7966,0.2644,0.439
0.8447,-6.5372,5.7936,0.8192,0.2124,0.4471
1.1366,-5.881,6.0921,0.7831,0.1863,0.4479
1.1832,-5.9055,6.2321,0.7002,0.1781,0.4785
1.7372,-6.0485,6.2967,0.6183,0.1882,0.493
1.5942,-6.2411,6.2231,0.5695,0.2407,0.5322
0.5192,-5.7631,6.3607,0.5297,0.2812,0.5383
-0.0491,-5.0177,6.5856,0.4423,0.2472,0.4432
0.935,-4.928,6.6802,0.2855,0.2127,0.41
0.5838,-4.4794,6.9105,0.1433,0.2213,0.4327
-0.2339,-3.7017,7.1767,-0.027,0.2203,0.4422
-0.6586,-3.3015,7.2754,-0.5266,0.1023,0.483
-1.788,-2.9073,7.4183,-0.7472,0.0208,0.4071
-1.5392,-2.0835,7.6606,-1.0092,-0.1073,0.2959
-0.9805,-1.788,7.7862,-1.3751,-0.203,0.2356
-1.5476,-1.252,7.9819,-1.7575,-0.2733,0.1969
-2.6812,0.0706,8.2493,-2.1774,-0.3794,0.1255
-3.4714,2.7165,8.6548,-2.448,-0.5647,-0.0766
-3.5498,5.1374,8.5268,-2.502,-0.8136,-0.2505
-2.6883,6.5515,7.5117,-2.502,-1.0692,-0.4025
-1.0828,6.1926,5.9282,-2.502,-1.2697,-0.394
-0.7507,4.995,3.7059,-2.502,-1.3894,-0.2928
1.1492,4.3681,-1.4614,-2.502,-1.4058,-0.1753
-0.4253,4.2275,-4.203,-2.502,-1.3143,0.0085
-3.9141,3.5252,-7.0367,-2.502,-1.3489,0.0433
-3.9326,3.5659,-9.5994,-2.502,-1.5563,-0.2927
-2.2116,3.3541,-11.9785,-2.502,-1.7339,-0.5809
-2.2576,1.8479,-14.4443,-2.502,-1.7476,-0.8128
-3.3978,-0.7256,-16.7468,-2.502,-1.7405,-1.1545
-3.3727,-4.5547,-18.6006,-2.502,-1.8986,-1.5524
-1.2586,-7.3609,-19.5709,-2.502,-2.1803,-1.9251
2.1416,-10.0738,-19.5709,-2.502,-2.4297,-1.9932
4.0582,-13.4273,-19.5709,-2.502,-2.502,-0.9636
5.2421,-19.5996,-19.5709,-2.502,-2.4194,-0.3919
4.0917,-19.5996,-19.5709,-2.502,-2.234,-0.0235
3.8692,-19.5996,-19.5709,-2.502,-2.0522,-0.0606
4.2461,-19.5996,-18.795,-2.0214,-1.7939,-0.4074
4.9986,-19.5996,-15.8309,-0.808,-1.4988,-0.7401
5.9396,-13.4716,-12.8022,0.2162,-1.1891,-0.9388
6.8925,-8.2361,-10.3011,0.7052,-0.8544,-0.8408
6.484,-4.5571,-8.5178,0.7747,-0.5065,-0.5838
5.0321,-2.4185,-7.465,0.5954,-0.1914,-0.3151
3.5264,-1.0929,-6.9852,0.296,0.0479,-0.1428
0.2937,-1.4901,-7.2628,-0.4224,0.1841,-0.1025
0.5581,-2.4485,-7.788,-0.7657,0.1084,-0.0974
0.2261,-5.3533,-8.8618,-1.0287,0.0146,0.0732
-0.4648,-6.9404,-9.5246,-1.0236,-0.105,0.1045
-0.5803,-8.0471,-9.9314,-0.9046,-0.2595,0.0959
0.1842,-8.2899,-10.0415,-0.7255,-0.3806,0.0754
0.5527,-8.3599,-10.1031,-0.5467,-0.4569,0.0807
1.0875,-8.1272,-9.9093,-0.3442,-0.5014,0.0322
1.6929,-7.3579,-9.6084,-0.16,-0.4851,0.0176
1.867,-6.2919,-9.2405,-0.0596,-0.4246,0.0614
1.4967,-5.9569,-9.0329,-0.0072,-0.2671,0.1243
0.5474,-5.5651,-8.7571,-0.0153,-0.2258,0.1531
0.3009,-5.5699,-8.7374,-0.011,-0.2185,0.1556
0.1974,-5.5932,-8.6877,-0.0019,-0.2124,0.1339
0.0138,-5.4221,-8.5866,0.0145,-0.2309,0.0718
0.2483,-5.4054,-8.6399,0.0058,-0.2246,0.0765
-0.1884,-5.2505,-8.613,-0.0177,-0.2201,0.0771
-0.2058,-5.732,-8.6447,-0.0132,-0.254,0.0468
-0.0102,-5.6764,-8.5998,0.0164,-0.2762,0.0103
0.5228,-5.3862,-8.6124,0.0415,-0.2818,-0.0133
0.3063,-5.5095,-8.6088,0.0229,-0.2668,0.0328
0.5049,-5.531,-8.7033,0.05,-0.2722,0.0105
0.6269,-5.455,-8.6997,0.0589,-0.2719,0.0169
0.6096,-5.814,-8.8391,0.0657,-0.2674,0.0457
0.518,-5.7033,-8.7488,0.1251,-0.2667,0.0298
0.9673,-5.5866,-8.6507,0.1472,-0.2543,0.0419
0.6885,-5.6357,-8.5902,0.1684,-0.2048,0.0543
