ax,ay,az,gx,gy,gz
1.7737,-8.2337,-2.8744,0.0187,-0.0515,0.0385
1.5793,-8.4568,-2.924,-0.0389,-0.0273,0.0426
1.4285,-8.7559,-2.9928,-0.0664,-0.0145,0.0372
1.3932,-8.7464,-3.0311,-0.0741,-0.0131,0.0226
0.9721,-8.4467,-3.0945,-0.1063,-0.0302,0.0171
1.1348,-8.5137,-3.1998,-0.1525,-0.0467,0.0061
1.2586,-8.8104,-3.335,-0.1928,-0.0586,0.0185
1.1001,-9.213,-3.5486,-0.2119,-0.0601,0.0364
1.1037,-9.5067,-3.734,-0.1893,-0.0638,0.0144
1.1073,-9.6808,-3.9099,-0.1498,-0.0654,-0.0101
0.9111,-9.7023,-3.9715,-0.1064,-0.079,-0.0209
0.9236,-9.871,-4.1432,-0.0634,-0.1001,-0.0246
1.1527,-9.7155,-4.1593,-0.0186,-0.1186,-0.0507
1.2826,-9.6383,-4.1743,0.0225,-0.125,-0.0442
1.3496,-9.4768,-4.1707,0.1,-0.1255,-0.0457
1.3274,-9.1723,-4.066,0.1207,-0.1241,-0.0486
1.2473,-9.2381,-4.0445,0.1222,-0.1352,-0.0295
1.3567,-9.3428,-4.0415,0.1287,-0.1585,0.0023
1.4596,-9.2656,-3.9272,0.1601,-0.1723,0.0268
1.3083,-8.8762,-3.7807,0.1938,-0.1709,0.0196
1.4315,-8.6961,-3.5964,0.1942,-0.1784,0.0042
1.6068,-8.3976,-3.3888,0.1899,-0.1707,-0.0007
1.7719,-8.2421,-3.2058,0.1633,-0.1552,0.0123
1.8042,-8.2331,-3.0993,0.1298,-0.1309,0.0333
1.8449,-8.1775,-3.061,0.0589,-0.0664,0.0354
1.5129,-8.196,-2.9701,0.0322,-0.0378,0.0393
1.3639,-8.2205,-2.9288,0.0173,-0.0338,0.0501
0.8901,-7.7695,-2.8648,-0.0074,-0.0482,0.022
1.34,-7.7701,-2.8457,-0.0939,-0.0867,0.0267
1.5464,-8.2427,-2.936,-0.1681,-0.0832,0.0531
1.4231,-8.4622,-3.0497,-0.1989,-0.0657,0.0538
1.2317,-8.3252,-3.1089,-0.2071,-0.0551,0.0463
1.066,-8.391,-3.125,-0.2369,-0.0647,0.0476
1.1904,-8.3581,-3.1777,-0.2712,-0.0767,0.0417
1.1803,-8.5908,-3.3685,-0.3125,-0.0895,0.0454
1.2263,-9.0485,-3.7214,-0.3231,-0.095,0.0236
1.2634,-8.9868,-3.8261,-0.3092,-0.0956,0.0086
1.3454,-9.2417,-4.0463,-0.2974,-0.0851,0.0338
0.9625,-9.2794,-4.2197,-0.264,-0.0812,0.0374
0.9278,-9.4618,-4.4698,-0.2566,-0.0934,0.0054
1.2335,-10.2724,-4.9436,-0.2316,-0.1138,0.0128
0.9452,-10.9795,-5.5244,-0.151,-0.0942,0.0377
0.058,-11.8152,-6.0114,-0.0371,-0.1052,0.026
0.6191,-13.3232,-6.8536,0.1369,-0.1475,-0.0148
1.8664,-17.1183,-8.2199,0.4475,-0.1536,0.1475
0.8112,-19.4459,-9.2692,1.9262,-0.1455,0.5352
2.8433,-19.5996,-11.8522,2.413,-0.1159,0.5815
6.1184,-19.5996,-14.1242,2.502,-0.0092,1.0419
1.8634,-19.5996,-16.8275,2.502,0.3087,1.1625
2.2744,-19.5996,-17.4239,2.502,0.3059,1.1122
4.1276,-19.5996,-18.4253,2.502,0.3754,0.6141
2.1021,-14.6674,-17.8289,2.502,0.5411,0.5034
1.5649,-10.3825,-16.4363,2.502,0.5286,0.505
0.0514,-7.075,-15.1059,2.502,0.4394,0.5959
0.0329,-6.5222,-14.4197,2.502,0.3551,0.4904
-0.1376,-1.7378,-11.2672,2.502,0.2158,0.5089
2.3492,5.4724,-4.8437,2.502,-0.1778,0.4727
3.5635,5.799,-1.8598,2.502,-0.2104,0.8816
0.6592,6.3488,0.9476,2.502,-0.1268,1.1595
-2.5789,7.13,3.5384,2.502,-0.2059,1.0918
-0.9882,6.661,5.1649,2.502,-0.3776,0.6164
-0.8794,6.475,6.5408,2.502,-0.3612,0.2564
-3.4851,7.267,8.7248,2.502,-0.3322,-0.1988
-2.1954,6.8213,9.8363,2.502,-0.3678,-0.6319
-2.1996,9.0395,11.083,2.502,-0.4048,-0.9853
0.8076,8.0201,11.269,2.502,-0.4579,-1.0271
1.5069,5.3629,11.0405,1.9653,-0.328,-0.7718
2.5717,3.7047,10.9699,1.6629,-0.3125,-0.6183
1.9884,3.195,11.1428,1.2579,-0.3516,-0.2643
2.4658,3.6508,11.3222,0.8155,-0.3874,0.0507
2.5567,2.2516,11.2116,0.3761,-0.3748,0.3412
1.4207,2.0357,11.3964,0.0386,-0.3327,0.4901
0.597,1.2712,11.3976,-0.2395,-0.3092,0.4522
0.4552,0.137,11.0536,-0.5023,-0.2808,0.3443
1.6433,-0.7717,10.3161,-0.6315,-0.282,0.1581
1.8012,-3.4092,9.9978,-0.582,-0.1671,0.0628
1.3017,-2.8469,9.8859,-0.5032,-0.0926,-0.0066
-0.3039,-4.0217,9.195,-0.5663,-0.1026,0.0829
0.5653,-3.0347,9.3003,-0.5434,-0.1744,0.0176
0.9141,-2.4718,9.3847,-0.6555,-0.2267,0.0515
1.0253,-3.0275,9.2375,-0.8432,-0.2184,0.1746
0.2022,-3.4726,9.1699,-0.9858,-0.1956,0.214
