timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1676015467.296372,-8.88,0.73,4.36,0.11,-0.12,0.04
1676015467.3230145,-9.05,0.96,4.5,0.08,-0.12,0.04
1676015467.3698034,-9.11,0.83,4.38,0.06,-0.14,-0.0
1676015467.3995595,-9.08,0.84,4.37,0.06,-0.17,0.02
1676015467.4349709,-8.89,0.91,4.37,0.09,-0.17,-0.01
1676015467.5023303,-9.06,0.93,4.21,0.06,-0.19,0.02
1676015467.5249145,-8.67,0.64,4.29,0.06,-0.12,0.02
1676015467.5496418,-8.82,0.79,4.37,0.08,-0.09,0.01
1676015467.5762093,-9.06,0.79,4.36,0.07,-0.11,0.03
1676015467.604213,-9.07,0.71,4.34,0.08,-0.14,0.05
1676015467.6323314,-8.69,0.75,4.42,0.11,-0.13,0.04
1676015467.6617756,-8.85,0.93,4.37,0.07,-0.07,0.02
1676015467.6842625,-9.3,0.73,4.32,0.06,-0.1,0.0
1676015467.7308176,-9.07,0.8,4.29,0.09,-0.19,0.05
1676015467.7902746,-8.65,0.7,4.35,0.08,-0.16,0.04
1676015467.8175414,-8.77,0.98,4.34,0.08,-0.18,0.02
1676015467.845146,-8.53,0.85,4.3,0.04,-0.14,0.01
1676015467.8659978,-8.74,0.76,4.39,0.02,-0.01,-0.07
1676015467.8869796,-9.01,0.85,4.39,0.03,-0.01,-0.07
1676015467.9111729,-9.36,0.63,4.25,0.04,-0.07,-0.03
1676015467.9326336,-9.01,0.38,4.22,0.11,-0.15,0.03
1676015467.9604845,-9.25,0.82,4.38,0.13,-0.2,0.08
1676015467.986307,-8.85,0.83,4.56,0.14,-0.1,-0.01
1676015468.0136802,-9.0,0.98,4.47,0.1,-0.09,-0.05
1676015468.0738497,-9.08,0.91,4.41,0.09,-0.13,-0.02
1676015468.0945165,-8.89,0.8,4.43,0.1,-0.16,0.04
1676015468.1220436,-9.15,0.8,4.47,0.09,-0.13,-0.02
1676015468.164075,-8.86,0.86,4.36,0.1,-0.19,0.02
1676015468.210395,-8.72,0.99,4.35,0.08,-0.15,0.01
1676015468.2364635,-8.77,0.88,4.34,0.03,-0.11,-0.03
1676015468.2667663,-8.71,0.34,4.21,0.09,-0.13,0.07
1676015468.2985582,-8.9,0.87,4.48,0.11,-0.11,0.08
1676015468.3226392,-9.0,0.93,4.51,0.09,-0.08,0.0
1676015468.3943908,-9.06,0.75,4.46,0.06,-0.12,-0.01
1676015468.4182122,-8.93,0.74,4.46,0.1,-0.16,0.03
1676015468.481339,-9.0,0.82,4.43,0.06,-0.15,-0.01
1676015468.505248,-8.72,0.87,4.43,0.09,-0.14,0.02
1676015468.5352776,-8.9,0.79,4.36,0.05,-0.1,-0.01
1676015468.573981,-8.92,0.85,4.45,0.05,-0.12,0.02
1676015468.6037388,-9.0,0.64,4.43,0.07,-0.15,0.04
1676015468.6343904,-8.72,0.93,4.45,0.05,-0.15,0.02
1676015468.67066,-8.86,0.76,4.42,0.04,-0.11,-0.03
1676015468.69849,-9.06,0.65,4.33,0.06,-0.14,-0.01
1676015468.724832,-8.71,0.89,4.43,0.09,-0.16,0.04
1676015468.7879443,-8.82,0.86,4.51,0.06,-0.11,0.0
1676015468.8106952,-8.96,0.77,4.46,0.06,-0.11,-0.0
1676015468.8354857,-8.81,0.8,4.53,0.09,-0.13,0.03
1676015468.8565989,-8.84,0.84,4.6,0.08,-0.1,0.01
1676015468.8829193,-9.02,0.79,4.45,0.04,-0.09,0.01
1676015468.9195747,-9.1,0.6,4.39,0.09,-0.15,0.04
1676015468.948433,-9.01,0.56,4.43,0.1,-0.17,0.05
1676015468.9734442,-8.78,0.81,4.49,0.11,-0.15,0.02
1676015469.0024335,-8.74,0.89,4.63,0.09,-0.1,-0.01
1676015469.0295238,-8.71,0.92,4.49,0.07,-0.07,-0.02
1676015469.052769,-8.51,0.87,4.36,0.06,-0.04,-0.02
1676015469.0783658,-8.39,0.79,4.48,0.05,0.01,-0.01
1676015469.1048248,-8.21,0.79,4.58,0.07,0.13,-0.07
1676015469.1374507,-8.49,0.61,4.67,0.09,0.23,-0.12
1676015469.165362,-8.09,0.42,4.64,0.14,0.29,-0.19
1676015469.197303,-9.09,0.6,4.64,0.24,0.3,-0.09
1676015469.2280562,-9.43,0.62,4.9,0.27,0.22,0.01
1676015469.420221,-10.72,0.89,5.45,0.18,0.09,0.15
1676015469.4420328,-11.2,0.76,5.55,0.17,-0.01,0.06
1676015469.4904623,-12.29,0.5,5.79,0.0,-1.82,0.15
1676015469.5272286,-12.17,1.22,6.1,-0.01,-2.14,0.27
1676015469.5801976,-14.45,2.35,5.97,-0.57,-3.28,0.1
1676015469.611446,-12.83,1.87,5.72,-0.74,-4.36,-0.42
1676015469.6344695,-11.37,1.69,7.04,-1.71,-4.36,-0.64
1676015469.6539416,-1.64,-2.3,5.8,-1.57,-4.36,-1.09
1676015469.681683,0.33,-1.35,2.03,-1.37,-4.36,-1.16
1676015469.7096307,0.24,-1.54,-0.28,-1.13,-4.36,-1.25
1676015469.7372236,1.61,-0.91,-3.54,-0.58,-3.91,-0.86
1676015469.7663193,1.66,-0.43,-3.95,-0.51,-3.57,-0.64
1676015469.7987278,1.3,-1.27,-6.68,-0.43,-2.23,-0.17
1676015469.8281682,0.83,-1.39,-7.11,-0.28,-2.05,-0.13
1676015469.8862195,-0.59,0.23,-7.48,-0.1,-1.7,-0.03
1676015469.9174018,0.43,-0.66,-8.99,-0.16,-0.89,0.13
1676015469.9436927,-0.57,-0.23,-9.22,0.28,-0.31,0.02
1676015469.9735792,-1.09,0.78,-9.28,0.28,-0.12,0.06
1676015470.0020385,-1.08,0.61,-9.41,0.25,0.06,0.06
1676015470.0288892,-2.36,0.75,-9.52,0.27,0.21,0.08
1676015470.055538,-2.69,1.51,-9.1,0.31,0.09,0.04
1676015470.1025329,-2.25,1.72,-9.04,0.16,0.14,0.09
1676015470.1287153,-3.33,0.91,-9.14,0.09,0.2,0.28
1676015470.183651,-3.68,1.6,-8.76,0.11,-0.05,0.08
1676015470.2076776,-3.28,0.99,-8.96,0.0,0.0,-0.03
1676015470.2353532,-3.21,0.85,-8.82,-0.02,-0.07,0.06
1676015470.2628243,-3.52,0.58,-8.83,-0.03,-0.11,0.11
1676015470.2895913,-2.79,0.21,-9.05,0.0,-0.06,0.05
1676015470.3215168,-2.61,0.13,-8.95,0.08,0.03,-0.0
1676015470.3445745,-3.01,0.09,-8.93,0.15,0.03,0.02
1676015470.3709433,-3.36,0.73,-8.64,0.18,-0.04,0.08
1676015470.3926246,-3.3,1.02,-8.57,0.12,-0.07,0.08
1676015470.432154,-2.97,0.59,-8.67,0.11,-0.04,0.08
1676015470.4855626,-3.49,0.82,-8.67,0.15,-0.05,0.05
1676015470.5235312,-3.8,1.02,-8.52,0.13,-0.1,0.04
1676015470.5717902,-3.35,0.68,-8.77,0.09,-0.15,0.11
1676015470.616179,-3.34,0.98,-8.67,0.17,-0.12,-0.06
1676015470.668573,-3.17,1.1,-8.66,0.05,-0.13,0.04
1676015470.6949887,-3.15,0.74,-8.93,0.08,-0.14,0.12
1676015470.7897038,-5.08,0.91,-8.94,0.13,-0.2,-0.0
1676015470.814758,-3.18,1.16,-8.76,0.1,-0.12,-0.06
1676015470.8383062,-3.52,0.85,-8.86,0.08,-0.2,0.05
1676015470.8633492,-3.23,0.83,-8.8,0.08,-0.18,-0.03
1676015470.893392,-3.06,0.92,-8.78,0.08,-0.15,-0.06
1676015470.9264448,-3.0,0.92,-8.72,0.08,-0.12,-0.04
1676015470.950235,-3.07,0.94,-8.65,0.07,-0.13,0.07
1676015470.979229,-3.04,0.87,-8.65,0.05,-0.1,0.09
1676015471.0380995,-3.35,0.56,-8.77,0.09,-0.07,0.04
1676015471.0892642,-3.39,1.09,-8.49,0.1,-0.17,0.04
1676015471.1335907,-3.37,1.02,-8.69,0.07,-0.15,0.01
1676015471.156579,-3.14,1.14,-8.72,0.12,-0.1,-0.01
1676015471.184204,-3.64,1.25,-8.72,0.02,-0.12,0.04
1676015471.2159965,-3.59,1.07,-8.76,0.0,-0.15,0.04
1676015471.2538347,-3.41,0.62,-8.91,0.03,-0.13,0.05
1676015471.2958448,-3.41,0.8,-8.77,0.06,-0.12,0.02
1676015471.3259394,-3.59,1.03,-8.67,0.08,-0.15,-0.02
1676015471.349301,-3.11,0.72,-8.77,0.04,-0.14,0.05
1676015471.395934,-3.35,0.8,-8.75,0.06,-0.12,0.06
1676015471.4166794,-3.29,0.66,-8.76,0.1,-0.1,0.0
1676015471.4435022,-3.46,0.72,-8.66,0.12,-0.1,0.01
1676015471.474614,-3.29,1.08,-8.61,0.12,-0.14,0.0
1676015471.501546,-3.21,1.2,-8.53,0.1,-0.13,0.02
1676015471.5353107,-3.27,1.02,-8.71,0.04,-0.11,0.07
1676015471.5769155,-3.44,0.81,-8.81,0.07,-0.1,0.02
1676015471.600878,-3.51,0.75,-8.8,0.09,-0.09,0.02
1676015471.6346076,-3.73,1.02,-8.67,0.08,-0.12,0.03
1676015471.662961,-3.7,1.13,-8.61,0.06,-0.19,0.02
1676015471.7025225,-3.26,0.88,-8.73,0.04,-0.17,0.02
1676015471.7279048,-3.31,0.9,-8.63,0.07,-0.13,-0.03
1676015471.7539124,-3.58,1.0,-8.61,0.06,-0.16,0.01
