timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677737545.943721,1.63,9.59,0.8,0.08,-0.14,0.01
1677737545.9893155,1.48,9.76,0.96,0.09,-0.14,0.0
1677737546.054144,1.36,9.89,0.87,0.08,-0.13,0.03
1677737546.0837078,1.38,9.95,0.98,0.09,-0.14,0.01
1677737546.1074424,1.58,9.64,0.79,0.04,-0.15,0.0
1677737546.13211,1.55,9.78,0.82,0.06,-0.15,0.02
1677737546.1548693,1.76,9.74,0.83,0.05,-0.14,0.04
1677737546.1820676,1.52,9.95,0.99,0.05,-0.11,0.02
1677737546.2069485,1.41,10.08,0.97,0.03,-0.14,0.0
1677737546.24379,1.53,9.72,0.88,-0.0,-0.15,0.03
1677737546.2702403,1.72,9.68,0.79,0.04,-0.12,0.01
1677737546.299384,1.41,9.54,0.78,0.04,-0.13,0.02
1677737546.3527102,1.54,9.71,0.93,0.07,-0.11,0.03
1677737546.376043,1.64,9.57,0.82,0.05,-0.15,0.01
1677737546.3968987,1.53,9.79,0.88,0.07,-0.13,0.01
1677737546.4267776,1.74,9.72,0.84,0.06,-0.12,0.03
1677737546.4490936,1.22,9.82,0.9,0.06,-0.11,0.02
1677737546.4729486,1.38,9.76,0.79,0.06,-0.14,0.01
1677737546.4980066,1.45,9.83,0.79,0.07,-0.14,0.0
1677737546.5219612,1.56,9.92,0.8,0.06,-0.14,-0.0
1677737546.5430048,1.59,9.96,0.84,0.04,-0.14,0.01
1677737546.5646582,1.56,9.76,0.77,0.04,-0.14,0.02
1677737546.6435957,1.52,9.81,0.82,0.03,-0.14,0.02
1677737546.6658328,1.73,9.62,0.71,0.04,-0.12,0.02
1677737546.6910913,1.63,9.82,0.79,0.06,-0.11,0.03
1677737546.7346926,1.38,9.85,0.71,0.06,-0.11,0.03
1677737546.7672305,1.43,9.75,0.73,0.05,-0.12,0.05
1677737546.7978191,1.54,9.8,0.81,0.05,-0.12,0.0
1677737546.8208263,1.56,9.89,0.85,0.05,-0.11,-0.0
1677737546.843634,1.58,9.77,0.85,0.04,-0.14,0.04
1677737546.8702128,1.34,9.5,0.71,0.04,-0.13,0.05
1677737546.891643,1.38,9.61,0.71,0.05,-0.13,0.02
1677737546.9433837,1.58,9.82,0.82,0.08,-0.14,-0.02
1677737546.964352,1.53,9.75,0.85,0.07,-0.15,0.01
1677737546.994305,1.6,9.62,0.68,0.08,-0.14,0.02
1677737547.0138717,1.64,9.62,0.72,0.1,-0.13,0.02
1677737547.0401022,1.49,9.85,0.77,0.09,-0.15,0.03
1677737547.083653,1.73,9.89,0.82,0.07,-0.14,0.02
1677737547.1082485,1.67,9.6,0.67,0.07,-0.1,0.02
1677737547.1309094,1.68,9.71,0.74,0.12,-0.07,0.03
1677737547.1528764,1.66,9.79,0.7,0.13,-0.02,0.06
1677737547.1768067,1.84,9.57,0.65,0.2,0.08,0.11
1677737547.2084768,2.51,8.84,0.19,0.35,0.3,0.19
1677737547.253338,3.32,7.72,-0.14,0.69,0.68,0.3
1677737547.2911408,-0.53,3.57,6.82,3.69,3.77,0.51
1677737547.3145514,-11.9,11.84,8.4,4.31,3.46,0.12
1677737547.3429997,-19.61,19.61,15.09,-2.61,-4.36,-3.52
1677737547.3690336,-19.61,19.61,19.61,-4.36,-4.36,-2.61
1677737547.394079,4.86,-0.85,19.61,-4.36,-4.36,0.17
1677737547.420254,19.61,3.78,16.76,-4.2,-4.36,-2.16
1677737547.4453208,19.61,1.55,7.75,-3.17,-3.3,-3.84
1677737547.46847,18.16,-5.72,-1.44,-0.44,0.55,-3.1
1677737547.493083,17.62,0.44,-0.34,0.61,0.38,-1.66
1677737547.551952,19.61,3.07,0.17,0.42,1.24,2.24
1677737547.574223,15.7,1.94,0.52,0.92,2.65,3.4
1677737547.5955317,1.29,2.65,5.69,3.35,4.36,2.28
1677737547.624658,-4.78,6.93,7.11,3.74,4.36,1.45
1677737547.6498208,-11.97,13.18,6.7,3.35,4.36,0.77
1677737547.682746,-5.83,14.15,4.09,1.39,1.84,0.87
1677737547.7203083,-4.99,11.61,3.35,0.92,1.28,1.24
1677737547.7474768,-7.24,13.8,3.24,-0.15,-0.09,0.31
1677737547.7715669,-0.99,8.87,1.91,-0.19,-0.27,-0.61
1677737547.7949867,0.55,9.52,2.02,0.31,0.13,-0.72
1677737547.8447866,0.2,10.26,2.37,0.36,0.22,-0.61
1677737547.8653386,0.48,10.41,2.43,0.35,0.22,-0.56
1677737547.8927903,0.14,11.55,2.6,-0.01,-0.05,0.27
1677737547.9179094,-0.18,9.12,1.85,0.01,0.03,0.12
1677737547.9409668,-0.14,9.43,1.93,0.06,-0.02,0.1
1677737547.9658797,0.56,9.23,1.89,0.1,-0.12,0.19
1677737547.9921114,0.79,9.38,2.03,0.14,-0.11,0.22
1677737548.0146844,-0.13,9.92,2.01,0.1,-0.06,0.13
1677737548.0380547,0.8,9.04,1.96,0.19,-0.06,0.02
1677737548.0605035,0.55,9.64,2.09,0.22,-0.05,-0.03
1677737548.0889025,0.5,9.9,2.08,0.13,-0.11,0.01
1677737548.1534686,0.69,10.08,2.29,0.18,-0.02,-0.06
1677737548.173039,0.4,9.89,2.27,0.1,-0.02,-0.1
1677737548.1953084,0.67,9.89,2.38,0.09,-0.1,-0.04
1677737548.2388165,0.88,9.7,2.33,0.08,-0.07,-0.01
1677737548.2640193,0.35,9.78,2.24,0.03,-0.02,0.01
1677737548.301025,0.23,9.41,1.98,0.08,-0.14,0.1
1677737548.3330662,0.16,9.59,2.18,0.11,-0.18,0.09
1677737548.3800683,0.44,9.77,2.17,0.1,-0.14,-0.03
1677737548.4028635,0.81,9.82,2.28,0.12,-0.15,0.0
1677737548.4536402,0.82,9.8,2.29,0.12,-0.15,0.02
1677737548.4778502,0.62,9.85,2.33,0.1,-0.13,0.02
1677737548.501011,0.75,9.65,2.26,0.08,-0.09,0.02
1677737548.5241916,0.42,9.65,2.21,0.1,-0.1,0.02
1677737548.557842,0.33,9.64,2.28,0.1,-0.13,0.04
1677737548.598512,0.34,9.61,2.15,0.08,-0.19,0.1
1677737548.6190567,0.65,9.61,2.28,0.06,-0.15,-0.03
1677737548.6449702,0.67,9.8,2.32,0.09,-0.11,-0.02
1677737548.6796763,0.41,9.97,2.4,0.06,-0.13,0.0
1677737548.7076705,0.54,9.83,2.3,0.03,-0.16,0.02
1677737548.7585766,0.87,9.67,2.27,0.03,-0.17,-0.03
1677737548.7829957,0.84,9.62,2.31,0.03,-0.15,-0.02
1677737548.8069525,0.6,9.66,2.3,0.04,-0.15,0.0
1677737548.833103,0.73,9.49,2.2,0.05,-0.13,0.02
1677737548.8614385,0.57,9.45,2.15,0.07,-0.13,0.01
1677737548.8886995,0.63,9.41,2.1,0.08,-0.13,0.02
1677737548.9118435,0.78,9.48,2.14,0.11,-0.15,0.05
1677737548.9345582,0.67,9.79,2.31,0.1,-0.13,0.03
1677737548.9604654,0.74,9.97,2.43,0.06,-0.12,-0.0
1677737548.9819143,0.65,9.89,2.36,0.06,-0.11,-0.0
1677737549.0094843,0.54,9.83,2.3,0.05,-0.13,0.01
1677737549.054521,0.71,9.68,2.18,0.06,-0.14,0.01
1677737549.076918,0.57,9.86,2.33,0.05,-0.11,-0.01
1677737549.0983574,0.86,9.45,2.14,0.02,-0.12,-0.03
1677737549.121976,0.62,9.62,2.13,0.05,-0.13,-0.0
1677737549.154896,0.61,9.54,2.12,0.04,-0.14,0.01
1677737549.180171,0.63,9.48,2.17,0.07,-0.12,0.01
1677737549.210514,0.59,9.98,2.33,0.06,-0.13,-0.01
1677737549.2360575,0.92,9.77,2.25,0.04,-0.11,0.02
1677737549.2652507,0.77,9.68,2.16,0.05,-0.1,0.02
1677737549.2897828,0.84,9.57,2.1,0.04,-0.08,0.03
1677737549.3164606,0.76,9.7,2.23,0.07,-0.07,0.06
