timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677734395.409809,-6.93,6.51,1.61,0.04,-0.14,0.01
1677734395.436611,-7.02,6.51,1.71,0.06,-0.12,0.0
1677734395.4658437,-7.1,6.67,1.84,0.04,-0.13,0.02
1677734395.4984446,-7.14,6.69,1.8,0.03,-0.12,0.03
1677734395.5498128,-7.31,6.44,1.76,0.02,-0.15,0.0
1677734395.5828218,-7.16,6.48,1.83,0.03,-0.17,0.01
1677734395.617804,-7.0,6.54,1.72,0.05,-0.13,0.03
1677734395.643989,-7.15,6.56,1.71,0.06,-0.13,0.03
1677734395.6657696,-7.18,6.64,1.75,0.05,-0.16,0.02
1677734395.8131473,-7.24,6.45,1.67,0.06,-0.14,0.04
1677734395.8375998,-7.3,6.61,1.65,0.06,-0.12,0.0
1677734395.8635294,-7.24,6.51,1.63,0.06,-0.14,0.01
1677734395.891615,-7.11,6.44,1.57,0.06,-0.15,0.03
1677734395.9160426,-7.24,6.69,1.74,0.06,-0.14,0.03
1677734395.938325,-7.21,6.66,1.7,0.06,-0.13,0.02
1677734395.967734,-7.23,6.57,1.7,0.05,-0.15,0.02
1677734396.0239682,-6.97,6.42,1.59,0.05,-0.13,0.0
1677734396.0636091,-7.08,6.46,1.57,0.05,-0.13,0.02
1677734396.095352,-7.35,6.67,1.73,0.06,-0.11,0.03
1677734396.1266675,-7.21,6.47,1.77,0.06,-0.11,0.01
1677734396.157261,-7.14,6.38,1.67,0.03,-0.16,0.03
1677734396.18149,-7.17,6.46,1.59,0.06,-0.13,0.03
1677734396.2075777,-7.29,6.57,1.73,0.06,-0.14,0.02
1677734396.2294014,-7.15,6.4,1.64,0.06,-0.13,0.01
1677734396.2575018,-7.06,6.38,1.63,0.06,-0.15,0.01
1677734396.3172626,-7.0,6.36,1.65,0.09,-0.15,0.0
1677734396.3427634,-7.12,6.58,1.73,0.08,-0.11,-0.0
1677734396.366546,-7.24,6.52,1.72,0.07,-0.13,0.02
1677734396.3930738,-7.25,6.55,1.76,0.07,-0.13,-0.0
1677734396.4166205,-7.38,6.68,1.73,0.06,-0.14,-0.01
1677734396.4475234,-7.18,6.44,1.65,0.07,-0.17,0.0
1677734396.4900825,-7.04,6.54,1.66,0.08,-0.15,-0.0
1677734396.5245583,-7.02,6.6,1.7,0.07,-0.12,0.01
1677734396.5536382,-7.34,6.34,1.53,0.05,-0.15,0.0
1677734396.6173737,-7.29,6.61,1.65,0.09,-0.15,-0.0
1677734396.6432552,-7.01,6.63,1.7,0.09,-0.13,-0.0
1677734396.670177,-7.22,6.6,1.72,0.06,-0.13,-0.0
1677734396.690257,-7.1,6.39,1.63,0.07,-0.14,0.01
1677734396.709699,-7.12,6.6,1.67,0.07,-0.14,0.01
1677734396.7361028,-7.12,6.56,1.69,0.07,-0.14,0.0
1677734396.761425,-6.94,6.56,1.69,0.08,-0.12,0.01
1677734396.7887733,-7.22,6.69,1.68,0.06,-0.13,0.02
1677734396.836146,-7.18,6.61,1.75,0.06,-0.12,0.01
1677734396.857474,-7.23,6.48,1.6,0.06,-0.12,-0.01
1677734396.9095786,-7.19,6.41,1.69,0.05,-0.17,0.02
1677734396.931006,-7.14,6.57,1.69,0.06,-0.16,0.01
1677734396.9521887,-7.16,6.49,1.58,0.07,-0.13,0.0
1677734396.9744763,-7.16,6.44,1.64,0.07,-0.15,0.02
1677734397.004199,-7.13,6.53,1.64,0.09,-0.15,0.02
1677734397.0312457,-7.04,6.64,1.68,0.1,-0.12,0.0
1677734397.0598,-7.26,6.74,1.72,0.06,-0.13,0.01
1677734397.0865436,-7.19,6.71,1.72,0.05,-0.14,-0.0
1677734397.1241183,-7.05,6.38,1.47,0.07,-0.13,-0.01
1677734397.1518595,-7.04,6.39,1.51,0.09,-0.13,0.0
1677734397.2174191,-7.0,6.58,1.7,0.08,-0.14,0.01
1677734397.2432115,-6.92,6.43,1.7,0.11,-0.12,0.01
1677734397.2766278,-7.23,6.46,1.74,0.08,-0.1,0.0
1677734397.2994878,-7.51,6.54,1.74,0.09,-0.15,0.02
1677734397.321584,-7.11,6.62,1.76,0.08,-0.16,0.0
1677734397.347113,-7.01,6.89,1.72,0.07,-0.16,0.02
1677734397.3730044,-7.2,6.76,1.72,0.05,-0.14,0.01
1677734397.393854,-7.1,6.51,1.6,0.05,-0.14,0.0
1677734397.4156,-7.19,6.46,1.69,0.07,-0.16,0.02
1677734397.4379969,-7.05,6.51,1.65,0.07,-0.16,0.01
1677734397.4587572,-7.1,6.7,1.77,0.06,-0.15,0.0
1677734397.5238318,-6.96,6.58,1.68,0.05,-0.15,0.01
1677734397.5501463,-7.06,6.59,1.67,0.05,-0.13,0.02
1677734397.5780632,-7.05,6.42,1.66,0.11,-0.11,-0.0
1677734397.606598,-7.19,6.77,1.87,0.08,-0.12,0.03
1677734397.6312823,-7.44,6.88,1.81,0.05,-0.14,0.02
1677734397.664851,-7.2,6.58,1.71,0.04,-0.14,-0.0
1677734397.6929948,-7.2,6.38,1.56,0.06,-0.16,-0.0
1677734397.7186408,-7.03,6.17,1.51,0.07,-0.18,0.01
1677734397.749186,-7.07,6.48,1.57,0.09,-0.17,-0.01
1677734397.7767255,-6.85,6.18,1.39,0.1,-0.13,-0.04
1677734397.8167484,-4.74,7.89,1.71,-0.07,0.0,-0.04
1677734397.8393946,14.27,2.52,0.3,-0.91,1.5,0.55
1677734397.8623676,17.21,0.29,16.56,2.95,4.36,0.08
1677734397.8894243,-14.59,3.38,16.51,3.43,4.36,0.82
1677734397.9169614,-16.94,3.79,14.35,3.64,4.36,1.06
1677734397.936165,-17.12,7.44,14.83,3.37,4.22,1.46
1677734397.9624355,-19.61,11.04,16.18,2.32,2.34,1.01
1677734397.9878654,-17.74,10.54,16.29,0.65,0.26,0.06
1677734398.010105,-14.27,7.4,15.17,-0.85,-1.36,-1.12
1677734398.0354724,-14.83,8.06,14.3,-1.63,-2.78,-1.52
1677734398.0661073,-7.46,2.93,11.86,-2.04,-4.36,-0.63
1677734398.1518662,-6.11,2.82,11.38,-1.84,-4.36,-0.41
1677734398.1771464,-2.18,3.53,10.11,-1.18,-4.36,-0.04
1677734398.2080345,-3.42,4.82,3.93,-0.66,-1.27,-0.41
1677734398.237276,-3.39,4.67,3.63,-0.56,-1.21,-0.33
1677734398.2672267,-4.2,5.22,3.31,-0.29,-0.88,-0.12
1677734398.292589,-4.04,5.12,3.42,-0.16,-0.54,-0.03
1677734398.3170767,-5.48,5.8,3.49,-0.08,-0.3,0.01
1677734398.342008,-5.99,5.83,3.51,-0.09,-0.27,0.04
1677734398.3649402,-6.63,5.76,3.52,-0.03,-0.25,-0.01
1677734398.420568,-6.56,6.14,3.52,0.04,-0.17,-0.11
1677734398.4500115,-7.19,6.5,3.5,0.0,-0.24,-0.09
1677734398.4767234,-6.57,6.31,3.34,0.08,-0.23,-0.08
1677734398.5014873,-6.71,6.42,3.27,0.11,-0.15,-0.04
1677734398.526508,-7.08,6.62,3.46,0.11,-0.16,-0.01
1677734398.552187,-6.82,6.63,3.61,0.06,-0.18,0.02
1677734398.59022,-6.85,6.44,3.45,0.04,-0.16,-0.01
1677734398.6211157,-6.67,6.24,3.45,0.07,-0.11,-0.02
1677734398.6497145,-7.05,6.4,3.5,0.04,-0.17,0.02
1677734398.7096963,-7.17,6.4,3.53,0.03,-0.16,0.01
