timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677737103.1199565,2.89,9.32,1.72,0.01,-0.15,0.04
1677737103.1450007,2.84,9.44,1.64,0.03,-0.13,0.03
1677737103.1678734,2.7,9.43,1.72,0.02,-0.14,0.06
1677737103.1897032,2.87,9.42,1.72,0.04,-0.17,0.09
1677737103.214615,2.72,9.6,1.7,0.02,-0.18,0.09
1677737103.2393389,2.96,9.41,1.61,0.01,-0.17,0.07
1677737103.2650611,2.66,9.39,1.55,0.02,-0.17,0.05
1677737103.2900562,2.78,9.41,1.53,0.03,-0.17,0.06
1677737103.3194835,2.8,9.34,1.39,0.03,-0.16,0.05
1677737103.3690934,2.85,9.42,1.48,0.02,-0.15,0.03
1677737103.397797,2.72,9.5,1.55,0.02,-0.13,0.05
1677737103.425423,2.94,9.41,1.63,0.01,-0.15,0.03
1677737103.4521828,2.92,9.34,1.51,0.02,-0.16,0.05
1677737103.475061,2.9,9.31,1.48,0.05,-0.1,0.02
1677737103.5020998,2.7,9.25,1.5,0.07,-0.1,0.01
1677737103.5280068,2.38,9.4,1.63,0.06,-0.13,0.0
1677737103.5542336,2.76,9.48,1.56,0.05,-0.15,-0.01
1677737103.5767949,2.82,9.15,1.44,0.06,-0.15,-0.02
1677737103.5996394,3.0,9.14,1.36,0.08,-0.15,-0.01
1677737103.658843,2.92,9.23,1.36,0.11,-0.18,0.1
1677737103.680711,2.87,9.34,1.44,0.12,-0.2,0.12
1677737103.7018485,2.85,9.8,1.8,0.05,-0.17,0.08
1677737103.7266326,2.87,9.43,1.55,0.04,-0.09,-0.02
1677737103.7506104,2.48,9.54,1.56,0.05,-0.08,-0.03
1677737103.7734118,2.44,9.53,1.59,0.03,-0.15,0.06
1677737103.7974238,2.62,9.47,1.53,0.03,-0.14,0.06
1677737103.8290503,2.64,9.41,1.47,0.04,-0.11,-0.01
1677737103.8539517,2.5,9.45,1.5,0.05,-0.07,-0.06
1677737103.879858,2.57,9.26,1.43,0.03,-0.11,-0.02
1677737103.901056,2.74,9.23,1.56,0.1,-0.12,0.01
1677737103.956143,2.77,9.6,1.7,0.11,-0.1,-0.03
1677737103.9807174,2.59,9.78,1.66,0.04,-0.13,-0.01
1677737104.0032265,2.67,9.5,1.5,0.04,-0.13,0.02
1677737104.0344844,2.59,9.32,1.45,0.04,-0.15,0.0
1677737104.0581253,2.83,9.31,1.51,0.06,-0.14,-0.01
1677737104.083876,2.94,9.54,1.55,0.05,-0.16,0.06
1677737104.1082957,3.08,9.41,1.58,0.04,-0.16,0.08
1677737104.1359992,2.59,9.42,1.45,0.03,-0.15,0.11
1677737104.1600344,2.66,9.22,1.43,0.05,-0.17,0.1
1677737104.210328,2.52,9.48,1.6,0.07,-0.2,0.1
1677737104.2646177,2.55,9.46,1.57,0.08,-0.19,0.09
1677737104.2882876,2.43,9.43,1.56,0.09,-0.18,0.05
1677737104.3096716,1.79,9.62,1.78,0.1,-0.25,0.12
1677737104.33933,2.05,9.53,1.77,0.07,-0.33,0.12
1677737104.375661,1.68,9.87,1.85,0.05,-0.45,0.13
1677737104.4019964,1.77,10.07,2.03,0.02,-0.53,0.26
1677737104.423973,0.32,10.69,1.99,-0.16,-0.8,0.25
1677737104.4505117,0.01,10.67,1.69,-0.42,-1.27,0.31
1677737104.476202,-0.98,12.16,1.34,-0.82,-1.95,0.3
1677737104.499813,-3.28,14.13,1.62,-1.67,-3.12,0.43
1677737104.5616012,-2.78,14.18,2.47,-3.14,-4.36,0.57
1677737104.5882804,0.89,11.66,2.44,-3.52,-4.36,0.81
1677737104.6108172,10.45,5.23,-1.05,-1.62,-2.31,0.65
1677737104.631691,19.61,4.48,0.74,-0.4,-0.3,0.57
1677737104.6561525,19.61,-0.24,4.96,1.31,3.64,0.42
1677737104.6804914,19.61,-2.05,19.61,4.36,4.36,-0.05
1677737104.7010803,9.93,1.08,19.61,4.36,4.36,0.39
1677737104.7251358,-5.43,12.96,19.61,4.36,4.36,0.49
1677737104.7569582,-5.95,14.79,19.61,4.36,4.36,1.26
1677737104.7838538,-14.31,12.86,16.42,4.25,4.36,2.71
1677737104.805644,-19.61,17.83,10.39,0.89,2.57,1.53
1677737104.8577938,-9.88,13.42,8.45,-1.09,-0.04,0.83
1677737104.886779,-3.32,7.94,6.37,-1.26,-0.58,-0.41
1677737104.9076176,-3.16,8.88,4.59,-1.31,-0.79,-1.0
1677737104.933081,-1.87,9.16,3.42,-1.2,-1.32,-1.38
1677737104.9630425,-0.09,9.75,3.21,-1.29,-1.97,-1.36
1677737104.9891226,1.79,9.34,3.21,-1.35,-2.1,-1.06
1677737105.015912,1.87,8.63,2.84,-1.27,-2.09,-0.69
1677737105.038067,0.2,9.18,2.6,-1.11,-2.45,-0.49
1677737105.0627582,0.13,9.47,2.83,-1.22,-2.98,-0.35
1677737105.082732,1.36,8.89,2.88,-1.17,-3.22,-0.37
1677737105.1090944,1.88,8.93,2.86,-1.09,-3.16,-0.57
1677737105.1669917,2.95,8.7,2.71,-1.09,-3.11,-0.62
1677737105.1924503,4.85,7.84,2.31,-0.88,-2.87,-0.33
1677737105.215459,3.43,9.33,1.98,-0.81,-1.93,-0.49
1677737105.2369184,2.44,9.3,1.8,-0.74,-1.88,-0.46
1677737105.2671788,4.19,8.55,1.39,-0.58,-1.82,-0.18
1677737105.295212,4.44,8.63,1.23,-0.46,-1.63,-0.05
1677737105.3229392,4.05,8.91,1.12,-0.35,-1.24,-0.16
1677737105.346449,3.8,9.04,1.1,-0.23,-0.88,-0.27
1677737105.371461,4.0,8.95,1.08,-0.14,-0.63,-0.16
1677737105.3976743,3.51,9.58,1.15,-0.12,-0.47,-0.09
1677737105.4749358,3.44,8.97,1.02,-0.06,-0.31,-0.08
1677737105.5033867,2.84,9.3,0.85,-0.02,-0.24,-0.05
1677737105.5322006,2.36,9.77,1.11,0.17,-0.18,-0.11
1677737105.5672553,2.97,9.53,1.12,0.12,-0.2,-0.09
1677737105.5956717,3.08,9.49,1.12,0.09,-0.21,-0.06
1677737105.6203058,3.0,9.1,0.98,0.15,-0.18,-0.03
1677737105.6437736,2.5,9.93,1.37,0.17,-0.19,-0.01
1677737105.6720805,2.38,10.1,1.37,-0.02,-0.37,0.06
1677737105.6981845,3.4,8.81,0.96,0.02,-0.27,0.04
