timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677152339.0549736,-2.45,0.06,-9.08,0.05,-0.17,0.01
1677152339.0886452,-2.09,-0.08,-9.16,0.06,-0.16,-0.01
1677152339.115685,-2.09,-0.15,-9.1,0.07,-0.12,0.02
1677152339.1396737,-2.39,-0.11,-8.96,0.08,-0.11,0.02
1677152339.1836677,-2.38,-0.15,-9.08,0.11,-0.12,-0.02
1677152339.2065167,-2.29,0.08,-9.08,0.12,-0.13,0.01
1677152339.2293348,-2.62,0.29,-9.06,0.09,-0.11,0.04
1677152339.251611,-2.61,0.07,-9.01,0.06,-0.15,0.01
1677152339.272779,-2.41,-0.04,-9.06,0.07,-0.17,0.01
1677152339.2936614,-2.36,0.09,-9.07,0.08,-0.16,0.01
1677152339.3150308,-2.32,0.12,-9.08,0.06,-0.16,0.0
1677152339.3380387,-2.09,-0.04,-9.09,0.06,-0.14,0.02
1677152339.3640118,-2.16,-0.12,-9.09,0.06,-0.11,0.02
1677152339.3885798,-2.26,-0.03,-9.01,0.08,-0.1,0.03
1677152339.4079738,-2.38,-0.06,-8.95,0.07,-0.11,0.04
1677152339.427504,-2.37,-0.18,-9.11,0.07,-0.13,0.01
1677152339.4527316,-2.27,-0.05,-9.02,0.09,-0.13,0.0
1677152339.49841,-2.14,-0.03,-9.12,0.09,-0.12,0.01
1677152339.5235827,-2.5,0.29,-9.0,0.07,-0.1,0.03
1677152339.544907,-2.51,-0.12,-9.05,0.06,-0.12,-0.01
1677152339.565294,-2.38,-0.11,-9.06,0.07,-0.13,-0.03
1677152339.5868309,-2.28,-0.12,-9.05,0.08,-0.13,-0.04
1677152339.6106768,-2.15,-0.08,-9.21,0.07,-0.12,-0.01
1677152339.6303916,-2.22,-0.01,-9.14,0.09,-0.1,0.01
1677152339.6549892,-2.37,0.17,-9.1,0.1,-0.09,0.01
1677152339.6776986,-2.48,0.07,-9.01,0.08,-0.08,-0.02
1677152339.6999583,-2.55,0.2,-9.02,0.08,-0.09,-0.02
1677152339.7282977,-2.49,0.22,-9.0,0.06,-0.11,0.01
1677152339.7866974,-2.62,0.03,-9.0,0.05,-0.1,0.01
1677152339.809297,-2.44,-0.1,-9.11,0.07,-0.12,-0.04
1677152339.85031,-2.49,0.0,-9.1,0.06,-0.1,0.02
1677152339.873856,-2.45,0.0,-9.07,0.09,-0.13,-0.03
1677152339.8986216,-2.37,0.12,-8.97,0.09,-0.13,-0.02
1677152339.9185262,-2.43,0.16,-8.97,0.08,-0.11,-0.01
1677152339.940112,-2.45,0.07,-9.05,0.08,-0.1,-0.01
1677152339.9600174,-2.4,-0.05,-9.08,0.09,-0.11,-0.02
1677152339.9811163,-2.43,0.16,-9.01,0.08,-0.12,-0.01
1677152340.0055468,-2.48,0.17,-9.06,0.09,-0.1,-0.01
1677152340.0281098,-2.47,0.19,-9.0,0.08,-0.1,-0.01
1677152340.0495307,-2.39,0.1,-9.04,0.08,-0.09,-0.01
1677152340.0926776,-2.51,0.04,-9.0,0.1,-0.08,-0.01
1677152340.1186807,-2.69,0.24,-8.89,0.09,-0.1,0.01
1677152340.1449642,-2.55,-0.01,-9.1,0.07,-0.11,-0.0
1677152340.1680963,-2.51,0.14,-9.07,0.08,-0.12,-0.02
1677152340.190235,-2.39,0.08,-9.11,0.08,-0.09,-0.04
1677152340.2111738,-2.54,0.12,-9.01,0.1,-0.09,-0.05
1677152340.2327504,-2.64,0.21,-8.99,0.09,-0.1,-0.04
1677152340.253786,-2.73,0.17,-8.99,0.07,-0.12,-0.02
1677152340.2811525,-2.56,0.24,-9.07,0.07,-0.14,-0.0
1677152340.3037052,-2.66,0.28,-9.09,0.06,-0.14,-0.0
1677152340.3240366,-2.53,0.22,-9.02,0.05,-0.14,-0.02
1677152340.3479483,-2.56,0.09,-9.03,0.07,-0.13,-0.02
1677152340.3746998,-2.51,0.11,-9.07,0.09,-0.12,-0.01
1677152340.3977928,-2.73,0.47,-8.9,0.07,-0.13,-0.02
1677152340.419232,-2.62,0.31,-8.94,0.05,-0.15,-0.01
1677152340.446114,-2.28,-0.03,-9.15,0.06,-0.14,0.02
1677152340.4712706,-2.44,0.08,-9.08,0.07,-0.12,0.01
1677152340.6652455,-2.48,0.2,-9.0,0.07,-0.11,0.0
