timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677736821.9558642,2.16,9.62,1.23,0.11,-0.15,0.08
1677736821.97778,1.66,9.89,1.31,0.1,-0.16,0.05
1677736822.0001812,1.81,9.84,1.29,0.06,-0.17,-0.0
1677736822.028971,1.86,9.63,1.14,0.03,-0.2,-0.01
1677736822.0539222,2.08,9.66,1.1,0.07,-0.18,0.03
1677736822.0771818,1.94,9.73,1.03,0.07,-0.17,0.02
1677736822.099019,2.11,9.62,0.98,0.07,-0.16,-0.0
1677736822.1333165,2.14,9.7,0.98,0.07,-0.16,0.01
1677736822.1566167,2.3,9.64,0.94,0.07,-0.12,0.02
1677736822.1787238,2.14,9.59,0.97,0.06,-0.13,0.04
1677736822.201018,1.97,9.56,1.05,0.07,-0.1,0.02
1677736822.226833,1.78,9.48,1.11,0.07,-0.11,-0.01
1677736822.2484655,1.99,9.51,1.19,0.07,-0.15,0.0
1677736822.268993,1.9,9.54,1.25,0.09,-0.13,0.0
1677736822.2921033,1.93,9.54,1.1,0.08,-0.14,-0.03
1677736822.3358948,2.32,9.57,1.1,0.09,-0.13,-0.02
1677736822.3642638,2.18,9.6,1.08,0.11,-0.11,0.02
1677736822.3861322,1.93,9.89,1.17,0.11,-0.13,-0.01
1677736822.4106667,2.01,9.9,1.2,0.09,-0.13,-0.01
1677736822.4864652,2.05,9.96,1.24,0.08,-0.13,-0.0
1677736822.509644,2.16,10.03,1.25,0.04,-0.13,0.0
1677736822.540384,2.03,9.51,0.98,0.04,-0.13,0.03
1677736822.5623915,2.24,9.56,1.0,0.07,-0.14,0.04
1677736822.583833,2.03,9.59,1.07,0.06,-0.12,0.03
1677736822.621609,1.88,9.58,1.08,0.08,-0.11,0.01
1677736822.6458435,1.82,9.54,1.09,0.07,-0.13,0.03
1677736822.6771586,2.21,9.67,1.12,0.07,-0.14,0.03
1677736822.7028048,2.26,9.68,1.16,0.06,-0.1,0.0
1677736822.7619853,2.02,9.54,1.03,0.07,-0.11,0.03
1677736822.785838,2.07,9.61,1.06,0.09,-0.12,0.04
1677736822.8124914,2.06,9.69,1.22,0.08,-0.11,0.01
1677736822.857292,1.96,9.62,1.08,0.05,-0.13,0.04
1677736822.8863096,1.94,9.62,1.08,0.08,-0.09,0.02
1677736822.9105046,1.7,9.73,1.25,0.07,-0.13,0.02
1677736822.9338157,2.13,9.77,1.25,0.07,-0.17,0.02
1677736822.9617677,2.04,9.63,1.13,0.06,-0.13,0.01
1677736822.986058,2.04,9.7,1.28,0.08,-0.12,0.02
1677736823.006544,1.97,9.7,1.2,0.05,-0.14,0.04
1677736823.0592058,1.97,9.43,1.02,0.07,-0.14,0.01
1677736823.090428,2.01,9.44,1.02,0.09,-0.14,0.01
1677736823.1106703,2.17,9.85,1.22,0.08,-0.15,0.03
1677736823.1308253,2.11,9.89,1.2,0.05,-0.12,0.02
1677736823.1573727,2.1,9.81,1.2,0.05,-0.12,0.01
1677736823.179466,2.05,9.78,1.1,0.05,-0.12,0.02
1677736823.1993656,2.02,9.72,1.18,0.04,-0.12,0.03
1677736823.2201948,1.86,9.63,1.16,0.04,-0.14,0.02
1677736823.245992,2.2,9.67,1.12,0.04,-0.14,0.03
1677736823.2662072,2.25,9.6,1.11,0.06,-0.11,0.05
1677736823.290451,1.92,9.66,1.08,0.07,-0.1,0.07
1677736823.3123512,1.9,9.62,1.13,0.07,-0.1,0.07
1677736823.366042,1.74,9.69,1.13,0.07,-0.1,0.04
1677736823.3881226,1.82,9.75,1.1,0.05,-0.11,0.02
1677736823.4129648,1.94,9.96,1.17,0.01,-0.13,0.07
1677736823.433318,1.06,11.76,1.74,-0.02,-0.02,-0.0
1677736823.4657028,-0.41,13.71,2.24,-0.45,-0.24,-0.01
1677736823.490501,-1.68,11.72,1.26,-1.09,-1.04,0.14
1677736823.5125897,-4.39,13.69,0.87,-2.06,-2.81,0.16
1677736823.5389106,-3.34,9.28,-0.01,-2.33,-3.75,0.05
1677736823.5683577,0.22,7.63,-0.4,-2.16,-4.34,0.31
1677736823.593202,4.61,7.26,-0.38,-1.69,-4.36,1.13
1677736823.6146915,18.78,10.09,-0.3,-1.62,-3.59,1.54
1677736823.6713617,19.61,-11.59,0.16,1.29,3.44,2.24
1677736823.6971848,19.61,-14.9,8.26,4.36,4.36,1.02
1677736823.7201252,-19.61,19.61,18.33,3.7,4.36,2.72
1677736823.7507472,-16.72,18.41,11.49,1.13,4.2,3.0
1677736823.7770257,-12.39,11.84,7.56,-0.33,2.12,2.73
1677736823.7987173,-5.66,9.92,5.68,-0.78,1.08,-0.02
1677736823.824621,-6.57,10.11,4.9,-1.12,0.64,-0.45
1677736823.851837,-7.11,10.54,4.07,-1.38,-0.01,-0.7
1677736823.904982,-6.79,9.14,2.91,-1.77,-1.54,-0.79
1677736823.9658463,-2.54,7.11,2.27,-1.4,-2.54,-1.05
1677736823.988448,0.8,9.88,3.05,-1.13,-2.89,-1.24
1677736824.0099027,4.23,7.55,1.69,-0.61,-2.47,-0.54
1677736824.031675,3.91,8.86,1.61,-0.3,-2.07,-0.43
1677736824.0689943,4.23,10.35,1.65,-0.43,-1.64,-0.4
1677736824.0950596,4.79,9.46,1.23,-0.4,-1.13,-0.49
1677736824.1232564,3.14,9.28,0.72,-0.18,-0.64,-0.19
1677736824.1483548,3.26,9.41,0.64,-0.11,-0.57,-0.13
1677736824.1817844,2.19,10.12,0.84,-0.15,-0.47,-0.19
1677736824.209688,2.97,9.37,0.64,-0.22,-0.41,-0.18
1677736824.2651336,2.93,8.94,0.42,0.08,-0.19,-0.06
1677736824.2904477,1.7,9.98,0.78,0.13,-0.07,-0.06
1677736824.315804,2.2,9.46,0.68,0.01,-0.17,-0.06
1677736824.33917,1.86,9.33,0.64,0.09,-0.19,0.01
1677736824.3606343,2.37,9.98,0.87,0.1,-0.13,0.03
1677736824.386307,1.77,9.96,0.87,0.03,-0.08,-0.04
1677736824.4104257,1.68,9.41,0.68,0.07,-0.17,-0.05
1677736824.4325087,1.77,9.68,0.75,0.07,-0.26,0.03
1677736824.4556816,2.18,9.6,0.85,0.12,-0.18,0.04
1677736824.4857855,1.85,9.79,0.91,0.08,-0.18,-0.03
1677736824.5078597,2.09,9.63,0.79,0.1,-0.16,-0.07
1677736824.561315,2.2,9.73,0.85,0.11,-0.22,-0.0
1677736824.590936,2.06,9.78,0.84,0.1,-0.22,-0.01
1677736824.6219213,2.29,9.74,0.88,0.1,-0.2,0.01
1677736824.6439884,1.98,9.7,0.78,0.04,-0.2,-0.0
1677736824.6657338,2.15,9.56,0.77,0.05,-0.2,-0.0
1677736824.6919942,2.26,9.77,0.84,0.06,-0.18,0.03
1677736824.7146535,2.35,9.55,0.86,0.07,-0.15,0.02
1677736824.7394762,2.34,9.61,0.87,0.05,-0.12,0.02
1677736824.7633307,2.09,9.67,0.93,0.05,-0.11,0.02
1677736824.7978344,1.99,9.57,0.9,0.07,-0.11,0.04
1677736824.8222387,1.85,9.82,0.88,0.07,-0.14,0.05
1677736824.8810036,2.09,9.71,0.89,0.05,-0.13,0.01
1677736824.9042892,2.08,9.61,0.94,0.07,-0.13,0.04
1677736824.9289055,2.11,9.78,0.82,0.07,-0.12,0.01
1677736824.95382,1.87,9.71,0.88,0.07,-0.12,-0.0
