timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677152417.7505577,-7.42,2.6,-5.27,0.04,-0.16,-0.0
1677152417.7745354,-7.36,2.58,-5.19,0.04,-0.13,0.0
1677152417.7970395,-7.44,2.58,-5.25,0.05,-0.12,0.01
1677152417.8489752,-7.42,2.45,-5.17,0.05,-0.11,-0.02
1677152417.8728788,-7.42,2.42,-5.19,0.04,-0.11,0.02
1677152417.92761,-7.58,2.4,-5.16,0.06,-0.12,0.02
1677152417.953639,-7.47,2.27,-5.17,0.07,-0.13,0.01
1677152417.9800415,-7.58,2.56,-5.15,0.06,-0.13,0.03
1677152418.007866,-7.58,2.44,-5.07,0.06,-0.14,0.03
1677152418.0398903,-7.42,2.41,-5.21,0.08,-0.13,0.01
1677152418.0634344,-7.37,2.44,-5.17,0.09,-0.13,0.03
1677152418.0865583,-7.42,2.55,-5.19,0.08,-0.12,0.03
1677152418.144443,-7.45,2.59,-5.12,0.07,-0.11,0.03
1677152418.171453,-7.48,2.55,-5.15,0.08,-0.11,0.02
1677152418.1934974,-7.54,2.47,-5.12,0.09,-0.12,0.03
1677152418.2139778,-7.47,2.55,-5.15,0.1,-0.11,0.03
1677152418.235536,-7.65,2.57,-5.11,0.09,-0.12,0.03
1677152418.2562516,-7.69,2.69,-5.13,0.07,-0.13,0.04
1677152418.2791057,-7.72,2.56,-5.07,0.07,-0.14,0.01
1677152418.3022025,-7.48,2.47,-5.11,0.06,-0.14,-0.02
1677152418.3311908,-7.34,2.45,-5.15,0.07,-0.13,0.02
1677152418.354503,-7.43,2.46,-5.09,0.08,-0.12,0.04
1677152418.3772285,-7.48,2.6,-5.09,0.06,-0.13,0.02
1677152418.4375155,-7.41,2.45,-5.08,0.06,-0.13,0.0
1677152418.4616148,-7.34,2.35,-5.24,0.1,-0.1,0.01
1677152418.4875407,-7.7,2.72,-5.1,0.06,-0.13,0.04
1677152418.517192,-7.7,2.59,-5.11,0.06,-0.14,0.03
1677152418.5419624,-7.4,2.6,-5.08,0.06,-0.13,0.04
1677152418.5638883,-7.46,2.43,-5.14,0.05,-0.12,0.04
1677152418.5851529,-7.58,2.34,-5.15,0.06,-0.11,0.01
1677152418.610015,-7.64,2.51,-5.0,0.06,-0.11,0.0
1677152418.631389,-7.66,2.29,-5.17,0.07,-0.13,0.02
1677152418.6618063,-7.55,2.45,-5.11,0.08,-0.14,0.03
1677152418.6851175,-7.58,2.55,-5.07,0.08,-0.12,0.01
1677152418.7472188,-7.61,2.56,-5.05,0.07,-0.12,0.01
1677152418.7759624,-7.51,2.37,-5.14,0.06,-0.12,0.0
1677152418.800053,-7.67,2.55,-4.99,0.07,-0.13,0.01
1677152418.8278792,-7.5,2.48,-5.09,0.09,-0.14,-0.0
1677152418.8493156,-7.36,2.62,-5.09,0.08,-0.13,0.01
1677152418.87582,-7.48,2.6,-5.09,0.06,-0.12,0.02
1677152418.9061396,-7.47,2.51,-5.1,0.05,-0.12,0.01
1677152418.938579,-7.43,2.47,-5.08,0.06,-0.11,0.01
1677152418.9735987,-7.51,2.4,-5.07,0.06,-0.09,0.0
1677152419.0191774,-7.63,2.35,-5.03,0.06,-0.09,0.01
1677152419.0526326,-7.66,2.22,-5.05,0.09,-0.11,-0.01
1677152419.0831716,-7.38,2.67,-5.04,0.08,-0.09,-0.0
1677152419.1054456,-7.73,2.57,-5.09,0.08,-0.07,-0.02
1677152419.137118,-7.23,1.94,-5.15,0.13,-0.05,-0.03
1677152419.163653,-7.33,2.52,-5.04,0.09,-0.05,-0.02
1677152419.203573,-7.47,2.66,-4.96,0.11,-0.03,-0.02
1677152419.2276733,-7.4,2.59,-5.01,0.09,-0.01,-0.03
1677152419.2612555,-6.97,2.41,-5.18,0.14,0.04,-0.11
1677152419.2830136,-5.91,2.96,-5.13,0.2,0.11,-0.07
1677152419.3413978,-5.34,2.81,-5.08,0.17,0.39,0.04
1677152419.3634956,-4.55,2.34,-4.75,0.29,0.81,-0.14
1677152419.3909087,-1.51,2.67,-3.79,0.14,1.42,-0.4
1677152419.4139678,-0.58,0.36,-3.63,0.22,2.05,-0.17
1677152419.4409938,-1.71,-1.71,-2.12,0.73,3.01,0.18
1677152419.4692318,-2.27,-0.94,-0.33,1.17,3.53,0.25
1677152419.4995787,-4.63,0.12,2.84,1.48,4.14,0.52
1677152419.525232,-7.33,-2.03,4.12,1.7,4.36,0.91
1677152419.5493374,-8.49,-4.55,6.2,2.88,4.31,0.87
1677152419.5702548,-8.0,-2.06,8.55,3.37,4.15,0.91
1677152419.5912335,-9.14,-0.02,11.19,3.49,4.34,0.67
1677152419.646443,-9.64,0.8,11.55,3.34,4.23,0.16
1677152419.6722105,-4.82,0.75,11.88,2.68,4.02,-0.87
1677152419.6945598,-2.97,-0.8,13.11,2.86,4.36,-0.93
1677152419.735841,-9.38,5.75,14.98,1.87,4.08,-0.84
1677152419.767831,-5.5,2.18,12.78,0.97,3.25,-1.39
1677152419.7918658,-5.85,3.65,12.02,0.4,3.02,-1.08
1677152419.8163946,-6.11,1.52,12.73,0.12,2.3,-0.62
1677152419.8396168,-6.4,1.71,12.87,0.03,1.95,-0.75
1677152419.8665304,-6.06,1.66,12.75,-0.12,1.32,-0.71
1677152419.895563,-5.69,1.78,12.43,-0.16,0.82,-0.56
1677152419.9498403,-3.92,2.29,12.07,-0.21,0.17,-0.33
1677152419.976513,-2.2,0.19,11.58,-0.77,-0.09,-0.12
1677152419.9969366,-2.32,0.72,11.41,-0.42,-0.09,0.04
1677152420.0186057,-2.7,0.93,10.87,-0.39,-0.1,-0.23
1677152420.044926,-2.5,0.4,10.63,-0.31,-0.14,-0.18
1677152420.074045,-2.2,0.44,10.63,-0.17,-0.18,-0.1
1677152420.0963182,-2.05,0.61,10.48,0.02,-0.19,-0.02
1677152420.1192155,-1.92,0.69,10.42,0.12,-0.22,0.08
1677152420.144559,-2.15,1.02,10.41,0.2,-0.27,0.14
1677152420.1712933,-1.97,1.21,10.35,0.2,-0.32,0.13
1677152420.1969943,-1.75,1.28,10.31,0.17,-0.34,0.13
1677152420.2241423,-1.47,1.14,10.32,0.07,-0.25,0.07
1677152420.2469828,-1.58,1.01,10.35,0.05,-0.22,0.03
1677152420.267418,-1.8,0.94,10.25,0.03,-0.22,-0.01
1677152420.288962,-1.6,0.99,10.11,0.04,-0.23,-0.0
1677152420.3118231,-1.57,0.99,10.1,0.06,-0.23,0.01
1677152420.3436334,-1.53,1.15,10.12,0.05,-0.18,0.02
1677152420.3665986,-1.68,1.14,10.14,0.04,-0.16,0.02
1677152420.3872154,-1.85,1.24,10.3,0.02,-0.16,0.02
1677152420.4192202,-1.89,1.34,10.29,-0.01,-0.17,0.02
1677152420.4398515,-1.87,1.23,10.27,-0.04,-0.18,0.02
