timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1676016425.1485372,2.81,9.54,1.05,0.05,-0.12,0.02
1676016425.1774094,2.86,9.45,1.03,0.04,-0.15,0.05
1676016425.2069132,2.88,9.54,1.1,0.06,-0.11,0.03
1676016425.2328503,2.65,9.56,1.17,0.04,-0.13,0.0
1676016425.265857,2.95,9.19,0.95,0.01,-0.16,0.03
1676016425.291351,2.77,9.2,0.86,0.06,-0.12,-0.0
1676016425.320266,2.58,9.31,0.86,0.1,-0.12,-0.03
1676016425.605892,2.89,9.43,1.03,0.09,-0.16,0.0
1676016425.680401,3.04,9.42,1.04,0.08,-0.13,-0.02
1676016425.7071393,2.85,9.49,1.11,0.08,-0.11,-0.02
1676016425.7318122,2.79,9.47,1.13,0.05,-0.11,0.01
1676016425.7627552,2.71,9.43,1.1,0.06,-0.09,0.01
1676016425.7883778,2.54,9.45,0.99,0.07,-0.1,0.01
1676016425.8108382,2.66,9.54,1.05,0.08,-0.13,-0.01
1676016425.840754,2.77,9.52,1.15,0.06,-0.13,0.0
1676016425.864838,2.55,9.45,1.13,0.06,-0.14,0.01
1676016425.8903167,2.93,9.5,1.06,0.07,-0.13,-0.01
1676016425.9199646,2.92,9.51,1.04,0.07,-0.11,-0.01
1676016425.9686692,2.7,9.6,0.98,0.08,-0.12,-0.01
1676016425.9916744,2.84,9.66,1.08,0.03,-0.15,-0.01
1676016426.0171385,3.04,9.48,1.1,0.04,-0.14,-0.0
1676016426.039576,3.04,9.37,1.09,0.05,-0.13,0.02
1676016426.0634315,2.89,9.51,0.94,0.06,-0.11,0.02
1676016426.0865304,2.64,9.55,0.95,0.06,-0.1,0.0
1676016426.1110504,2.65,9.51,1.01,0.03,-0.12,0.02
1676016426.1732895,2.68,9.43,1.0,0.06,-0.13,0.02
1676016426.2210507,2.76,9.35,0.99,0.06,-0.12,0.02
1676016426.2668123,2.76,9.6,1.04,0.11,-0.13,0.0
1676016426.2876742,2.68,9.6,1.03,0.06,-0.14,0.01
1676016426.315215,2.83,9.35,1.02,0.06,-0.14,-0.01
1676016426.3360813,2.89,9.34,1.0,0.06,-0.15,0.01
1676016426.3563466,2.89,9.42,1.05,0.09,-0.14,0.02
1676016426.418189,3.03,9.52,1.09,0.09,-0.14,0.01
1676016426.4402368,2.77,9.62,1.07,0.09,-0.12,-0.0
1676016426.464624,2.86,9.58,1.14,0.04,-0.17,0.02
1676016426.4876132,2.91,9.57,1.13,0.06,-0.14,0.01
1676016426.517273,2.82,9.55,1.11,0.06,-0.14,0.01
1676016426.579974,2.67,9.41,0.95,0.06,-0.16,0.03
1676016426.6264322,2.77,9.39,0.99,0.06,-0.16,0.02
1676016426.6581905,2.85,9.35,0.99,0.06,-0.13,0.02
1676016426.687464,2.86,9.47,0.97,0.07,-0.14,0.02
1676016426.7158597,3.08,9.53,1.01,0.05,-0.11,0.0
1676016426.7468226,2.78,9.49,0.97,0.08,-0.1,0.02
1676016426.7925751,2.61,9.55,0.97,0.07,-0.1,0.02
1676016426.8559875,2.6,9.35,0.94,0.07,-0.12,-0.0
1676016426.88078,2.81,9.39,0.99,0.08,-0.1,-0.0
1676016426.931674,2.57,9.52,1.03,0.03,-0.15,0.03
1676016426.9573965,2.67,9.37,0.97,0.07,-0.17,-0.01
1676016426.982098,3.01,9.57,1.03,0.07,-0.15,-0.0
1676016427.0062745,2.85,9.47,1.0,0.07,-0.16,0.01
1676016427.0341916,2.87,9.49,0.96,0.08,-0.13,0.01
1676016427.0574071,2.79,9.53,1.02,0.07,-0.13,0.01
1676016427.0883873,2.84,9.45,0.93,0.07,-0.15,0.02
1676016427.1212025,2.74,9.5,0.99,0.08,-0.13,-0.0
1676016427.1723924,2.81,9.49,0.98,0.07,-0.15,-0.03
1676016427.2039034,2.77,9.31,0.97,0.08,-0.14,0.01
1676016427.224987,3.02,9.53,1.1,0.07,-0.13,0.0
1676016427.2503831,2.84,9.58,1.16,0.07,-0.14,0.01
1676016427.2761445,2.88,9.46,0.93,0.07,-0.11,0.01
1676016427.306949,2.84,9.44,0.84,0.07,-0.12,0.02
1676016427.338848,2.88,9.5,1.07,0.07,-0.1,-0.0
1676016427.3650782,2.97,9.45,0.98,0.07,-0.12,0.04
1676016427.3934069,3.31,9.26,0.96,0.08,-0.07,0.05
1676016427.4209874,3.55,9.34,1.05,0.08,-0.0,0.06
1676016427.4727466,5.26,9.88,1.43,-0.06,0.24,0.35
1676016427.5016744,7.6,9.23,1.69,-0.27,0.99,0.69
1676016427.5253105,8.52,8.4,1.77,-0.23,1.84,1.07
1676016427.5514498,8.4,7.98,2.58,0.01,3.07,1.28
1676016427.5809228,7.72,6.49,3.98,0.45,4.36,1.3
1676016427.6050055,3.04,6.35,4.63,0.96,4.36,1.19
1676016427.626469,1.84,7.21,5.18,1.38,4.36,1.2
1676016427.6652925,0.18,6.6,5.49,1.62,4.36,1.35
1676016427.688169,-2.77,9.27,5.86,1.94,4.36,1.12
1676016427.716454,-3.51,10.17,5.7,1.72,4.36,1.16
1676016427.7685597,-6.14,11.7,4.95,1.53,3.87,0.89
1676016427.7972548,-6.94,12.87,3.68,0.31,2.14,0.2
1676016427.8425255,-2.25,9.32,3.15,-0.58,0.52,-0.12
1676016427.8688655,-1.05,9.51,2.59,-0.26,0.38,-0.13
1676016427.8921697,-1.92,10.6,2.28,-0.39,0.2,-0.25
1676016427.9179113,-0.69,9.34,1.71,-0.55,-0.09,-0.19
1676016427.9412663,0.43,8.02,1.34,-0.35,-0.16,-0.02
1676016427.9850893,0.54,9.17,1.29,0.06,-0.03,-0.02
1676016428.0625665,0.54,9.93,1.34,0.03,-0.03,-0.0
1676016428.0958626,-0.26,9.16,1.32,0.13,-0.17,0.12
1676016428.1302972,0.56,9.95,1.8,0.0,-0.23,0.02
1676016428.1626034,0.79,9.93,1.66,-0.01,-0.05,-0.03
1676016428.2089398,0.38,9.84,1.37,0.03,-0.03,-0.01
1676016428.2339995,0.18,10.28,1.74,0.05,-0.03,0.04
1676016428.2573318,0.2,10.05,1.74,-0.01,-0.08,0.07
1676016428.288341,0.23,9.95,1.67,-0.01,-0.1,0.09
1676016428.3153567,0.31,9.67,1.6,0.06,-0.07,0.09
1676016428.371148,0.04,9.92,1.55,0.06,-0.1,0.05
1676016428.3951097,0.13,9.96,1.67,0.04,-0.14,0.04
1676016428.4260492,0.11,9.71,1.54,0.03,-0.13,0.01
1676016428.4541702,0.2,9.68,1.47,0.01,-0.15,0.02
1676016428.4812813,-0.07,9.56,1.34,0.06,-0.15,-0.0
1676016428.5054822,0.2,9.7,1.46,0.06,-0.17,-0.01
1676016428.5275686,0.12,9.78,1.47,0.06,-0.16,-0.01
1676016428.5511222,0.03,9.67,1.47,0.06,-0.17,-0.03
1676016428.582311,-0.08,9.7,1.37,0.07,-0.19,-0.04
1676016428.6084733,0.06,9.71,1.43,0.09,-0.23,-0.02
1676016428.683046,0.05,9.99,1.52,0.07,-0.25,-0.03
1676016428.7055538,0.31,9.91,1.45,0.02,-0.22,-0.06
1676016428.736173,0.41,10.02,1.37,0.08,-0.16,0.0
1676016428.759642,0.43,10.05,1.44,0.06,-0.16,0.01
1676016428.7876215,0.32,9.54,1.38,0.1,-0.14,0.02
1676016428.8119574,0.21,9.75,1.53,0.13,-0.15,0.04
1676016428.846109,0.25,9.98,1.75,0.11,-0.16,0.04
1676016428.875895,0.24,9.79,1.63,0.1,-0.17,0.04
1676016428.9047892,0.27,9.78,1.61,0.1,-0.17,0.04
1676016428.964852,0.1,9.81,1.6,0.09,-0.15,0.02
1676016428.9915462,-0.08,9.95,1.57,0.04,-0.17,-0.0
1676016429.0156035,0.29,9.67,1.51,0.08,-0.26,0.01
1676016429.0438805,0.28,9.95,1.51,0.08,-0.26,-0.0
1676016429.0654387,0.3,9.94,1.45,0.02,-0.22,-0.05
1676016429.0871882,0.24,9.69,1.37,0.01,-0.23,-0.05
1676016429.120086,0.49,9.66,1.38,0.05,-0.24,0.01
1676016429.140989,0.46,9.81,1.48,0.09,-0.23,0.03
1676016429.1615028,0.53,10.24,1.6,0.02,-0.15,-0.01
1676016429.1938243,0.37,9.97,1.47,-0.0,-0.11,-0.03
1676016429.2209277,0.28,9.62,1.35,0.02,-0.14,0.05
1676016429.266128,0.31,9.78,1.41,0.04,-0.13,0.06
1676016429.2908027,0.24,9.82,1.38,0.01,-0.09,0.0
1676016429.3192806,0.2,9.71,1.37,0.02,-0.1,0.01
1676016429.3475363,0.24,9.51,1.3,0.07,-0.13,0.04
1676016429.372881,0.18,9.89,1.53,0.12,-0.13,0.07
