timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677151806.976724,-8.68,2.45,4.1,0.07,-0.14,-0.01
1677151807.004964,-8.7,2.44,4.08,0.07,-0.13,0.0
1677151807.0659256,-8.66,2.41,4.18,0.06,-0.13,0.0
1677151807.093271,-8.7,2.43,4.06,0.07,-0.13,0.01
1677151807.1226084,-8.68,2.48,4.07,0.07,-0.14,0.01
1677151807.1518147,-8.65,2.45,4.15,0.07,-0.14,-0.0
1677151807.1789415,-8.68,2.42,4.14,0.07,-0.13,0.0
1677151807.213029,-8.64,2.47,4.09,0.07,-0.14,0.01
1677151807.237278,-8.69,2.41,4.11,0.07,-0.13,0.02
1677151807.2744918,-8.65,2.44,4.09,0.06,-0.13,0.01
1677151807.3108103,-8.66,2.44,4.09,0.07,-0.13,0.0
1677151807.387261,-8.66,2.54,4.11,0.07,-0.14,0.02
1677151807.4140291,-8.66,2.46,4.13,0.07,-0.13,0.02
1677151807.4362772,-8.7,2.43,4.12,0.07,-0.14,0.02
1677151807.471301,-8.68,2.44,4.17,0.07,-0.14,0.01
1677151807.4930255,-8.71,2.46,4.05,0.07,-0.14,-0.0
1677151807.5333142,-8.69,2.48,4.07,0.07,-0.13,-0.01
1677151807.5636373,-8.67,2.43,4.07,0.07,-0.14,0.03
1677151807.5954862,-8.68,2.43,4.09,0.06,-0.13,0.0
1677151807.630609,-8.69,2.42,4.09,0.06,-0.13,-0.02
1677151807.681954,-8.66,2.49,4.08,0.07,-0.13,0.0
1677151807.7094295,-8.71,2.49,4.1,0.06,-0.13,0.01
1677151807.733779,-8.67,2.46,4.08,0.07,-0.13,0.0
1677151807.7564995,-8.64,2.45,4.14,0.07,-0.14,-0.0
1677151807.778871,-8.66,2.46,4.09,0.06,-0.14,0.01
1677151807.7993667,-8.72,2.47,4.07,0.07,-0.13,0.0
1677151807.8193877,-8.67,2.46,4.03,0.07,-0.13,0.01
1677151807.8441567,-8.65,2.44,4.09,0.07,-0.14,0.02
1677151807.8683147,-8.69,2.47,4.1,0.06,-0.14,0.01
1677151807.8947375,-8.63,2.42,4.15,0.07,-0.13,0.01
1677151807.922785,-8.64,2.44,4.1,0.07,-0.13,0.02
1677151807.963479,-8.69,2.44,4.0,0.06,-0.13,0.01
1677151807.996321,-8.71,2.43,4.11,0.06,-0.14,0.02
1677151808.0264506,-8.67,2.52,4.1,0.07,-0.14,-0.0
1677151808.0559669,-8.66,2.46,4.09,0.07,-0.14,0.01
1677151808.0847335,-8.74,2.47,4.07,0.07,-0.13,0.03
