timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677737050.1985316,2.32,7.93,2.32,-0.65,-1.16,-0.79
1677737050.2220654,2.52,8.91,3.18,-0.41,-0.92,-1.25
1677737050.2440288,1.76,10.54,2.79,-0.76,-1.11,-0.79
1677737050.2760751,2.35,9.56,2.51,-0.86,-1.2,-0.57
1677737050.302887,2.88,8.62,1.95,-0.66,-1.15,-0.36
1677737050.422622,3.19,9.15,1.85,-0.46,-0.93,-0.53
1677737050.5286613,3.12,9.36,2.21,-0.48,-0.8,-0.51
1677737050.5917275,2.84,9.51,1.74,-0.08,-0.37,-0.01
1677737050.6151674,2.75,9.57,1.97,0.04,-0.09,-0.08
1677737050.6630356,2.58,9.26,1.76,0.05,-0.19,-0.0
1677737050.6851654,2.59,8.93,1.69,0.08,-0.29,0.07
1677737050.710659,2.45,9.73,1.88,0.08,-0.31,0.14
1677737050.732295,3.09,9.26,1.93,0.13,-0.29,0.05
1677737050.7532449,2.8,9.74,1.93,0.08,-0.27,0.04
1677737050.7766604,2.84,9.46,2.06,0.07,-0.26,0.03
1677737050.803469,2.72,9.55,1.95,0.03,-0.21,-0.05
1677737050.826125,2.7,9.51,1.97,0.03,-0.22,-0.03
1677737050.851911,2.39,9.39,1.83,0.03,-0.29,0.07
1677737050.8863828,2.87,9.52,1.93,0.07,-0.28,0.06
1677737050.9144611,2.97,9.57,1.92,0.04,-0.21,-0.04
1677737050.9676456,2.85,9.53,2.01,0.0,-0.2,-0.01
1677737050.9971523,2.8,9.31,1.85,0.02,-0.13,0.01
1677737051.0244584,2.75,9.47,1.95,0.05,-0.12,-0.05
1677737051.0445757,2.44,9.46,1.87,0.01,-0.22,0.03
1677737051.0693312,2.89,9.4,1.81,0.0,-0.24,-0.05
1677737051.0950477,2.95,9.29,1.78,-0.01,-0.2,-0.06
1677737051.1188855,2.84,9.18,1.7,0.02,-0.19,-0.04
