timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1676015902.348742,-5.02,2.63,-7.54,0.1,-0.1,0.01
1676015902.375189,-5.28,2.77,-7.53,0.07,-0.13,0.04
1676015902.4061444,-5.32,2.82,-7.59,0.06,-0.14,0.03
1676015902.4396558,-5.27,2.61,-7.56,0.08,-0.16,-0.0
1676015902.5000677,-4.87,2.65,-7.52,0.07,-0.15,-0.02
1676015902.525024,-4.99,2.65,-7.52,0.06,-0.13,0.05
1676015902.5692408,-5.08,2.79,-7.34,0.07,-0.17,-0.01
1676015902.5993326,-4.94,2.63,-7.5,0.07,-0.15,0.01
1676015902.625601,-4.91,2.66,-7.41,0.06,-0.14,0.02
1676015902.6535556,-5.01,2.66,-7.51,0.07,-0.14,0.03
1676015902.6857853,-5.15,2.61,-7.58,0.07,-0.14,0.02
1676015902.7157466,-5.02,2.63,-7.52,0.08,-0.16,0.01
1676015902.7527063,-5.03,2.61,-7.53,0.07,-0.15,0.02
1676015902.8018432,-5.04,2.72,-7.53,0.06,-0.15,0.03
1676015902.8255546,-5.09,2.85,-7.44,0.08,-0.15,0.01
1676015902.8476076,-4.99,2.8,-7.55,0.05,-0.15,0.02
1676015902.876355,-4.97,2.58,-7.53,0.06,-0.14,-0.0
1676015902.9113653,-4.9,2.58,-7.52,0.07,-0.15,-0.02
1676015902.9508464,-4.97,2.65,-7.53,0.06,-0.13,0.04
1676015902.9779367,-5.11,2.63,-7.52,0.07,-0.13,-0.01
1676015903.015091,-4.84,2.83,-7.48,0.05,-0.14,0.06
1676015903.0545652,-5.09,2.58,-7.48,0.05,-0.13,0.05
1676015903.0946016,-4.9,2.64,-7.53,0.07,-0.12,-0.01
1676015903.13757,-4.94,2.75,-7.48,0.06,-0.12,0.02
1676015903.1720965,-5.15,2.57,-7.57,0.09,-0.13,0.01
1676015903.2037172,-5.01,2.68,-7.51,0.07,-0.15,0.01
1676015903.233268,-5.05,2.73,-7.5,0.05,-0.15,0.04
1676015903.267532,-5.2,2.62,-7.52,0.08,-0.14,-0.01
1676015903.2956831,-4.86,2.78,-7.42,0.06,-0.16,0.01
1676015903.3255742,-4.91,2.69,-7.45,0.06,-0.15,0.02
1676015903.4047115,-4.83,2.71,-7.52,0.05,-0.14,0.01
1676015903.4302292,-4.95,2.7,-7.47,0.05,-0.13,0.01
1676015903.462745,-5.13,2.69,-7.49,0.1,-0.13,-0.03
1676015903.4909654,-4.97,2.81,-7.39,0.08,-0.15,-0.02
1676015903.5286338,-4.87,2.8,-7.44,0.04,-0.16,0.05
1676015903.557815,-4.92,2.49,-7.49,0.08,-0.13,-0.01
1676015903.5840282,-4.92,2.76,-7.53,0.08,-0.15,0.03
1676015903.6213238,-5.02,2.63,-7.52,0.09,-0.15,0.0
1676015903.6450214,-4.92,2.66,-7.54,0.09,-0.15,0.0
1676015903.6966622,-4.88,2.83,-7.45,0.07,-0.13,0.03
1676015903.724102,-4.92,2.65,-7.57,0.05,-0.13,0.02
1676015903.751527,-5.24,2.64,-7.48,0.08,-0.13,0.01
1676015903.7803657,-5.03,2.75,-7.55,0.06,-0.16,0.0
1676015903.8065135,-4.98,2.75,-7.54,0.06,-0.15,0.01
1676015903.8362904,-4.98,2.66,-7.57,0.07,-0.15,0.03
1676015903.8687384,-5.12,2.86,-7.58,0.06,-0.15,0.01
1676015903.8942797,-4.94,2.72,-7.45,0.05,-0.16,-0.0
1676015903.9179218,-4.86,2.74,-7.48,0.07,-0.14,0.02
1676015903.942362,-4.91,2.46,-7.59,0.04,-0.15,0.04
1676015903.9988906,-5.0,2.55,-7.58,0.06,-0.13,0.01
1676015904.0226624,-4.95,2.52,-7.58,0.07,-0.15,0.0
1676015904.0535192,-5.04,2.62,-7.58,0.07,-0.15,0.0
1676015904.0851614,-5.09,2.72,-7.59,0.06,-0.17,0.01
1676015904.1147966,-4.81,2.62,-7.55,0.07,-0.16,0.04
1676015904.1417048,-4.81,2.76,-7.51,0.09,-0.13,-0.0
1676015904.1737497,-5.01,2.95,-7.48,0.06,-0.13,0.01
1676015904.2035155,-5.01,2.76,-7.57,0.04,-0.15,0.03
1676015904.2290576,-4.75,2.57,-7.55,0.06,-0.14,0.0
1676015904.2873306,-5.01,2.62,-7.56,0.05,-0.14,0.03
1676015904.311026,-5.01,2.63,-7.63,0.06,-0.14,0.02
1676015904.3431702,-4.79,2.65,-7.46,0.09,-0.12,-0.04
