timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677737712.371401,-2.09,9.39,2.99,0.1,-0.12,0.0
1677737712.4070947,-2.29,9.45,2.85,0.08,-0.07,-0.01
1677737712.465253,-2.36,9.48,3.09,0.07,-0.11,0.04
1677737712.4920714,-2.45,9.41,3.14,0.04,-0.12,0.01
1677737712.513493,-2.39,8.94,2.86,0.08,-0.15,0.03
1677737712.5359342,-2.46,9.28,3.05,0.1,-0.13,0.04
1677737712.5582688,-2.65,9.36,3.16,0.11,-0.13,0.03
1677737712.5858755,-2.42,9.39,3.16,0.07,-0.15,0.03
1677737712.6129253,-2.43,9.28,2.96,0.04,-0.15,0.03
1677737712.640097,-2.48,9.09,2.88,0.06,-0.15,0.02
1677737712.664917,-2.39,8.92,2.91,0.08,-0.17,0.03
1677737712.6944766,-2.3,9.23,2.9,0.08,-0.17,0.04
1677737712.722799,-2.15,9.13,2.95,0.08,-0.11,-0.0
1677737712.7634115,-2.38,9.29,2.97,0.08,-0.12,0.01
1677737712.786579,-2.25,9.22,2.96,0.07,-0.11,0.02
1677737712.8136191,-2.34,9.29,2.97,0.08,-0.08,0.01
1677737712.836647,-2.53,9.24,2.96,0.06,-0.1,0.01
1677737712.8577018,-2.49,9.22,2.96,0.06,-0.12,0.0
1677737712.8857374,-2.5,9.25,3.02,0.07,-0.12,0.0
1677737712.911813,-2.35,9.33,3.14,0.06,-0.13,0.02
1677737712.936647,-2.52,9.46,3.05,0.05,-0.12,0.01
1677737712.9752457,-2.49,9.16,2.93,0.02,-0.13,-0.02
1677737712.999459,-2.34,8.88,2.82,0.08,-0.17,0.03
1677737713.0206242,-2.25,9.41,3.17,0.06,-0.14,0.03
1677737713.0421617,-2.27,9.39,3.11,0.04,-0.11,0.0
1677737713.065182,-2.42,9.25,2.93,0.04,-0.1,-0.01
1677737713.0964923,-2.58,9.11,2.89,0.06,-0.13,-0.0
1677737713.119156,-2.37,9.18,2.89,0.05,-0.16,0.02
1677737713.1427574,-2.23,9.1,2.98,0.09,-0.13,0.01
1677737713.165735,-2.42,9.37,3.07,0.08,-0.12,0.02
1677737713.1887422,-2.5,9.32,2.97,0.05,-0.13,0.01
1677737713.2128866,-2.32,9.26,3.05,0.07,-0.15,0.02
1677737713.2382324,-2.45,9.22,3.01,0.06,-0.14,0.01
1677737713.2627566,-2.34,9.26,3.0,0.05,-0.14,0.01
