timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1676016255.108017,1.19,9.52,-1.53,0.09,-0.12,-0.02
1676016255.1409552,1.35,9.74,-1.43,0.09,-0.15,-0.02
1676016255.1901174,1.37,9.56,-1.59,0.07,-0.14,0.01
1676016255.2135494,1.19,9.43,-1.7,0.1,-0.14,0.0
1676016255.2483096,1.53,9.74,-1.32,0.1,-0.12,-0.03
1676016255.2801733,1.48,9.64,-1.38,0.09,-0.09,-0.03
1676016255.3146706,1.44,9.63,-1.46,0.06,-0.1,-0.02
1676016255.413461,1.34,9.32,-1.57,0.07,-0.11,0.01
1676016255.437272,1.33,9.68,-1.44,0.14,-0.13,-0.0
1676016255.4625394,1.24,9.5,-1.61,0.06,-0.12,-0.01
1676016255.485571,1.5,9.52,-1.57,0.07,-0.13,-0.02
1676016255.5110774,1.42,9.51,-1.59,0.07,-0.14,-0.0
1676016255.5362017,1.75,9.76,-1.36,0.08,-0.11,0.01
1676016255.5752296,1.36,9.61,-1.51,0.06,-0.1,0.0
1676016255.599859,1.49,9.58,-1.41,0.08,-0.09,0.01
1676016255.6225874,1.25,10.03,-1.25,0.07,-0.02,-0.03
1676016255.6768026,1.25,9.74,-1.3,-0.02,-0.04,0.05
1676016255.7077012,1.14,8.87,-1.79,0.01,-0.12,0.09
1676016255.7395496,1.39,9.6,-1.47,0.13,-0.11,-0.04
1676016255.7800198,1.44,9.59,-1.37,0.08,-0.16,0.01
1676016255.8192394,0.98,9.5,-1.44,0.07,-0.18,0.03
1676016255.8700285,1.35,9.37,-1.69,0.1,-0.2,-0.04
1676016255.8969612,1.42,9.93,-1.29,0.06,-0.13,-0.01
1676016255.965995,1.57,9.49,-1.47,0.03,-0.13,0.0
1676016255.9991314,1.45,9.16,-1.59,0.07,-0.11,-0.02
1676016256.026919,1.75,9.93,-1.29,0.12,-0.12,-0.05
1676016256.0507674,1.77,9.64,-1.42,0.08,-0.08,0.03
1676016256.09308,1.35,9.56,-1.61,0.1,-0.09,0.03
1676016256.119055,1.54,9.95,-1.33,0.1,-0.09,-0.01
1676016256.150597,1.53,10.01,-1.26,0.06,-0.09,0.03
1676016256.177413,1.19,9.77,-1.33,0.02,-0.12,0.05
1676016256.2012663,1.26,9.66,-1.41,-0.01,-0.16,-0.01
1676016256.261103,1.83,9.43,-1.48,-0.0,-0.17,-0.02
1676016256.2999425,1.66,9.48,-1.4,0.02,-0.11,0.03
1676016256.3354723,0.98,9.26,-1.75,0.05,-0.15,0.02
1676016256.3605895,1.56,9.52,-1.51,0.1,-0.14,-0.02
